"","INSEE_COM","Annee","PrixMoyen","Prixm2Moyen","SurfaceMoy"
"67329","39198",2021,138088.62,1575.62,88.69
"67330","39198",2022,155601.96,1849.25,84.57
"67331","39198",2023,154868.18,1872.56,84.95
"69115","40088",2019,129705.94,2010.88,66.37
"69116","40088",2020,138250.9,2157.34,65.68
"69117","40088",2021,151016.08,2320.85,66
"69118","40088",2022,153407.4,2573.28,60.68
"69119","40088",2023,157186.74,2611.81,61.92
"69594","40192",2019,134083.82,1772.71,78.32
"69595","40192",2020,138132.81,1861.93,74.73
"69596","40192",2021,165386.85,2089.89,81.17
"69597","40192",2022,169254.42,2279.6,75.66
"69598","40192",2023,165988.75,2253.04,76.46
"70335","41018",2019,115186.45,1556.64,74.33
"70336","41018",2020,118286.55,1658.85,73.16
"70337","41018",2021,133136.83,1765.09,76.39
"70338","41018",2022,143850.13,1965.2,73.6
"70339","41018",2023,141603.21,1944.2,73.91
"72433","42187",2019,89528.68,1148.83,77.12
"72434","42187",2020,95679.57,1222.64,77.09
"72435","42187",2021,99515.05,1340.7,75.04
"72436","42187",2022,113204.41,1501.77,74.71
"72437","42187",2023,115891.5,1495.92,75.54
"72526","42207",2019,139742.19,1517.59,90.28
"72527","42207",2020,134649.62,1510.28,88.13
"72528","42207",2021,143774.24,1679.96,85.46
"72529","42207",2022,164042.65,1863.41,86.67
"72530","42207",2023,153270.58,1748.69,85.98
"72581","42218",2019,83022.13,1140.32,71.94
"72582","42218",2020,92521.31,1245.32,73.34
"72583","42218",2021,98056.42,1349.71,72.81
"72584","42218",2022,103948.45,1433.81,72.24
"72585","42218",2023,98983.92,1419.9,69.71
"74412","44020",2019,222649.23,2702.07,85.7
"74413","44020",2020,257281.7,2948.98,90.67
"74414","44020",2021,261504.04,3215.2,85.1
"74415","44020",2022,276868.09,3323.44,85.98
"74416","44020",2023,268156.58,3264.1,83.73
"74442","44026",2019,290362.8,2923.36,98.39
"74443","44026",2020,305678.19,3205.7,97.34
"74444","44026",2021,327133.52,3427.33,97.02
"74445","44026",2022,346962.08,3649.69,94.48
"74446","44026",2023,319460.1,3566.76,89.67
"74482","44035",2019,294123.96,3117.99,95.14
"74483","44035",2020,320461.07,3374.52,98.92
"74484","44035",2021,344220.8,3518.15,98.78
"74485","44035",2022,345943.5,3887.7,90.24
"74486","44035",2023,359004.23,3703.68,97.31
"74531","44047",2019,234955.9,2665.6,89.65
"74532","44047",2020,267817.97,3048.5,92.31
"74533","44047",2021,266543.77,3149.55,87.04
"74534","44047",2022,265227.28,3226.31,84.2
"74535","44047",2023,263034.25,3231.89,82.56
"74826","44109",2019,236293.72,3453.99,67.52
"74827","44109",2020,262683.77,3814.19,68.25
"74828","44109",2021,275801.38,4069.35,67.63
"74829","44109",2022,280075.13,4165,66.3
"74830","44109",2023,260642.66,3958.1,65.14
"74851","44114",2019,269696.47,2915.29,91.68
"74852","44114",2020,299258.79,3277.18,93.48
"74853","44114",2021,315002.09,3441.41,91.03
"74854","44114",2022,323687.23,3565.68,90.83
"74855","44114",2023,335457.94,3615.88,92.27
"74996","44143",2019,205387.88,2784.64,74.34
"74997","44143",2020,239694.88,3106.41,77.11
"74998","44143",2021,242625.33,3257.61,74.89
"74999","44143",2022,262274.45,3488.99,75.56
"75000","44143",2023,255978.33,3329.52,76.85
"75081","44162",2019,196415.44,2506.06,78.36
"75082","44162",2020,214332.31,2725.03,78.48
"75083","44162",2021,240745.62,3038.53,79.55
"75084","44162",2022,233523.08,3082.6,76.72
"75085","44162",2023,223422.43,3039.75,74.16
"75176","44184",2019,171466.09,2337.11,74.96
"75177","44184",2020,190433.33,2590.73,74.94
"75178","44184",2021,214689.45,2916.13,74.9
"75179","44184",2022,227739.49,3161.89,73.1
"75180","44184",2023,236490.8,3119.17,76.86
"75206","44190",2019,234637.11,3031.09,79.56
"75207","44190",2020,263542.91,3264.81,82
"75208","44190",2021,294529.98,3625.58,81.96
"75209","44190",2022,295108.19,3840.88,77.52
"75210","44190",2023,278505.36,3686.68,77.07
"75326","44215",2019,284613.22,3074.9,93.22
"75327","44215",2020,328500.4,3411.3,97.86
"75328","44215",2021,364467.3,3718.75,100.46
"75329","44215",2022,364971.93,4015.8,91.49
"75330","44215",2023,335196.55,3678.24,91.31
"76025","45147",2019,154950.71,1873.14,83.03
"76026","45147",2020,149381.67,1920.64,80.03
"76027","45147",2021,173699.92,2182.51,81.77
"76028","45147",2022,173383.98,2341.75,76.82
"76029","45147",2023,163817.2,2145.03,77.75
"76407","45232",2019,191910.45,2231.72,85.93
"76408","45232",2020,206202.59,2345.47,89.54
"76409","45232",2021,211959.93,2540.46,85.17
"76410","45232",2022,226905.57,2761.22,82.34
"76411","45232",2023,218929.92,2847.05,79.48
"76417","45234",2019,147551.49,2186.45,68.65
"76418","45234",2020,157379.32,2324.26,69.52
"76419","45234",2021,178618.5,2558.44,71.7
"76420","45234",2022,183765.62,2704.44,69.78
"76421","45234",2023,184997.87,2761.62,68.78
"76651","45284",2019,157917.16,1945.85,80.83
"76652","45284",2020,150008.13,1945.47,77.51
"76653","45284",2021,172411.88,2109.85,81.57
"76654","45284",2022,176020.67,2282.17,76.42
"76655","45284",2023,185243.09,2279.81,82.4
"77130","46042",2019,109031.41,1391.8,78.38
"77131","46042",2020,119932.99,1497.96,80.61
"77132","46042",2021,131530.31,1572.82,82.55
"77133","46042",2022,131342.4,1705.31,76.83
"77134","46042",2023,144270.41,1781.03,81.62
"78418","47001",2019,103350.58,1418.66,73.46
"78419","47001",2020,114447.55,1533.43,74.91
"78420","47001",2021,120810.27,1683.24,72.68
"78421","47001",2022,137126.86,1889.43,74.18
"78422","47001",2023,128442.94,1869.1,70.79
"79914","47323",2019,109679.94,1223.46,89.84
"79915","47323",2020,110249.82,1241.84,90.9
"79916","47323",2021,117935.77,1290.22,91.22
"79917","47323",2022,137071.28,1493.68,91.62
"79918","47323",2023,125644.28,1454.23,87.42
"80607","49007",2019,162345.35,2302.48,70.94
"80608","49007",2020,192589.32,2761.02,71.37
"80609","49007",2021,214506.69,3170.48,69.52
"80610","49007",2022,237770.78,3411.02,71.08
"80611","49007",2023,233881.58,3412.76,69.85
"80667","49023",2019,132398.65,1420.06,95.41
"80668","49023",2020,141913.98,1452.88,98.72
"80669","49023",2021,152462.71,1631.56,95.49
"80670","49023",2022,164540.21,1757.07,96.84
"80671","49023",2023,173102.8,1925.37,90.75
"80831","49092",2019,138249.99,1377.44,101.07
"80832","49092",2020,138270.38,1381.92,101.89
"80833","49092",2021,158189,1565.77,104.27
"80834","49092",2022,178830.38,1852.3,98.71
"80835","49092",2023,167575.59,1740.44,97.75
"80836","49099",2019,141360.05,1673.96,84.64
"80837","49099",2020,155417.8,1793.54,87.24
"80838","49099",2021,171521.98,2063.42,84.42
"80839","49099",2022,182471.84,2228.63,82.89
"80840","49099",2023,189004.53,2246.92,84.86
"81264","49301",2019,145160.39,1535.16,97.1
"81265","49301",2020,172132.37,1691.52,104.26
"81266","49301",2021,174437.4,1799.85,99.36
"81267","49301",2022,188694.86,1968.18,97.78
"81268","49301",2023,182401.78,1968.35,93.76
"81309","49328",2019,129576.68,1441.81,88.77
"81310","49328",2020,133331.66,1487.68,87.77
"81311","49328",2021,141937.55,1649.11,86.11
"81312","49328",2022,165877.22,1928.65,84.82
"81313","49328",2023,159484.53,1877.96,85.07
"81879","50129",2019,143003.13,1750.69,83.75
"81880","50129",2020,158940.31,1919.06,83.82
"81881","50129",2021,169123.87,2113.15,81.97
"81882","50129",2022,182236.63,2292.43,81.76
"81883","50129",2023,187357.56,2381.66,81.23
"84038","51108",2019,116251.99,1418.5,82.35
"84039","51108",2020,120659.6,1466.59,81.49
"84040","51108",2021,119450.9,1537.38,77.99
"84041","51108",2022,130604.15,1688.82,76.08
"84042","51108",2023,127465.57,1613,79.66
"84500","51230",2019,129933.16,1682.22,76.56
"84501","51230",2020,139549.3,1877.91,73.45
"84502","51230",2021,143675.11,1878.84,76.67
"84503","51230",2022,140651.3,1929.02,73.64
"84504","51230",2023,151615.8,2017.51,74.55
"85366","51454",2019,162183.75,2305.61,70.28
"85367","51454",2020,170182.84,2438,70.36
"85368","51454",2021,186819.07,2643.8,70.87
"85369","51454",2022,197087.85,2817.28,70.39
"85370","51454",2023,188965.3,2777.21,69.13
"86518","52121",2019,108645.59,1212.18,90.06
"86519","52121",2020,109339.51,1310.41,84.87
"86520","52121",2021,122733.35,1412.86,88.83
"86521","52121",2022,131147.26,1524.17,86.96
"86522","52121",2023,138920.14,1662.38,84.58
"87439","52448",2019,96184.98,1162.18,84.03
"87440","52448",2020,92616.29,1158.84,81.81
"87441","52448",2021,107786.16,1208.46,89.29
"87442","52448",2022,112007.27,1328.52,83.93
"87443","52448",2023,100879.59,1238.97,81.33
"88278","53130",2019,136058.69,1723.12,78.34
"88279","53130",2020,157597.63,1870.65,83.85
"88280","53130",2021,164084.51,2096.71,79.53
"88281","53130",2022,174273.55,2226.05,78.59
"88282","53130",2023,168293.55,2252.33,76.37
"90597","54395",2019,136972.83,2038.52,67.03
"90598","54395",2020,149073.76,2170.87,68.6
"90599","54395",2021,158344.02,2356.47,68.52
"90600","54395",2022,166788.7,2468.21,68.03
"90601","54395",2023,160082.81,2433.95,66
"91216","54547",2019,118008.07,1667.19,71.3
"91217","54547",2020,129464.41,1804.83,71.59
"91218","54547",2021,136050.64,1978.38,68.99
"91219","54547",2022,134786.48,1986.05,69.08
"91220","54547",2023,131369.82,2019.45,65.83
"93852","56098",2019,148686.79,1732.72,87.45
"93853","56098",2020,169259.9,1956.09,88.67
"93854","56098",2021,188060.96,2155.36,88.13
"93855","56098",2022,206046.6,2486.23,84.39
"93856","56098",2023,200914.12,2550.91,82.39
"93967","56121",2019,137586.71,1824.92,75.15
"93968","56121",2020,156028.98,2052.94,76.13
"93969","56121",2021,174807.11,2375.97,74
"93970","56121",2022,190492.21,2673.95,73.58
"93971","56121",2023,196084.49,2787.67,72.26
"94622","56260",2019,201801.99,2796.02,70.89
"94623","56260",2020,224981.19,3176.52,70.23
"94624","56260",2021,271903.04,3681.33,72.39
"94625","56260",2022,282288.77,4020.66,70.15
"94626","56260",2023,290931.45,4155.22,69.18
"96261","58194",2019,87168.84,1075.19,79.32
"96262","58194",2020,84435.4,1107.4,75.03
"96263","58194",2021,95828.55,1209.68,77.81
"96264","58194",2022,101336.07,1284.27,78.18
"96265","58194",2023,102157.49,1301.35,76.86
"96867","59009",2019,245591.75,2749.79,88.86
"96868","59009",2020,233274.74,3186.8,78.15
"96869","59009",2021,247892.91,3629.21,73.84
"96870","59009",2022,268797.35,3176.83,83.98
"96871","59009",2023,275901.59,3157.26,87.12
"96907","59017",2019,131851.2,1668.38,81.37
"96908","59017",2020,138496.8,1833.73,78.2
"96909","59017",2021,145952.59,1918.46,80.22
"96910","59017",2022,149208.54,2033.77,75.71
"96911","59017",2023,151733.88,1938.98,79.88
"97405","59122",2019,117660.43,1324.71,90.44
"97406","59122",2020,113703.22,1415.64,83.99
"97407","59122",2021,123660.95,1437.28,87.09
"97408","59122",2022,133773.08,1584.56,87.07
"97409","59122",2023,135136.81,1595.33,85.03
"97559","59155",2019,131854.37,1518.68,88.81
"97560","59155",2020,142782.02,1653.99,88.36
"97561","59155",2021,147581.9,1723.9,86.85
"97562","59155",2022,159747.81,1804.55,90.07
"97563","59155",2023,157960.54,1828.95,88.72
"97599","59163",2019,242404.04,2440.31,93.56
"97600","59163",2020,214402.41,2457.51,85.91
"97601","59163",2021,231959.8,2640.45,84.71
"97602","59163",2022,251572.99,2759.38,84.56
"97603","59163",2023,267651.51,2882.38,88.21
"97639","59172",2019,76516.76,948.91,83.08
"97640","59172",2020,74821.56,947.78,83.34
"97641","59172",2021,79697.81,982.96,82.76
"97642","59172",2022,86851.4,1041.51,84.77
"97643","59172",2023,80228.98,1023.99,78.84
"97668","59178",2019,124808.48,1448.14,89.17
"97669","59178",2020,127959.54,1579.87,84.27
"97670","59178",2021,139892.43,1704.11,86.51
"97671","59178",2022,142425.96,1727.36,84.34
"97672","59178",2023,136785.35,1676.63,82.1
"97693","59183",2019,144448.16,1729.84,85.52
"97694","59183",2020,149861.56,1745.95,87.56
"97695","59183",2021,160352.74,1909.91,85.2
"97696","59183",2022,174707.85,2091.34,85.63
"97697","59183",2023,179318.47,2157.12,85.08
"98109","59271",2019,131655.05,1427.79,92.91
"98110","59271",2020,131481.9,1448.68,92.32
"98111","59271",2021,139817.25,1497.81,94.5
"98112","59271",2022,144497.61,1618.07,90.31
"98113","59271",2023,145668.94,1598.84,92.14
"98149","59279",2019,185672.88,2045.08,91.67
"98150","59279",2020,186876.31,2095.4,90.59
"98151","59279",2021,192682.07,2246.73,85.23
"98152","59279",2022,208534.59,2307.87,90.54
"98153","59279",2023,194191.65,2190.49,88.51
"98229","59295",2019,164450.43,1819.92,91.46
"98230","59295",2020,157915.34,1805.16,88.41
"98231","59295",2021,178383.32,1947.28,92.22
"98232","59295",2022,180545.64,2094.35,87.64
"98233","59295",2023,176048.14,1988.53,89
"98389","59328",2019,246112.37,2948.73,82.21
"98390","59328",2020,279839.06,3197.09,86.41
"98391","59328",2021,308267.29,3523.3,86.3
"98392","59328",2022,343272.6,3892.97,87.73
"98393","59328",2023,334525.4,3629.44,89.53
"98498","59350",2019,191943.81,3126.03,65.35
"98499","59350",2020,211781.06,3399.76,66.22
"98500","59350",2021,217861.68,3657.27,63.78
"98501","59350",2022,233413.89,3779.06,64.99
"98502","59350",2023,215862.14,3748.65,61.99
"98543","59360",2019,145055.7,2147.44,70.92
"98544","59360",2020,151298.19,2241.14,70.33
"98545","59360",2021,178293.09,2593.24,70.38
"98546","59360",2022,164171.97,2640.51,66.63
"98547","59360",2023,172624.49,2664.22,69.1
"98578","59368",2019,225804.47,2969.92,75.89
"98579","59368",2020,249564.12,3167.33,78.29
"98580","59368",2021,270125.19,3474.73,77.03
"98581","59368",2022,295352.52,3653.06,79.91
"98582","59368",2023,281901.81,3545.04,79.04
"98617","59378",2019,314366.51,3303.53,92.73
"98618","59378",2020,320534.7,3488.05,88.83
"98619","59378",2021,338794.65,3693.32,89.67
"98620","59378",2022,365497.34,3927,90.01
"98621","59378",2023,377694.02,4050.31,89.68
"98682","59392",2019,90500.49,1064.4,86.82
"98683","59392",2020,92412.27,1073.73,88.08
"98684","59392",2021,97710.72,1203.48,84.75
"98685","59392",2022,104052.94,1196.24,87.9
"98686","59392",2023,100132.83,1203.91,84.91
"98767","59410",2019,165610.82,2103.36,75.96
"98768","59410",2020,182082.47,2406.11,75.38
"98769","59410",2021,182522.69,2392.2,74.26
"98770","59410",2022,203937.78,2573.69,77.18
"98771","59410",2023,194816.33,2539.4,73.58
"99253","59512",2019,133975.55,1522.64,90.64
"99254","59512",2020,141439.82,1630.89,88.5
"99255","59512",2021,142731,1778.38,86
"99256","59512",2022,154590.01,1797.82,87.71
"99257","59512",2023,140059.89,1756.12,82.34
"99677","59599",2019,137869.93,1645.93,85.58
"99678","59599",2020,146288.35,1764.63,84.64
"99679","59599",2021,154094.62,1873.84,83.18
"99680","59599",2022,162555,1987.5,82.23
"99681","59599",2023,155852.93,1955.58,80.96
"99712","59606",2019,123949.84,1674.06,76.95
"99713","59606",2020,134741.85,1760.19,79.29
"99714","59606",2021,140418.66,1962.72,75.21
"99715","59606",2022,146651.82,2040.45,76.67
"99716","59606",2023,140013.56,1979.83,74.5
"99902","59646",2019,267079.32,2809.35,93.07
"99903","59646",2020,297886.78,3040.1,94.95
"99904","59646",2021,301103.87,3212.02,92.27
"99905","59646",2022,320701.18,3375.4,90.32
"99906","59646",2023,308318.71,3335.66,89.73
"99922","59650",2019,146448.16,1741.45,86.16
"99923","59650",2020,151320.77,1870.48,82.61
"99924","59650",2021,162301.67,2015.66,82.94
"99925","59650",2022,170490.17,2127.82,82.01
"99926","59650",2023,159860.88,2025.69,80.64
"100279","60057",2019,130855.03,1839.82,72.67
"100280","60057",2020,136812.69,1849.51,75.15
"100281","60057",2021,143347.07,1951.56,74.28
"100282","60057",2022,151545.24,2095.01,74.06
"100283","60057",2023,144380.87,2061.21,71.62
"100758","60159",2019,179940.38,2392.77,75
"100759","60159",2020,185678.33,2479.07,74.67
"100760","60159",2021,199774.01,2685.32,73.53
"100761","60159",2022,204365.47,2634.43,75.84
"100762","60159",2023,196091.07,2605.56,75.03
"100834","60175",2019,116638.07,1929.43,61.02
"100835","60175",2020,109710.95,1792.95,60.51
"100836","60175",2021,123102.29,2048.33,61.62
"100837","60175",2022,127981.99,2060.77,63.66
"100838","60175",2023,135456.42,2034.54,66.44
"102158","60463",2019,136690.22,1739.51,78.48
"102159","60463",2020,127848.15,1735.21,75.81
"102160","60463",2021,140459.52,1860.73,77.15
"102161","60463",2022,152761.57,2000.92,76.96
"102162","60463",2023,145050.86,2009.49,73.11
"103249","61001",2019,97005.78,1260.96,78.33
"103250","61001",2020,104849.97,1285.85,81.19
"103251","61001",2021,106983.7,1360.04,79.03
"103252","61001",2022,126755.16,1544.75,81.98
"103253","61001",2023,123767.92,1486.39,80.4
"105253","62041",2019,140483.79,1890.51,76.44
"105254","62041",2020,139238.24,2036.44,72.39
"105255","62041",2021,154194.5,2119.68,76.27
"105256","62041",2022,173357.97,2391.7,74.46
"105257","62041",2023,171097.84,2420.33,73.83
"105597","62119",2019,113350.18,1444.17,80.2
"105598","62119",2020,116905.42,1435.44,82.29
"105599","62119",2021,130034.13,1599.79,83.1
"105600","62119",2022,126381.99,1609.58,80.68
"105601","62119",2023,133286.98,1635.68,83.02
"105780","62160",2019,109433.71,1416.59,79.07
"105781","62160",2020,118785.22,1459.66,82.52
"105782","62160",2021,129929.11,1654.04,83.27
"105783","62160",2022,132652.64,1746.49,77.25
"105784","62160",2023,128461.74,1758.5,75.97
"105868","62178",2019,102541.23,1136.9,92.41
"105869","62178",2020,105762.29,1187.24,91.39
"105870","62178",2021,111300.73,1330.93,84.78
"105871","62178",2022,124194.95,1392.99,90.96
"105872","62178",2023,129803.15,1448.69,91.51
"105940","62193",2019,114350.02,1402.64,84.75
"105941","62193",2020,120181.45,1510.22,83.06
"105942","62193",2021,126130.83,1580.88,83.71
"105943","62193",2022,135686.41,1678.58,84.7
"105944","62193",2023,132157.35,1725.81,80.9
"106996","62427",2019,118155.98,1307.28,92.62
"106997","62427",2020,127193.52,1342.97,94.88
"106998","62427",2021,125446.33,1396.96,91.98
"106999","62427",2022,136679.06,1564.76,88.23
"107000","62427",2023,137633.21,1571.5,87.04
"107318","62498",2019,112755.68,1472.58,83.36
"107319","62498",2020,116040.21,1471.33,80.64
"107320","62498",2021,123517.84,1656.03,81.85
"107321","62498",2022,129785.64,1683.83,80.6
"107322","62498",2023,120725.75,1506.82,81.39
"107374","62510",2019,119332.33,1314.39,91.62
"107375","62510",2020,120047.1,1403.25,87.46
"107376","62510",2021,126824.16,1452.94,88.17
"107377","62510",2022,130753.72,1499.27,87.53
"107378","62510",2023,138247,1544.33,89.61
"109752","63113",2019,131312.29,1957.17,67.19
"109753","63113",2020,132965.94,2057.33,65.77
"109754","63113",2021,142915.8,2220.37,65.81
"109755","63113",2022,151585.84,2363.45,65.37
"109756","63113",2023,148834.47,2342.63,64.52
"109802","63124",2019,181684.2,2106.18,85.51
"109803","63124",2020,193658.31,2278.76,86.15
"109804","63124",2021,198817.19,2272.24,88.75
"109805","63124",2022,212655.53,2429.46,87.91
"109806","63124",2023,194768.06,2389.15,83.92
"111532","64024",2019,341043.41,4503.39,73.19
"111533","64024",2020,375292.47,4826.3,75.63
"111534","64024",2021,434607.81,5354.37,78.1
"111535","64024",2022,493857.59,6151.16,77.11
"111536","64024",2023,476768.64,6124.89,73.55
"111863","64102",2019,213977.32,3248.2,65.82
"111864","64102",2020,229631.97,3453.65,66.45
"111865","64102",2021,262315.4,3898.64,66.91
"111866","64102",2022,292576.87,4316.42,67.57
"111867","64102",2023,274764.02,4325.03,63.82
"111946","64122",2019,406033.61,6007.39,68.02
"111947","64122",2020,454740.55,6558.21,69.99
"111948","64122",2021,531790.53,7256.04,74.12
"111949","64122",2022,593181.73,8203.54,72.94
"111950","64122",2023,577737.1,8253.42,68.78
"113331","64445",2019,119650.17,1749.63,68.32
"113332","64445",2020,127874.27,1853.57,69.22
"113333","64445",2021,140793.5,2017.46,68.96
"113334","64445",2022,151926.06,2212.56,68.71
"113335","64445",2023,156527.93,2291.97,67.24
"115524","65440",2019,95225.26,1305.29,73.47
"115525","65440",2020,93639.98,1319.22,72.24
"115526","65440",2021,104210.6,1431.88,73.45
"115527","65440",2022,109286.85,1544.39,72.94
"115528","65440",2023,109462.6,1559.62,71.62
"116289","66136",2019,114961.29,1495.37,75.56
"116290","66136",2020,121131.39,1580.42,75.21
"116291","66136",2021,129332.42,1657.27,76.12
"116292","66136",2022,139509.6,1799.84,74.73
"116293","66136",2023,133684.17,1834.82,72.06
"117735","69029",2019,228504.11,2924.81,76.38
"117736","69029",2020,229672.12,3101.34,73.24
"117737","69029",2021,264214.54,3497.88,73.14
"117738","69029",2022,248266.28,3365.18,72.28
"117739","69029",2023,240577.96,3362.29,71.39
"117760","69034",2019,302912.09,3794.22,78.57
"117761","69034",2020,326514.01,4298.66,74.99
"117762","69034",2021,361735.48,4504.48,78.75
"117763","69034",2022,348613.97,4554.18,75.15
"117764","69034",2023,352895.09,4472.24,77.38
"118024","69091",2019,156804.09,1839.65,86.47
"118025","69091",2020,170010.34,2132.36,81.27
"118026","69091",2021,182856.43,2212.22,84.98
"118027","69091",2022,203798.94,2474.96,81.97
"118028","69091",2023,177408.47,2403.04,74.35
"118174","69123",2019,285881.63,4388.23,66.18
"118175","69123",2020,321436.18,4864.35,66.97
"118176","69123",2021,334130.97,5139.41,66.06
"118177","69123",2022,336065.71,5156.45,65.73
"118178","69123",2023,310717.25,4888.27,63.95
"118277","69149",2019,211452.99,2929.16,72.99
"118278","69149",2020,240439.05,3460.9,70.33
"118279","69149",2021,259032.88,3601.74,71.8
"118280","69149",2022,269135.98,3892.27,69.89
"118281","69149",2023,276620.65,3922.01,69.25
"118514","69202",2019,311122.66,3355.74,87.32
"118515","69202",2020,357611.92,3835.76,89.49
"118516","69202",2021,387441.32,4289.96,86.13
"118517","69202",2022,416267.8,4430.88,89.59
"118518","69202",2023,393228.1,4323.55,87.63
"118524","69204",2019,306116.17,3436.23,87.13
"118525","69204",2020,353162.53,3854.97,90.41
"118526","69204",2021,353124.95,4124.46,86.06
"118527","69204",2022,366524.57,4352.01,82.77
"118528","69204",2023,330610.01,4178.7,78.47
"118673","69244",2019,307490.58,3751.33,80.51
"118674","69244",2020,355584.76,4322.37,79.22
"118675","69244",2021,381795.09,4585.8,79.96
"118676","69244",2022,397747.88,4913.92,78.83
"118677","69244",2023,373586.04,4657.22,77.42
"118723","69256",2019,170200.49,2441.07,69.45
"118724","69256",2020,169364,2495.96,69.35
"118725","69256",2021,186183.16,2852.35,66.2
"118726","69256",2022,193987.78,3003.19,66.02
"118727","69256",2023,210173.16,3128.67,67.53
"118738","69259",2019,165438.79,2335.34,71.53
"118739","69259",2020,177031.84,2614.28,69.03
"118740","69259",2021,199326.09,2864.35,70.3
"118741","69259",2022,210015.8,3050.78,69.83
"118742","69259",2023,208852.81,3187.91,66.64
"118755","69264",2019,158452.98,2107.56,74.97
"118756","69264",2020,155746.88,2293.57,69.05
"118757","69264",2021,175191.57,2382.04,74.25
"118758","69264",2022,186784.34,2681.2,70.33
"118759","69264",2023,195227.17,2696.06,72.85
"118765","69266",2019,206414.31,3342.33,63.17
"118766","69266",2020,227541.98,3784.66,61.97
"118767","69266",2021,244053.35,4020.56,62.41
"118768","69266",2022,249140,4081.63,62.34
"118769","69266",2023,233798.94,3883.51,61.75
"118805","69275",2019,206556.25,2910.57,72.19
"118806","69275",2020,239132.83,3241.41,73.56
"118807","69275",2021,261207.24,3535.81,73.13
"118808","69275",2022,273583.06,3650.25,74
"118809","69275",2023,256590.8,3599.52,71.18
"118840","69282",2019,259614.45,3288.82,79.33
"118841","69282",2020,282659.06,3406.89,82.83
"118842","69282",2021,302219.04,3806.18,80.12
"118843","69282",2022,333648.22,4110.8,80.72
"118844","69282",2023,308318.18,3991.14,77.88
"118860","69286",2019,262405.76,2926.6,88.39
"118861","69286",2020,269203.72,3009.4,87.4
"118862","69286",2021,296440.88,3316.13,87.63
"118863","69286",2022,321541.32,3551.08,89.06
"118864","69286",2023,281974.57,3376.61,85.1
"118880","69290",2019,200640.48,2654.46,76.05
"118881","69290",2020,216934.59,2798.48,77.48
"118882","69290",2021,242759.11,3193.67,76.67
"118883","69290",2022,247861.59,3280.41,75.28
"118884","69290",2023,234645.06,3166.8,74.44
"121496","71076",2019,90389.42,1201.5,74.16
"121497","71076",2020,98501.38,1282.14,74.63
"121498","71076",2021,100622.14,1371.81,71.87
"121499","71076",2022,107467.76,1488.37,71.5
"121500","71076",2023,107288.25,1512.89,69.81
"121845","71153",2019,85906.93,1116.2,81.46
"121846","71153",2020,87401.55,1116.06,79.86
"121847","71153",2021,93963.44,1204.9,80.71
"121848","71153",2022,102543.25,1332.31,79.71
"121849","71153",2023,93528.74,1310.28,74.84
"122381","71270",2019,121610.62,1584.5,76.64
"122382","71270",2020,125230.78,1568.51,79.59
"122383","71270",2021,134267.34,1654.59,80.06
"122384","71270",2022,135402.15,1744.5,76.77
"122385","71270",2023,146545.58,1924.14,74.66
"124645","72181",2019,124803.53,1670.38,73.11
"124646","72181",2020,132045.23,1738.93,74.33
"124647","72181",2021,144279.66,1903.55,75.08
"124648","72181",2022,153240.51,2086.52,73.56
"124649","72181",2023,155148.58,2136.74,72.76
"125604","73008",2019,205113.72,3389.92,62.33
"125605","73008",2020,217188.83,3517.78,63.09
"125606","73008",2021,250137.71,3966.86,64.96
"125607","73008",2022,264253.14,4305.66,63.28
"125608","73008",2023,264944.4,4513.35,60.22
"125831","73065",2019,170828.24,2436.57,70.69
"125832","73065",2020,177636.68,2532.6,71.3
"125833","73065",2021,190062.49,2780.37,70.4
"125834","73065",2022,218536.18,3068.34,72.08
"125835","73065",2023,211761.49,3159.14,68.33
"126961","74010",2019,304052.59,4321.89,70.28
"126962","74010",2020,328611.32,4562.55,71.86
"126963","74010",2021,354036.53,4944.99,71.18
"126964","74010",2022,372736.25,5381.94,68.76
"126965","74010",2023,379884.62,5480.98,68.9
"126966","74012",2019,184397.02,2990.2,62.45
"126967","74012",2020,199401.95,3172.59,64.73
"126968","74012",2021,208138.04,3376.59,62.57
"126969","74012",2022,214943.11,3447.56,63.85
"126970","74012",2023,221952.38,3470.05,64.91
"128131","74281",2019,214657.57,3088.13,69.28
"128132","74281",2020,211038.33,3105.77,68.45
"128133","74281",2021,228116.11,3393.34,67.06
"128134","74281",2022,257622.93,3732.77,68.79
"128135","74281",2023,267748.87,3901.75,69.1
"128301","75056",2019,545108.25,10122.93,53
"128302","75056",2020,569468.21,10745.54,52.44
"128303","75056",2021,579575.95,10779.96,53.12
"128304","75056",2022,578085.52,10697.8,52.98
"128305","75056",2023,535918.49,10200.96,51.35
"129256","76217",2019,120138.75,1742.44,69.06
"129257","76217",2020,120884.86,1842.05,67.95
"129258","76217",2021,137604.19,2030.14,68.43
"129259","76217",2022,144474.19,2297.76,64.44
"129260","76217",2023,149258.76,2449.62,63.5
"129732","76322",2019,166459.78,2211.84,75.15
"129733","76322",2020,176704.58,2288.57,77.88
"129734","76322",2021,185804.95,2356.24,80.72
"129735","76322",2022,184874.23,2428.7,77.52
"129736","76322",2023,176479.77,2284.45,78.42
"129863","76351",2019,135816.18,1952.63,69.3
"129864","76351",2020,147969.4,2139.29,69.29
"129865","76351",2021,154986.93,2271.48,68.24
"129866","76351",2022,168637.73,2432.28,69
"129867","76351",2023,165872.24,2480.06,66.92
