Nombre de pièces,2010,%,2015,%,2021,%,code_insee,Ville
3 pièces,3 280,"32,6",3 242,"31,5",3 289,"30,5",38169,fontaine
4 pièces,3 207,"31,9",3 288,"32,0",3 594,"33,4",38169,fontaine
5 pièces ou plus,1 729,"17,2",1 826,"17,8",1 818,"16,9",38169,fontaine
Ensemble,79 958,"100,0",83 585,"100,0",83 592,"100,0",38185,grenoble
1 pièce,12 612,"15,8",12 516,"15,0",12 571,"15,0",38185,grenoble
2 pièces,17 658,"22,1",17 768,"21,3",18 273,"21,9",38185,grenoble
3 pièces,21 941,"27,4",24 070,"28,8",24 074,"28,8",38185,grenoble
4 pièces,16 971,"21,2",18 418,"22,0",18 181,"21,8",38185,grenoble
5 pièces ou plus,10 777,"13,5",10 814,"12,9",10 493,"12,6",38185,grenoble
Ensemble,15 053,"100,0",16 987,"100,0",17 264,"100,0",38421,saint-martin-d-heres
1 pièce,1 829,"12,1",2 725,"16,0",2 562,"14,8",38421,saint-martin-d-heres
2 pièces,1 974,"13,1",2 033,"12,0",2 055,"11,9",38421,saint-martin-d-heres
3 pièces,4 399,"29,2",4 906,"28,9",4 945,"28,6",38421,saint-martin-d-heres
4 pièces,4 718,"31,3",4 881,"28,7",5 199,"30,1",38421,saint-martin-d-heres
5 pièces ou plus,2 134,"14,2",2 443,"14,4",2 504,"14,5",38421,saint-martin-d-heres
Ensemble,13 581,"100,0",13 545,"100,0",14 860,"100,0",38544,vienne
1 pièce,585,"4,3",641,"4,7",814,"5,5",38544,vienne
2 pièces,1 893,"13,9",1 885,"13,9",2 539,"17,1",38544,vienne
3 pièces,3 975,"29,3",4 002,"29,5",4 414,"29,7",38544,vienne
4 pièces,3 879,"28,6",4 037,"29,8",3 828,"25,8",38544,vienne
5 pièces ou plus,3 249,"23,9",2 980,"22,0",3 264,"22,0",38544,vienne
Ensemble,9 583,"100,0",9 901,"100,0",10 483,"100,0",38563,voiron
1 pièce,561,"5,9",531,"5,4",607,"5,8",38563,voiron
2 pièces,1 425,"14,9",1 473,"14,9",1 537,"14,7",38563,voiron
3 pièces,2 573,"26,8",2 573,"26,0",3 178,"30,3",38563,voiron
4 pièces,2 699,"28,2",2 727,"27,5",2 709,"25,8",38563,voiron
5 pièces ou plus,2 326,"24,3",2 597,"26,2",2 454,"23,4",38563,voiron
Ensemble,11 665,"100,0",11 544,"100,0",12 297,"100,0",39198,dole
1 pièce,447,"3,8",557,"4,8",383,"3,1",39198,dole
2 pièces,1 300,"11,1",1 345,"11,7",1 659,"13,5",39198,dole
3 pièces,3 071,"26,3",2 810,"24,3",3 191,"25,9",39198,dole
4 pièces,3 300,"28,3",3 215,"27,8",3 347,"27,2",39198,dole
5 pièces ou plus,3 547,"30,4",3 617,"31,3",3 717,"30,2",39198,dole
Ensemble,11 155,"100,0",11 549,"100,0",12 176,"100,0",40088,dax
1 pièce,1 091,"9,8",1 143,"9,9",1 173,"9,6",40088,dax
2 pièces,2 160,"19,4",2 389,"20,7",2 625,"21,6",40088,dax
3 pièces,3 092,"27,7",3 231,"28,0",3 270,"26,9",40088,dax
4 pièces,2 603,"23,3",2 600,"22,5",2 654,"21,8",40088,dax
5 pièces ou plus,2 209,"19,8",2 186,"18,9",2 454,"20,1",40088,dax
Ensemble,14 472,"100,0",14 608,"100,0",15 069,"100,0",40192,mont-de-marsan
1 pièce,786,"5,4",717,"4,9",752,"5,0",40192,mont-de-marsan
2 pièces,1 970,"13,6",2 340,"16,0",2 175,"14,4",40192,mont-de-marsan
3 pièces,2 594,"17,9",2 636,"18,0",2 951,"19,6",40192,mont-de-marsan
4 pièces,3 650,"25,2",3 509,"24,0",3 636,"24,1",40192,mont-de-marsan
5 pièces ou plus,5 471,"37,8",5 406,"37,0",5 554,"36,9",40192,mont-de-marsan
Ensemble,22 529,"100,0",22 581,"100,0",22 987,"100,0",41018,blois
1 pièce,2 081,"9,2",2 051,"9,1",1 750,"7,6",41018,blois
2 pièces,3 559,"15,8",3 827,"16,9",3 837,"16,7",41018,blois
3 pièces,6 082,"27,0",5 736,"25,4",6 118,"26,6",41018,blois
4 pièces,5 854,"26,0",5 920,"26,2",6 036,"26,3",41018,blois
5 pièces ou plus,4 954,"22,0",5 047,"22,3",5 247,"22,8",41018,blois
Ensemble,19 213,"100,0",18 375,"100,0",19 102,"100,0",42187,roanne
1 pièce,1 154,"6,0",996,"5,4",1 164,"6,1",42187,roanne
2 pièces,3 567,"18,6",3 645,"19,8",3 474,"18,2",42187,roanne
3 pièces,5 817,"30,3",5 434,"29,6",5 955,"31,2",42187,roanne
4 pièces,5 064,"26,4",4 868,"26,5",4 936,"25,8",42187,roanne
5 pièces ou plus,3 610,"18,8",3 432,"18,7",3 574,"18,7",42187,roanne
Ensemble,15 276,"100,0",15 360,"100,0",15 405,"100,0",42207,saint-chamond
1 pièce,211,"1,4",195,"1,3",166,"1,1",42207,saint-chamond
2 pièces,2 088,"13,7",1 975,"12,9",1 791,"11,6",42207,saint-chamond
3 pièces,4 407,"28,8",4 316,"28,1",4 333,"28,1",42207,saint-chamond
4 pièces,4 521,"29,6",4 747,"30,9",4 869,"31,6",42207,saint-chamond
5 pièces ou plus,4 049,"26,5",4 127,"26,9",4 245,"27,6",42207,saint-chamond
Ensemble,82 943,"100,0",84 158,"100,0",85 898,"100,0",42218,saint-etienne
1 pièce,5 993,"7,2",6 382,"7,6",6 882,"8,0",42218,saint-etienne
2 pièces,14 876,"17,9",15 788,"18,8",16 586,"19,3",42218,saint-etienne
3 pièces,24 703,"29,8",26 095,"31,0",26 263,"30,6",42218,saint-etienne
4 pièces,22 037,"26,6",20 979,"24,9",20 488,"23,9",42218,saint-etienne
5 pièces ou plus,15 335,"18,5",14 914,"17,7",15 678,"18,3",42218,saint-etienne
Ensemble,7 099,"100,0",7 693,"100,0",8 625,"100,0",44020,bouguenais
1 pièce,38,"0,5",82,"1,1",176,"2,0",44020,bouguenais
2 pièces,498,"7,0",734,"9,5",915,"10,6",44020,bouguenais
3 pièces,1 180,"16,6",1 431,"18,6",1 683,"19,5",44020,bouguenais
4 pièces,2 098,"29,6",2 396,"31,2",2 274,"26,4",44020,bouguenais
5 pièces ou plus,3 285,"46,3",3 050,"39,6",3 577,"41,5",44020,bouguenais
Ensemble,6 955,"100,0",7 814,"100,0",8 907,"100,0",44026,carquefou
1 pièce,605,"8,7",630,"8,1",622,"7,0",44026,carquefou
2 pièces,636,"9,1",891,"11,4",1 214,"13,6",44026,carquefou
3 pièces,915,"13,2",908,"11,6",1 381,"15,5",44026,carquefou
4 pièces,1 151,"16,6",1 212,"15,5",1 472,"16,5",44026,carquefou
5 pièces ou plus,3 647,"52,4",4 174,"53,4",4 217,"47,3",44026,carquefou
Ensemble,6 615,"100,0",7 872,"100,0",8 489,"100,0",44035,la-chapelle-sur-erdre
1 pièce,106,"1,6",198,"2,5",179,"2,1",44035,la-chapelle-sur-erdre
2 pièces,443,"6,7",837,"10,6",1 026,"12,1",44035,la-chapelle-sur-erdre
3 pièces,719,"10,9",1 033,"13,1",1 215,"14,3",44035,la-chapelle-sur-erdre
4 pièces,1 177,"17,8",1 460,"18,5",1 613,"19,0",44035,la-chapelle-sur-erdre
5 pièces ou plus,4 170,"63,0",4 344,"55,2",4 457,"52,5",44035,la-chapelle-sur-erdre
Ensemble,7 219,"100,0",8 411,"100,0",9 712,"100,0",44047,coueron
1 pièce,51,"0,7",100,"1,2",119,"1,2",44047,coueron
2 pièces,495,"6,9",812,"9,7",1 154,"11,9",44047,coueron
3 pièces,1 225,"17,0",1 426,"16,9",1 704,"17,6",44047,coueron
4 pièces,2 280,"31,6",2 337,"27,8",2 649,"27,3",44047,coueron
5 pièces ou plus,3 167,"43,9",3 737,"44,4",4 085,"42,1",44047,coueron
Ensemble,146 514,"100,0",157 665,"100,0",170 341,"100,0",44109,nantes
1 pièce,21 289,"14,5",23 046,"14,6",24 845,"14,6",44109,nantes
2 pièces,32 967,"22,5",36 994,"23,5",41 136,"24,1",44109,nantes
3 pièces,35 335,"24,1",38 979,"24,7",42 420,"24,9",44109,nantes
4 pièces,28 177,"19,2",27 951,"17,7",29 538,"17,3",44109,nantes
5 pièces ou plus,28 746,"19,6",30 695,"19,5",32 401,"19,0",44109,nantes
Ensemble,10 509,"100,0",11 285,"100,0",12 097,"100,0",44114,orvault
1 pièce,183,"1,7",341,"3,0",479,"4,0",44114,orvault
2 pièces,1 176,"11,2",1 290,"11,4",1 353,"11,2",44114,orvault
3 pièces,1 832,"17,4",1 836,"16,3",2 081,"17,2",44114,orvault
4 pièces,2 400,"22,8",2 466,"21,9",2 566,"21,2",44114,orvault
5 pièces ou plus,4 918,"46,8",5 352,"47,4",5 617,"46,4",44114,orvault
Ensemble,17 475,"100,0",18 039,"100,0",20 321,"100,0",44143,reze
1 pièce,451,"2,6",589,"3,3",801,"3,9",44143,reze
2 pièces,2 217,"12,7",2 396,"13,3",3 040,"15,0",44143,reze
3 pièces,4 379,"25,1",4 441,"24,6",5 296,"26,1",44143,reze
4 pièces,5 249,"30,0",5 292,"29,3",5 396,"26,6",44143,reze
5 pièces ou plus,5 178,"29,6",5 320,"29,5",5 788,"28,5",44143,reze
Ensemble,18 941,"100,0",20 633,"100,0",23 298,"100,0",44162,saint-herblain
1 pièce,471,"2,5",830,"4,0",1 064,"4,6",44162,saint-herblain
2 pièces,2 375,"12,5",2 824,"13,7",3 765,"16,2",44162,saint-herblain
3 pièces,3 980,"21,0",4 683,"22,7",5 661,"24,3",44162,saint-herblain
4 pièces,5 649,"29,8",5 879,"28,5",6 093,"26,2",44162,saint-herblain
5 pièces ou plus,6 464,"34,1",6 417,"31,1",6 715,"28,8",44162,saint-herblain
Ensemble,32 146,"100,0",34 650,"100,0",36 615,"100,0",44184,saint-nazaire
1 pièce,1 709,"5,3",1 778,"5,1",2 069,"5,6",44184,saint-nazaire
2 pièces,4 395,"13,7",5 290,"15,3",6 284,"17,2",44184,saint-nazaire
3 pièces,7 705,"24,0",8 799,"25,4",9 315,"25,4",44184,saint-nazaire
4 pièces,8 582,"26,7",8 671,"25,0",8 639,"23,6",44184,saint-nazaire
5 pièces ou plus,9 755,"30,3",10 111,"29,2",10 308,"28,2",44184,saint-nazaire
Ensemble,11 066,"100,0",12 167,"100,0",13 755,"100,0",44190,saint-sebastien-sur-loire
1 pièce,245,"2,2",462,"3,8",465,"3,4",44190,saint-sebastien-sur-loire
2 pièces,1 389,"12,6",1 767,"14,5",2 460,"17,9",44190,saint-sebastien-sur-loire
3 pièces,2 390,"21,6",2 524,"20,7",3 050,"22,2",44190,saint-sebastien-sur-loire
4 pièces,3 106,"28,1",3 105,"25,5",3 035,"22,1",44190,saint-sebastien-sur-loire
5 pièces ou plus,3 936,"35,6",4 309,"35,4",4 746,"34,5",44190,saint-sebastien-sur-loire
Ensemble,8 641,"100,0",9 651,"100,0",11 303,"100,0",44215,vertou
1 pièce,137,"1,6",164,"1,7",319,"2,8",44215,vertou
2 pièces,633,"7,3",803,"8,3",1 145,"10,1",44215,vertou
3 pièces,1 167,"13,5",1 280,"13,3",1 628,"14,4",44215,vertou
4 pièces,2 247,"26,0",2 365,"24,5",2 561,"22,7",44215,vertou
5 pièces ou plus,4 458,"51,6",5 038,"52,2",5 650,"50,0",44215,vertou
Ensemble,8 753,"100,0",9 138,"100,0",9 395,"100,0",45147,fleury-les-aubrais
1 pièce,131,"1,5",206,"2,3",251,"2,7",45147,fleury-les-aubrais
2 pièces,749,"8,6",943,"10,3",969,"10,3",45147,fleury-les-aubrais
3 pièces,2 588,"29,6",2 430,"26,6",2 364,"25,2",45147,fleury-les-aubrais
4 pièces,2 973,"34,0",2 695,"29,5",2 798,"29,8",45147,fleury-les-aubrais
5 pièces ou plus,2 313,"26,4",2 864,"31,3",3 014,"32,1",45147,fleury-les-aubrais
Ensemble,9 298,"100,0",10 280,"100,0",11 213,"100,0",45232,olivet
1 pièce,1 460,"15,7",1 568,"15,3",1 799,"16,0",45232,olivet
2 pièces,1 049,"11,3",1 382,"13,4",1 571,"14,0",45232,olivet
3 pièces,1 376,"14,8",1 533,"14,9",1 686,"15,0",45232,olivet
4 pièces,1 775,"19,1",1 807,"17,6",2 043,"18,2",45232,olivet
5 pièces ou plus,3 639,"39,1",3 991,"38,8",4 114,"36,7",45232,olivet
Ensemble,55 022,"100,0",56 298,"100,0",58 306,"100,0",45234,orleans
1 pièce,6 941,"12,6",6 999,"12,4",6 980,"12,0",45234,orleans
2 pièces,11 382,"20,7",12 626,"22,4",13 068,"22,4",45234,orleans
3 pièces,14 041,"25,5",14 250,"25,3",14 865,"25,5",45234,orleans
4 pièces,11 313,"20,6",10 987,"19,5",11 560,"19,8",45234,orleans
5 pièces ou plus,11 345,"20,6",11 436,"20,3",11 834,"20,3",45234,orleans
Ensemble,8 250,"100,0",8 681,"100,0",9 470,"100,0",45284,saint-jean-de-braye
1 pièce,248,"3,0",430,"5,0",385,"4,1",45284,saint-jean-de-braye
2 pièces,1 154,"14,0",1 149,"13,2",1 371,"14,5",45284,saint-jean-de-braye
3 pièces,1 963,"23,8",1 938,"22,3",2 216,"23,4",45284,saint-jean-de-braye
4 pièces,2 115,"25,6",2 280,"26,3",2 361,"24,9",45284,saint-jean-de-braye
5 pièces ou plus,2 770,"33,6",2 883,"33,2",3 137,"33,1",45284,saint-jean-de-braye
Ensemble,10 202,"100,0",10 109,"100,0",10 985,"100,0",46042,cahors
1 pièce,783,"7,7",821,"8,1",702,"6,4",46042,cahors
2 pièces,1 381,"13,5",1 309,"13,0",1 699,"15,5",46042,cahors
3 pièces,2 614,"25,6",2 388,"23,6",2 516,"22,9",46042,cahors
4 pièces,3 128,"30,7",3 072,"30,4",2 989,"27,2",46042,cahors
5 pièces ou plus,2 296,"22,5",2 520,"24,9",3 078,"28,0",46042,cahors
Ensemble,17 653,"100,0",17 867,"100,0",17 466,"100,0",47001,agen
1 pièce,1 902,"10,8",1 972,"11,0",1 776,"10,2",47001,agen
2 pièces,3 632,"20,6",3 941,"22,1",3 807,"21,8",47001,agen
3 pièces,4 727,"26,8",5 214,"29,2",5 016,"28,7",47001,agen
4 pièces,3 921,"22,2",3 738,"20,9",3 565,"20,4",47001,agen
5 pièces ou plus,3 471,"19,7",3 002,"16,8",3 302,"18,9",47001,agen
Ensemble,11 285,"100,0",11 127,"100,0",11 012,"100,0",47323,villeneuve-sur-lot
1 pièce,409,"3,6",363,"3,3",373,"3,4",47323,villeneuve-sur-lot
2 pièces,1 270,"11,3",1 351,"12,1",1 318,"12,0",47323,villeneuve-sur-lot
3 pièces,2 309,"20,5",2 449,"22,0",2 498,"22,7",47323,villeneuve-sur-lot
4 pièces,3 508,"31,1",3 432,"30,8",3 076,"27,9",47323,villeneuve-sur-lot
5 pièces ou plus,3 790,"33,6",3 533,"31,7",3 747,"34,0",47323,villeneuve-sur-lot
Ensemble,75 304,"100,0",78 732,"100,0",83 463,"100,0",49007,angers
1 pièce,10 816,"14,4",11 754,"14,9",12 010,"14,4",49007,angers
2 pièces,15 602,"20,7",16 469,"20,9",17 676,"21,2",49007,angers
3 pièces,16 733,"22,2",18 082,"23,0",20 334,"24,4",49007,angers
4 pièces,15 190,"20,2",15 255,"19,4",15 178,"18,2",49007,angers
5 pièces ou plus,16 963,"22,5",17 172,"21,8",18 265,"21,9",49007,angers
Ensemble,8 642,"100,0",9 106,"100,0",9 607,"100,0",49023,beaupreau-en-mauges
1 pièce,120,"1,4",130,"1,4",152,"1,6",49023,beaupreau-en-mauges
2 pièces,488,"5,6",432,"4,7",402,"4,2",49023,beaupreau-en-mauges
3 pièces,1 016,"11,8",1 138,"12,5",1 270,"13,2",49023,beaupreau-en-mauges
4 pièces,2 073,"24,0",2 248,"24,7",2 412,"25,1",49023,beaupreau-en-mauges
5 pièces ou plus,4 945,"57,2",5 158,"56,6",5 371,"55,9",49023,beaupreau-en-mauges
Ensemble,7 927,"100,0",8 278,"100,0",8 596,"100,0",49092,chemille-en-anjou
1 pièce,89,"1,1",83,"1,0",106,"1,2",49092,chemille-en-anjou
2 pièces,422,"5,3",405,"4,9",381,"4,4",49092,chemille-en-anjou
3 pièces,1 088,"13,7",1 058,"12,8",1 150,"13,4",49092,chemille-en-anjou
4 pièces,1 969,"24,8",2 079,"25,1",2 037,"23,7",49092,chemille-en-anjou
5 pièces ou plus,4 358,"55,0",4 653,"56,2",4 923,"57,3",49092,chemille-en-anjou
Ensemble,24 604,"100,0",25 135,"100,0",25 929,"100,0",49099,cholet
1 pièce,1 315,"5,3",1 454,"5,8",1 552,"6,0",49099,cholet
2 pièces,2 595,"10,5",3 085,"12,3",3 303,"12,7",49099,cholet
3 pièces,4 341,"17,6",4 352,"17,3",4 596,"17,7",49099,cholet
4 pièces,7 043,"28,6",6 697,"26,6",6 502,"25,1",49099,cholet
5 pièces ou plus,9 310,"37,8",9 547,"38,0",9 976,"38,5",49099,cholet
Ensemble,9 214,"100,0",9 897,"100,0",10 314,"100,0",49301,sevremoine
1 pièce,87,"0,9",93,"0,9",99,"1,0",49301,sevremoine
2 pièces,373,"4,1",402,"4,1",361,"3,5",49301,sevremoine
3 pièces,1 121,"12,2",1 223,"12,4",1 290,"12,5",49301,sevremoine
4 pièces,2 322,"25,2",2 483,"25,1",2 616,"25,4",49301,sevremoine
5 pièces ou plus,5 310,"57,6",5 696,"57,6",5 946,"57,7",49301,sevremoine
Ensemble,12 995,"100,0",13 436,"100,0",13 259,"100,0",49328,saumur
1 pièce,644,"5,0",766,"5,7",449,"3,4",49328,saumur
2 pièces,1 812,"13,9",1 971,"14,7",2 044,"15,4",49328,saumur
3 pièces,2 748,"21,1",3 035,"22,6",2 943,"22,2",49328,saumur
4 pièces,3 271,"25,2",3 191,"23,7",3 141,"23,7",49328,saumur
5 pièces ou plus,4 520,"34,8",4 473,"33,3",4 681,"35,3",49328,saumur
Ensemble,38 034,"100,0",38 347,"100,0",39 179,"100,0",50129,cherbourg-en-cotentin
1 pièce,1 864,"4,9",1 823,"4,8",1 764,"4,5",50129,cherbourg-en-cotentin
2 pièces,5 095,"13,4",4 939,"12,9",4 944,"12,6",50129,cherbourg-en-cotentin
3 pièces,9 279,"24,4",9 070,"23,7",9 309,"23,8",50129,cherbourg-en-cotentin
4 pièces,10 276,"27,0",10 389,"27,1",10 127,"25,8",50129,cherbourg-en-cotentin
5 pièces ou plus,11 519,"30,3",12 126,"31,6",13 035,"33,3",50129,cherbourg-en-cotentin
Ensemble,20 957,"100,0",21 485,"100,0",21 783,"100,0",51108,chalons-en-champagne
1 pièce,1 395,"6,7",1 301,"6,1",1 292,"5,9",51108,chalons-en-champagne
2 pièces,3 416,"16,3",3 326,"15,5",3 304,"15,2",51108,chalons-en-champagne
3 pièces,5 500,"26,2",5 846,"27,2",6 048,"27,8",51108,chalons-en-champagne
4 pièces,5 068,"24,2",5 249,"24,4",5 253,"24,1",51108,chalons-en-champagne
5 pièces ou plus,5 579,"26,6",5 763,"26,8",5 885,"27,0",51108,chalons-en-champagne
Ensemble,11 174,"100,0",11 468,"100,0",11 323,"100,0",51230,epernay
1 pièce,464,"4,2",528,"4,6",568,"5,0",51230,epernay
2 pièces,1 973,"17,7",2 176,"19,0",2 112,"18,7",51230,epernay
3 pièces,2 966,"26,5",3 092,"27,0",3 008,"26,6",51230,epernay
4 pièces,2 805,"25,1",2 606,"22,7",2 638,"23,3",51230,epernay
5 pièces ou plus,2 967,"26,6",3 066,"26,7",2 997,"26,5",51230,epernay
Ensemble,88 179,"100,0",92 169,"100,0",92 474,"100,0",51454,reims
1 pièce,10 090,"11,4",10 974,"11,9",11 087,"12,0",51454,reims
2 pièces,15 989,"18,1",16 573,"18,0",17 248,"18,7",51454,reims
3 pièces,21 956,"24,9",23 606,"25,6",24 424,"26,4",51454,reims
4 pièces,20 459,"23,2",20 377,"22,1",19 933,"21,6",51454,reims
5 pièces ou plus,19 686,"22,3",20 640,"22,4",19 782,"21,4",51454,reims
Ensemble,11 366,"100,0",11 278,"100,0",11 426,"100,0",52121,chaumont
1 pièce,617,"5,4",488,"4,3",449,"3,9",52121,chaumont
2 pièces,1 788,"15,7",1 671,"14,8",1 678,"14,7",52121,chaumont
3 pièces,2 540,"22,3",3 002,"26,6",2 932,"25,7",52121,chaumont
4 pièces,3 215,"28,3",3 120,"27,7",3 216,"28,1",52121,chaumont
5 pièces ou plus,3 207,"28,2",2 997,"26,6",3 152,"27,6",52121,chaumont
Ensemble,11 794,"100,0",11 575,"100,0",11 244,"100,0",52448,saint-dizier
1 pièce,637,"5,4",544,"4,7",620,"5,5",52448,saint-dizier
2 pièces,1 522,"12,9",1 614,"13,9",1 614,"14,4",52448,saint-dizier
3 pièces,2 984,"25,3",2 600,"22,5",2 803,"24,9",52448,saint-dizier
4 pièces,3 441,"29,2",3 368,"29,1",3 039,"27,0",52448,saint-dizier
5 pièces ou plus,3 211,"27,2",3 449,"29,8",3 168,"28,2",52448,saint-dizier
Ensemble,25 369,"100,0",25 286,"100,0",25 880,"100,0",53130,laval
1 pièce,2 033,"8,0",2 116,"8,4",1 979,"7,6",53130,laval
2 pièces,4 105,"16,2",4 127,"16,3",4 436,"17,1",53130,laval
3 pièces,6 153,"24,3",6 085,"24,1",6 114,"23,6",53130,laval
4 pièces,6 014,"23,7",5 730,"22,7",5 919,"22,9",53130,laval
5 pièces ou plus,7 065,"27,8",7 227,"28,6",7 432,"28,7",53130,laval
Ensemble,57 810,"100,0",58 639,"100,0",59 974,"100,0",54395,nancy
1 pièce,10 430,"18,0",10 147,"17,3",10 334,"17,2",54395,nancy
2 pièces,14 210,"24,6",15 292,"26,1",15 461,"25,8",54395,nancy
3 pièces,14 214,"24,6",14 955,"25,5",15 439,"25,7",54395,nancy
4 pièces,9 465,"16,4",9 526,"16,2",9 554,"15,9",54395,nancy
5 pièces ou plus,9 491,"16,4",8 718,"14,9",9 185,"15,3",54395,nancy
Ensemble,14 748,"100,0",15 076,"100,0",15 455,"100,0",54547,vandoeuvre-les-nancy
1 pièce,2 733,"18,5",3 138,"20,8",3 470,"22,4",54547,vandoeuvre-les-nancy
2 pièces,2 148,"14,6",2 338,"15,5",2 216,"14,3",54547,vandoeuvre-les-nancy
3 pièces,3 507,"23,8",3 408,"22,6",3 554,"23,0",54547,vandoeuvre-les-nancy
4 pièces,3 442,"23,3",3 227,"21,4",3 356,"21,7",54547,vandoeuvre-les-nancy
5 pièces ou plus,2 918,"19,8",2 965,"19,7",2 859,"18,5",54547,vandoeuvre-les-nancy
Ensemble,9 878,"100,0",10 176,"100,0",10 814,"100,0",56098,lanester
1 pièce,260,"2,6",364,"3,6",236,"2,2",56098,lanester
2 pièces,870,"8,8",958,"9,4",1 274,"11,8",56098,lanester
3 pièces,2 036,"20,6",2 067,"20,3",2 198,"20,3",56098,lanester
4 pièces,2 858,"28,9",2 623,"25,8",2 609,"24,1",56098,lanester
5 pièces ou plus,3 854,"39,0",4 163,"40,9",4 497,"41,6",56098,lanester
Ensemble,30 995,"100,0",31 635,"100,0",32 458,"100,0",56121,lorient
1 pièce,2 609,"8,4",2 844,"9,0",2 753,"8,5",56121,lorient
2 pièces,5 468,"17,6",5 655,"17,9",6 183,"19,0",56121,lorient
3 pièces,8 349,"26,9",8 547,"27,0",8 912,"27,5",56121,lorient
4 pièces,7 315,"23,6",7 425,"23,5",7 252,"22,3",56121,lorient
5 pièces ou plus,7 253,"23,4",7 165,"22,6",7 359,"22,7",56121,lorient
Ensemble,27 410,"100,0",27 987,"100,0",29 688,"100,0",56260,vannes
1 pièce,3 001,"10,9",2 696,"9,6",2 847,"9,6",56260,vannes
2 pièces,5 306,"19,4",5 549,"19,8",6 095,"20,5",56260,vannes
3 pièces,6 133,"22,4",6 534,"23,3",7 055,"23,8",56260,vannes
4 pièces,5 242,"19,1",5 124,"18,3",5 135,"17,3",56260,vannes
5 pièces ou plus,7 728,"28,2",8 084,"28,9",8 555,"28,8",56260,vannes
Ensemble,9 449,"100,0",9 380,"100,0",9 124,"100,0",57227,forbach
1 pièce,249,"2,6",320,"3,4",347,"3,8",57227,forbach
2 pièces,1 161,"12,3",1 046,"11,2",1 013,"11,1",57227,forbach
3 pièces,2 461,"26,0",2 316,"24,7",2 012,"22,1",57227,forbach
4 pièces,2 560,"27,1",2 569,"27,4",2 506,"27,5",57227,forbach
5 pièces ou plus,3 019,"31,9",3 130,"33,4",3 246,"35,6",57227,forbach
Ensemble,57 002,"100,0",56 438,"100,0",61 061,"100,0",57463,metz
1 pièce,6 764,"11,9",6 999,"12,4",7 870,"12,9",57463,metz
2 pièces,10 655,"18,7",10 552,"18,7",12 052,"19,7",57463,metz
3 pièces,13 776,"24,2",14 076,"24,9",15 848,"26,0",57463,metz
4 pièces,12 899,"22,6",12 640,"22,4",13 011,"21,3",57463,metz
5 pièces ou plus,12 908,"22,6",12 171,"21,6",12 281,"20,1",57463,metz
Ensemble,10 868,"100,0",10 870,"100,0",11 106,"100,0",57480,montigny-les-metz
1 pièce,592,"5,4",640,"5,9",601,"5,4",57480,montigny-les-metz
2 pièces,1 669,"15,4",1 756,"16,2",1 933,"17,4",57480,montigny-les-metz
3 pièces,3 049,"28,1",2 969,"27,3",3 210,"28,9",57480,montigny-les-metz
4 pièces,2 689,"24,7",2 497,"23,0",2 509,"22,6",57480,montigny-les-metz
5 pièces ou plus,2 869,"26,4",3 007,"27,7",2 853,"25,7",57480,montigny-les-metz
Ensemble,10 013,"100,0",10 150,"100,0",10 205,"100,0",57631,sarreguemines
1 pièce,439,"4,4",586,"5,8",478,"4,7",57631,sarreguemines
2 pièces,1 187,"11,9",1 330,"13,1",1 412,"13,8",57631,sarreguemines
3 pièces,2 478,"24,8",2 531,"24,9",2 422,"23,7",57631,sarreguemines
4 pièces,2 610,"26,1",2 449,"24,1",2 567,"25,2",57631,sarreguemines
5 pièces ou plus,3 298,"32,9",3 254,"32,1",3 325,"32,6",57631,sarreguemines
Ensemble,19 132,"100,0",19 062,"100,0",20 899,"100,0",57672,thionville
1 pièce,1 147,"6,0",857,"4,5",899,"4,3",57672,thionville
2 pièces,2 270,"11,9",2 641,"13,9",3 372,"16,1",57672,thionville
3 pièces,4 767,"24,9",4 954,"26,0",5 634,"27,0",57672,thionville
4 pièces,4 850,"25,4",4 849,"25,4",4 927,"23,6",57672,thionville
5 pièces ou plus,6 097,"31,9",5 761,"30,2",6 067,"29,0",57672,thionville
Ensemble,18 717,"100,0",17 973,"100,0",17 910,"100,0",58194,nevers
1 pièce,1 400,"7,5",1 150,"6,4",1 189,"6,6",58194,nevers
2 pièces,3 109,"16,6",3 103,"17,3",3 081,"17,2",58194,nevers
3 pièces,5 423,"29,0",5 265,"29,3",4 951,"27,6",58194,nevers
4 pièces,4 987,"26,6",4 349,"24,2",4 527,"25,3",58194,nevers
5 pièces ou plus,3 797,"20,3",4 107,"22,9",4 163,"23,2",58194,nevers
Ensemble,24 704,"100,0",25 268,"100,0",27 582,"100,0",59009,villeneuve-d-ascq
1 pièce,1 804,"7,3",2 074,"8,2",3 425,"12,4",59009,villeneuve-d-ascq
2 pièces,2 800,"11,3",3 104,"12,3",3 236,"11,7",59009,villeneuve-d-ascq
3 pièces,4 937,"20,0",4 977,"19,7",5 066,"18,4",59009,villeneuve-d-ascq
4 pièces,5 669,"22,9",5 666,"22,4",5 842,"21,2",59009,villeneuve-d-ascq
5 pièces ou plus,9 494,"38,4",9 447,"37,4",10 014,"36,3",59009,villeneuve-d-ascq
Ensemble,10 295,"100,0",10 556,"100,0",11 444,"100,0",59017,armentieres
1 pièce,428,"4,2",485,"4,6",541,"4,7",59017,armentieres
2 pièces,1 265,"12,3",1 519,"14,4",1 950,"17,0",59017,armentieres
3 pièces,1 500,"14,6",1 721,"16,3",2 150,"18,8",59017,armentieres
