Nombre de pièces,2010,%,2015,%,2021,%,code_insee,Ville
4 pièces,3 839,"18,4",3 739,"17,6",3 884,"18,5",06030,le-cannet
5 pièces ou plus,1 495,"7,2",1 415,"6,7",1 504,"7,2",06030,le-cannet
Ensemble,21 378,"100,0",21 411,"100,0",20 759,"100,0",06069,grasse
1 pièce,1 113,"5,2",1 217,"5,7",1 075,"5,2",06069,grasse
2 pièces,4 124,"19,3",4 090,"19,1",4 047,"19,5",06069,grasse
3 pièces,6 779,"31,7",6 870,"32,1",6 479,"31,2",06069,grasse
4 pièces,5 522,"25,8",5 408,"25,3",5 176,"24,9",06069,grasse
5 pièces ou plus,3 838,"18,0",3 826,"17,9",3 982,"19,2",06069,grasse
Ensemble,11 159,"100,0",11 575,"100,0",11 136,"100,0",06079,mandelieu-la-napoule
1 pièce,1 523,"13,7",1 771,"15,3",1 302,"11,7",06079,mandelieu-la-napoule
2 pièces,3 032,"27,2",3 132,"27,1",3 006,"27,0",06079,mandelieu-la-napoule
3 pièces,3 344,"30,0",3 550,"30,7",3 467,"31,1",06079,mandelieu-la-napoule
4 pièces,2 031,"18,2",2 035,"17,6",2 111,"19,0",06079,mandelieu-la-napoule
5 pièces ou plus,1 229,"11,0",1 088,"9,4",1 250,"11,2",06079,mandelieu-la-napoule
Ensemble,13 881,"100,0",13 497,"100,0",14 893,"100,0",06083,menton
1 pièce,1 789,"12,9",1 483,"11,0",1 750,"11,7",06083,menton
2 pièces,3 754,"27,0",3 780,"28,0",4 192,"28,2",06083,menton
3 pièces,4 710,"33,9",4 808,"35,6",5 285,"35,5",06083,menton
4 pièces,2 540,"18,3",2 473,"18,3",2 631,"17,7",06083,menton
5 pièces ou plus,1 089,"7,8",952,"7,1",1 034,"6,9",06083,menton
Ensemble,165 754,"100,0",166 743,"100,0",171 606,"100,0",06088,nice
1 pièce,22 042,"13,3",23 492,"14,1",24 255,"14,1",06088,nice
2 pièces,44 293,"26,7",45 107,"27,1",47 349,"27,6",06088,nice
3 pièces,57 913,"34,9",58 364,"35,0",60 100,"35,0",06088,nice
4 pièces,29 538,"17,8",28 043,"16,8",28 076,"16,4",06088,nice
5 pièces ou plus,11 968,"7,2",11 736,"7,0",11 827,"6,9",06088,nice
Ensemble,14 104,"100,0",13 933,"100,0",15 019,"100,0",06123,saint-laurent-du-var
1 pièce,1 381,"9,8",1 557,"11,2",1 386,"9,2",06123,saint-laurent-du-var
2 pièces,3 198,"22,7",3 257,"23,4",3 875,"25,8",06123,saint-laurent-du-var
3 pièces,5 113,"36,3",4 619,"33,2",5 206,"34,7",06123,saint-laurent-du-var
4 pièces,3 072,"21,8",3 301,"23,7",3 166,"21,1",06123,saint-laurent-du-var
5 pièces ou plus,1 340,"9,5",1 200,"8,6",1 386,"9,2",06123,saint-laurent-du-var
Ensemble,12 356,"100,0",11 954,"100,0",13 446,"100,0",06155,vallauris
1 pièce,1 491,"12,1",1 241,"10,4",1 403,"10,4",06155,vallauris
2 pièces,3 219,"26,0",3 403,"28,5",3 988,"29,7",06155,vallauris
3 pièces,3 891,"31,5",3 635,"30,4",4 090,"30,4",06155,vallauris
4 pièces,2 152,"17,4",2 074,"17,3",2 265,"16,8",06155,vallauris
5 pièces ou plus,1 604,"13,0",1 601,"13,4",1 701,"12,6",06155,vallauris
Ensemble,23 474,"100,0",23 073,"100,0",22 554,"100,0",08105,charleville-mezieres
1 pièce,1 345,"5,7",1 336,"5,8",902,"4,0",08105,charleville-mezieres
2 pièces,3 566,"15,2",3 112,"13,5",3 124,"13,8",08105,charleville-mezieres
3 pièces,6 255,"26,6",6 336,"27,5",5 940,"26,3",08105,charleville-mezieres
4 pièces,6 715,"28,6",6 295,"27,3",6 350,"28,2",08105,charleville-mezieres
5 pièces ou plus,5 592,"23,8",5 995,"26,0",6 238,"27,7",08105,charleville-mezieres
Ensemble,30 105,"100,0",32 048,"100,0",33 361,"100,0",10387,troyes
1 pièce,2 586,"8,6",3 500,"10,9",3 692,"11,1",10387,troyes
2 pièces,6 477,"21,5",7 307,"22,8",8 123,"24,3",10387,troyes
3 pièces,8 719,"29,0",9 476,"29,6",9 852,"29,5",10387,troyes
4 pièces,7 142,"23,7",7 004,"21,9",6 716,"20,1",10387,troyes
5 pièces ou plus,5 181,"17,2",4 761,"14,9",4 978,"14,9",10387,troyes
Ensemble,22 064,"100,0",22 279,"100,0",23 315,"100,0",11069,carcassonne
1 pièce,957,"4,3",1 080,"4,8",958,"4,1",11069,carcassonne
2 pièces,3 301,"15,0",3 322,"14,9",3 321,"14,2",11069,carcassonne
3 pièces,4 541,"20,6",4 668,"21,0",5 145,"22,1",11069,carcassonne
4 pièces,6 434,"29,2",6 478,"29,1",6 618,"28,4",11069,carcassonne
5 pièces ou plus,6 832,"31,0",6 731,"30,2",7 274,"31,2",11069,carcassonne
Ensemble,24 540,"100,0",26 360,"100,0",29 302,"100,0",11262,narbonne
1 pièce,1 244,"5,1",1 323,"5,0",1 651,"5,6",11262,narbonne
2 pièces,3 617,"14,7",4 282,"16,2",5 454,"18,6",11262,narbonne
3 pièces,6 040,"24,6",7 255,"27,5",8 186,"27,9",11262,narbonne
4 pièces,7 406,"30,2",7 298,"27,7",7 495,"25,6",11262,narbonne
5 pièces ou plus,6 232,"25,4",6 203,"23,5",6 517,"22,2",11262,narbonne
Ensemble,10 600,"100,0",10 644,"100,0",10 676,"100,0",12145,millau
1 pièce,306,"2,9",408,"3,8",233,"2,2",12145,millau
2 pièces,1 414,"13,3",1 334,"12,5",1 335,"12,5",12145,millau
3 pièces,2 396,"22,6",2 498,"23,5",2 626,"24,6",12145,millau
4 pièces,3 145,"29,7",3 295,"31,0",3 373,"31,6",12145,millau
5 pièces ou plus,3 339,"31,5",3 109,"29,2",3 110,"29,1",12145,millau
Ensemble,12 692,"100,0",13 084,"100,0",13 983,"100,0",12202,rodez
1 pièce,1 091,"8,6",1 291,"9,9",1 198,"8,6",12202,rodez
2 pièces,2 568,"20,2",2 662,"20,3",3 468,"24,8",12202,rodez
