Nombre d'enfants,2010,%,2015,%.1,2021,%.2,code_insee,Ville
3 enfants,856,"6,1",946,"6,9",778,"5,8",06069,grasse
4 enfants ou plus,319,"2,3",304,"2,2",324,"2,4",06069,grasse
Ensemble,6552,"100,0",6433,"100,0",6248,"100,0",06079,mandelieu-la-napoule
Aucun enfant,3814,"58,2",3727,"57,9",3713,"59,4",06079,mandelieu-la-napoule
1 enfant,1464,"22,3",1493,"23,2",1376,"22,0",06079,mandelieu-la-napoule
2 enfants,1029,"15,7",957,"14,9",906,"14,5",06079,mandelieu-la-napoule
3 enfants,222,"3,4",230,"3,6",208,"3,3",06079,mandelieu-la-napoule
4 enfants ou plus,23,"0,4",25,"0,4",45,"0,7",06079,mandelieu-la-napoule
Ensemble,8145,"100,0",8124,"100,0",8607,"100,0",06083,menton
Aucun enfant,4095,"50,3",4276,"52,6",4544,"52,8",06083,menton
1 enfant,2169,"26,6",2068,"25,5",1959,"22,8",06083,menton
2 enfants,1490,"18,3",1431,"17,6",1625,"18,9",06083,menton
3 enfants,314,"3,8",281,"3,5",384,"4,5",06083,menton
4 enfants ou plus,78,"1,0",67,"0,8",96,"1,1",06083,menton
Ensemble,88758,"100,0",87712,"100,0",90615,"100,0",06088,nice
Aucun enfant,43203,"48,7",42678,"48,7",44809,"49,4",06088,nice
1 enfant,22428,"25,3",22410,"25,5",22162,"24,5",06088,nice
2 enfants,16095,"18,1",15421,"17,6",15938,"17,6",06088,nice
3 enfants,4909,"5,5",5219,"6,0",5504,"6,1",06088,nice
4 enfants ou plus,2123,"2,4",1984,"2,3",2202,"2,4",06088,nice
Ensemble,8785,"100,0",8510,"100,0",9148,"100,0",06123,saint-laurent-du-var
Aucun enfant,4444,"50,6",4530,"53,2",4704,"51,4",06123,saint-laurent-du-var
1 enfant,2211,"25,2",2092,"24,6",2235,"24,4",06123,saint-laurent-du-var
2 enfants,1713,"19,5",1515,"17,8",1681,"18,4",06123,saint-laurent-du-var
3 enfants,361,"4,1",311,"3,6",437,"4,8",06123,saint-laurent-du-var
4 enfants ou plus,56,"0,6",63,"0,7",92,"1,0",06123,saint-laurent-du-var
Ensemble,7982,"100,0",7489,"100,0",7950,"100,0",06155,vallauris
Aucun enfant,4111,"51,5",4041,"54,0",4378,"55,1",06155,vallauris
1 enfant,1647,"20,6",1661,"22,2",1802,"22,7",06155,vallauris
2 enfants,1664,"20,8",1348,"18,0",1255,"15,8",06155,vallauris
3 enfants,419,"5,2",330,"4,4",402,"5,1",06155,vallauris
4 enfants ou plus,142,"1,8",109,"1,4",113,"1,4",06155,vallauris
Ensemble,13018,"100,0",12121,"100,0",11678,"100,0",08105,charleville-mezieres
Aucun enfant,6214,"47,7",5746,"47,4",5589,"47,9",08105,charleville-mezieres
1 enfant,3183,"24,5",3018,"24,9",2802,"24,0",08105,charleville-mezieres
2 enfants,2368,"18,2",2073,"17,1",1939,"16,6",08105,charleville-mezieres
3 enfants,856,"6,6",896,"7,4",954,"8,2",08105,charleville-mezieres
4 enfants ou plus,397,"3,0",389,"3,2",394,"3,4",08105,charleville-mezieres
Ensemble,14784,"100,0",14399,"100,0",14461,"100,0",10387,troyes
Aucun enfant,6847,"46,3",6713,"46,6",6295,"43,5",10387,troyes
1 enfant,3902,"26,4",3891,"27,0",3737,"25,8",10387,troyes
2 enfants,2522,"17,1",2258,"15,7",2573,"17,8",10387,troyes
3 enfants,994,"6,7",1064,"7,4",1171,"8,1",10387,troyes
4 enfants ou plus,520,"3,5",473,"3,3",685,"4,7",10387,troyes
Ensemble,12511,"100,0",12011,"100,0",12302,"100,0",11069,carcassonne
Aucun enfant,5946,"47,5",5966,"49,7",6644,"54,0",11069,carcassonne
1 enfant,3203,"25,6",2840,"23,6",2856,"23,2",11069,carcassonne
2 enfants,2212,"17,7",2104,"17,5",1806,"14,7",11069,carcassonne
3 enfants,826,"6,6",757,"6,3",678,"5,5",11069,carcassonne
4 enfants ou plus,325,"2,6",345,"2,9",317,"2,6",11069,carcassonne
Ensemble,14078,"100,0",14728,"100,0",15083,"100,0",11262,narbonne
Aucun enfant,7416,"52,7",7689,"52,2",7879,"52,2",11262,narbonne
1 enfant,3172,"22,5",3644,"24,7",3611,"23,9",11262,narbonne
2 enfants,2433,"17,3",2383,"16,2",2409,"16,0",11262,narbonne
3 enfants,788,"5,6",750,"5,1",863,"5,7",11262,narbonne
4 enfants ou plus,269,"1,9",262,"1,8",322,"2,1",11262,narbonne
Ensemble,6155,"100,0",6169,"100,0",6167,"100,0",12145,millau
Aucun enfant,3438,"55,8",3382,"54,8",3448,"55,9",12145,millau
1 enfant,1341,"21,8",1326,"21,5",1354,"22,0",12145,millau
2 enfants,1007,"16,4",1024,"16,6",945,"15,3",12145,millau
3 enfants,296,"4,8",345,"5,6",339,"5,5",12145,millau
4 enfants ou plus,74,"1,2",92,"1,5",81,"1,3",12145,millau
Ensemble,5978,"100,0",5697,"100,0",5453,"100,0",12202,rodez
Aucun enfant,3335,"55,8",3172,"55,7",3201,"58,7",12202,rodez
1 enfant,1369,"22,9",1262,"22,2",1070,"19,6",12202,rodez
2 enfants,929,"15,5",878,"15,4",767,"14,1",12202,rodez
3 enfants,278,"4,6",288,"5,1",302,"5,5",12202,rodez
4 enfants ou plus,68,"1,1",96,"1,7",113,"2,1",12202,rodez
Ensemble,34783,"100,0",34932,"100,0",35569,"100,0",13001,aix-en-provence
Aucun enfant,17507,"50,3",18124,"51,9",18360,"51,6",13001,aix-en-provence
1 enfant,8479,"24,4",8178,"23,4",8473,"23,8",13001,aix-en-provence
2 enfants,6426,"18,5",6270,"18,0",6251,"17,6",13001,aix-en-provence
3 enfants,1857,"5,3",1898,"5,4",1904,"5,4",13001,aix-en-provence
4 enfants ou plus,513,"1,5",462,"1,3",581,"1,6",13001,aix-en-provence
Ensemble,5831,"100,0",6469,"100,0",6582,"100,0",13002,allauch
Aucun enfant,2728,"46,8",3274,"50,6",3331,"50,6",13002,allauch
1 enfant,1429,"24,5",1448,"22,4",1457,"22,1",13002,allauch
2 enfants,1335,"22,9",1430,"22,1",1438,"21,9",13002,allauch
3 enfants,305,"5,2",259,"4,0",307,"4,7",13002,allauch
4 enfants ou plus,34,"0,6",58,"0,9",49,"0,7",13002,allauch
Ensemble,14555,"100,0",14609,"100,0",13858,"100,0",13004,arles
Aucun enfant,7032,"48,3",7506,"51,4",7248,"52,3",13004,arles
1 enfant,3553,"24,4",3253,"22,3",3037,"21,9",13004,arles
2 enfants,2661,"18,3",2617,"17,9",2213,"16,0",13004,arles
3 enfants,994,"6,8",956,"6,5",1004,"7,2",13004,arles
4 enfants ou plus,315,"2,2",277,"1,9",356,"2,6",13004,arles
Ensemble,12720,"100,0",12514,"100,0",12981,"100,0",13005,aubagne
Aucun enfant,5597,"44,0",5720,"45,7",5852,"45,1",13005,aubagne
1 enfant,3226,"25,4",3093,"24,7",3315,"25,5",13005,aubagne
2 enfants,2875,"22,6",2701,"21,6",2703,"20,8",13005,aubagne
3 enfants,805,"6,3",765,"6,1",902,"6,9",13005,aubagne
4 enfants ou plus,217,"1,7",234,"1,9",209,"1,6",13005,aubagne
Ensemble,9716,"100,0",10046,"100,0",10382,"100,0",13028,la-ciotat
Aucun enfant,5169,"53,2",5314,"52,9",5583,"53,8",13028,la-ciotat
1 enfant,2341,"24,1",2451,"24,4",2462,"23,7",13028,la-ciotat
2 enfants,1658,"17,1",1741,"17,3",1813,"17,5",13028,la-ciotat
3 enfants,474,"4,9",433,"4,3",398,"3,8",13028,la-ciotat
4 enfants ou plus,74,"0,8",107,"1,1",125,"1,2",13028,la-ciotat
Ensemble,5902,"100,0",5611,"100,0",5864,"100,0",13041,gardanne
Aucun enfant,2639,"44,7",2608,"46,5",2806,"47,8",13041,gardanne
1 enfant,1599,"27,1",1309,"23,3",1449,"24,7",13041,gardanne
2 enfants,1229,"20,8",1231,"21,9",1217,"20,8",13041,gardanne
3 enfants,322,"5,5",360,"6,4",318,"5,4",13041,gardanne
4 enfants ou plus,112,"1,9",104,"1,9",74,"1,3",13041,gardanne
Ensemble,12297,"100,0",12536,"100,0",13074,"100,0",13047,istres
Aucun enfant,5441,"44,3",5789,"46,2",6332,"48,4",13047,istres
1 enfant,3147,"25,6",3241,"25,9",3173,"24,3",13047,istres
2 enfants,2665,"21,7",2506,"20,0",2520,"19,3",13047,istres
3 enfants,809,"6,6",805,"6,4",770,"5,9",13047,istres
4 enfants ou plus,235,"1,9",195,"1,6",279,"2,1",13047,istres
Ensemble,9772,"100,0",9697,"100,0",9293,"100,0",13054,marignane
Aucun enfant,4316,"44,2",4260,"43,9",4327,"46,6",13054,marignane
1 enfant,2457,"25,1",2360,"24,3",2296,"24,7",13054,marignane
2 enfants,2070,"21,2",2223,"22,9",1861,"20,0",13054,marignane
3 enfants,701,"7,2",696,"7,2",619,"6,7",13054,marignane
4 enfants ou plus,228,"2,3",158,"1,6",191,"2,1",13054,marignane
Ensemble,217462,"100,0",218158,"100,0",223210,"100,0",13055,marseille
Aucun enfant,94814,"43,6",95429,"43,7",99329,"44,5",13055,marseille
1 enfant,55610,"25,6",55274,"25,3",56268,"25,2",13055,marseille
2 enfants,42929,"19,7",43015,"19,7",42743,"19,1",13055,marseille
3 enfants,16116,"7,4",16592,"7,6",16766,"7,5",13055,marseille
4 enfants ou plus,7993,"3,7",7848,"3,6",8105,"3,6",13055,marseille
Ensemble,13503,"100,0",14051,"100,0",13812,"100,0",13056,martigues
Aucun enfant,6475,"48,0",6874,"48,9",6696,"48,5",13056,martigues
1 enfant,3194,"23,7",3429,"24,4",3267,"23,7",13056,martigues
2 enfants,2745,"20,3",2671,"19,0",2670,"19,3",13056,martigues
3 enfants,815,"6,0",850,"6,0",852,"6,2",13056,martigues
4 enfants ou plus,274,"2,0",228,"1,6",328,"2,4",13056,martigues
Ensemble,7113,"100,0",7007,"100,0",7227,"100,0",13063,miramas
Aucun enfant,3089,"43,4",3191,"45,5",3317,"45,9",13063,miramas
1 enfant,1691,"23,8",1603,"22,9",1531,"21,2",13063,miramas
2 enfants,1452,"20,4",1346,"19,2",1368,"18,9",13063,miramas
3 enfants,633,"8,9",582,"8,3",691,"9,6",13063,miramas
4 enfants ou plus,247,"3,5",284,"4,1",320,"4,4",13063,miramas
Ensemble,5965,"100,0",6626,"100,0",7047,"100,0",13071,les-pennes-mirabeau
