Nombre d'enfants,2010,%,2015,%.1,2021,%.2,code_insee,Ville
2 enfants,1234,"23,3",1277,"23,4",1376,"23,9",44020,bouguenais
3 enfants,403,"7,6",429,"7,9",372,"6,5",44020,bouguenais
4 enfants ou plus,111,"2,1",76,"1,4",97,"1,7",44020,bouguenais
Ensemble,4942,"100,0",5257,"100,0",5678,"100,0",44026,carquefou
Aucun enfant,2251,"45,6",2396,"45,6",2720,"47,9",44026,carquefou
1 enfant,976,"19,7",1016,"19,3",1220,"21,5",44026,carquefou
2 enfants,1242,"25,1",1268,"24,1",1277,"22,5",44026,carquefou
3 enfants,391,"7,9",492,"9,4",398,"7,0",44026,carquefou
4 enfants ou plus,81,"1,6",85,"1,6",63,"1,1",44026,carquefou
Ensemble,5179,"100,0",5686,"100,0",6044,"100,0",44035,la-chapelle-sur-erdre
Aucun enfant,2387,"46,1",2626,"46,2",2816,"46,6",44035,la-chapelle-sur-erdre
1 enfant,1000,"19,3",1157,"20,3",1217,"20,1",44035,la-chapelle-sur-erdre
2 enfants,1235,"23,8",1380,"24,3",1484,"24,5",44035,la-chapelle-sur-erdre
3 enfants,478,"9,2",455,"8,0",431,"7,1",44035,la-chapelle-sur-erdre
4 enfants ou plus,79,"1,5",68,"1,2",96,"1,6",44035,la-chapelle-sur-erdre
Ensemble,5429,"100,0",5973,"100,0",6682,"100,0",44047,coueron
Aucun enfant,2505,"46,1",2660,"44,5",2941,"44,0",44047,coueron
1 enfant,982,"18,1",1171,"19,6",1479,"22,1",44047,coueron
2 enfants,1364,"25,1",1631,"27,3",1668,"25,0",44047,coueron
3 enfants,492,"9,1",451,"7,6",491,"7,3",44047,coueron
4 enfants ou plus,86,"1,6",60,"1,0",103,"1,5",44047,coueron
Ensemble,66453,"100,0",69636,"100,0",73393,"100,0",44109,nantes
Aucun enfant,31664,"47,6",33203,"47,7",34958,"47,6",44109,nantes
1 enfant,15972,"24,0",16337,"23,5",16673,"22,7",44109,nantes
2 enfants,12398,"18,7",13080,"18,8",14264,"19,4",44109,nantes
3 enfants,4757,"7,2",5208,"7,5",5343,"7,3",44109,nantes
4 enfants ou plus,1662,"2,5",1809,"2,6",2155,"2,9",44109,nantes
Ensemble,7342,"100,0",7352,"100,0",7796,"100,0",44114,orvault
Aucun enfant,3865,"52,6",3718,"50,6",3833,"49,2",44114,orvault
1 enfant,1500,"20,4",1512,"20,6",1446,"18,5",44114,orvault
2 enfants,1330,"18,1",1459,"19,8",1580,"20,3",44114,orvault
3 enfants,545,"7,4",517,"7,0",748,"9,6",44114,orvault
4 enfants ou plus,103,"1,4",146,"2,0",188,"2,4",44114,orvault
Ensemble,10452,"100,0",10579,"100,0",11408,"100,0",44143,reze
Aucun enfant,4780,"45,7",4590,"43,4",5016,"44,0",44143,reze
1 enfant,2476,"23,7",2561,"24,2",2760,"24,2",44143,reze
2 enfants,2326,"22,3",2453,"23,2",2665,"23,4",44143,reze
3 enfants,703,"6,7",797,"7,5",755,"6,6",44143,reze
4 enfants ou plus,166,"1,6",178,"1,7",211,"1,8",44143,reze
Ensemble,12132,"100,0",12541,"100,0",13318,"100,0",44162,saint-herblain
Aucun enfant,5730,"47,2",5690,"45,4",6272,"47,1",44162,saint-herblain
1 enfant,2745,"22,6",2914,"23,2",3086,"23,2",44162,saint-herblain
2 enfants,2476,"20,4",2654,"21,2",2828,"21,2",44162,saint-herblain
3 enfants,878,"7,2",951,"7,6",857,"6,4",44162,saint-herblain
4 enfants ou plus,303,"2,5",333,"2,7",274,"2,1",44162,saint-herblain
Ensemble,17988,"100,0",18287,"100,0",18989,"100,0",44184,saint-nazaire
Aucun enfant,9139,"50,8",9108,"49,8",9803,"51,6",44184,saint-nazaire
1 enfant,3942,"21,9",4024,"22,0",4143,"21,8",44184,saint-nazaire
2 enfants,3350,"18,6",3427,"18,7",3402,"17,9",44184,saint-nazaire
3 enfants,1197,"6,7",1266,"6,9",1198,"6,3",44184,saint-nazaire
4 enfants ou plus,360,"2,0",462,"2,5",444,"2,3",44184,saint-nazaire
Ensemble,7277,"100,0",7430,"100,0",7777,"100,0",44190,saint-sebastien-sur-loire
Aucun enfant,3767,"51,8",3721,"50,1",3936,"50,6",44190,saint-sebastien-sur-loire
1 enfant,1473,"20,2",1542,"20,8",1721,"22,1",44190,saint-sebastien-sur-loire
2 enfants,1422,"19,5",1674,"22,5",1581,"20,3",44190,saint-sebastien-sur-loire
3 enfants,515,"7,1",406,"5,5",431,"5,5",44190,saint-sebastien-sur-loire
4 enfants ou plus,100,"1,4",87,"1,2",108,"1,4",44190,saint-sebastien-sur-loire
Ensemble,6418,"100,0",7012,"100,0",7820,"100,0",44215,vertou
Aucun enfant,3208,"50,0",3659,"52,2",3950,"50,5",44215,vertou
1 enfant,1229,"19,2",1377,"19,6",1606,"20,5",44215,vertou
2 enfants,1420,"22,1",1458,"20,8",1676,"21,4",44215,vertou
3 enfants,477,"7,4",411,"5,9",488,"6,2",44215,vertou
4 enfants ou plus,84,"1,3",106,"1,5",100,"1,3",44215,vertou
Ensemble,5928,"100,0",5797,"100,0",5882,"100,0",45147,fleury-les-aubrais
Aucun enfant,2662,"44,9",2562,"44,2",2648,"45,0",45147,fleury-les-aubrais
1 enfant,1440,"24,3",1383,"23,9",1342,"22,8",45147,fleury-les-aubrais
2 enfants,1196,"20,2",1143,"19,7",1027,"17,5",45147,fleury-les-aubrais
3 enfants,438,"7,4",480,"8,3",599,"10,2",45147,fleury-les-aubrais
4 enfants ou plus,191,"3,2",229,"3,9",266,"4,5",45147,fleury-les-aubrais
Ensemble,5233,"100,0",5785,"100,0",5888,"100,0",45232,olivet
Aucun enfant,2880,"55,0",3099,"53,6",3250,"55,2",45232,olivet
1 enfant,1078,"20,6",1132,"19,6",1141,"19,4",45232,olivet
2 enfants,928,"17,7",1101,"19,0",1007,"17,1",45232,olivet
3 enfants,250,"4,8",341,"5,9",344,"5,8",45232,olivet
4 enfants ou plus,97,"1,8",111,"1,9",147,"2,5",45232,olivet
Ensemble,27834,"100,0",27382,"100,0",27627,"100,0",45234,orleans
Aucun enfant,12880,"46,3",12642,"46,2",12784,"46,3",45234,orleans
1 enfant,6882,"24,7",6592,"24,1",6427,"23,3",45234,orleans
2 enfants,4921,"17,7",4991,"18,2",4788,"17,3",45234,orleans
3 enfants,2116,"7,6",2062,"7,5",2291,"8,3",45234,orleans
4 enfants ou plus,1034,"3,7",1095,"4,0",1337,"4,8",45234,orleans
Ensemble,5269,"100,0",5518,"100,0",5782,"100,0",45284,saint-jean-de-braye
Aucun enfant,2340,"44,4",2380,"43,1",2420,"41,9",45284,saint-jean-de-braye
1 enfant,1294,"24,6",1313,"23,8",1367,"23,6",45284,saint-jean-de-braye
2 enfants,1092,"20,7",1177,"21,3",1184,"20,5",45284,saint-jean-de-braye
3 enfants,373,"7,1",415,"7,5",527,"9,1",45284,saint-jean-de-braye
4 enfants ou plus,170,"3,2",233,"4,2",285,"4,9",45284,saint-jean-de-braye
Ensemble,5371,"100,0",5110,"100,0",5226,"100,0",46042,cahors
Aucun enfant,2881,"53,6",2786,"54,5",2919,"55,9",46042,cahors
1 enfant,1216,"22,6",1193,"23,4",1191,"22,8",46042,cahors
2 enfants,975,"18,2",815,"16,0",807,"15,4",46042,cahors
3 enfants,232,"4,3",252,"4,9",228,"4,4",46042,cahors
4 enfants ou plus,67,"1,2",64,"1,3",81,"1,5",46042,cahors
Ensemble,7625,"100,0",7453,"100,0",7323,"100,0",47001,agen
Aucun enfant,3639,"47,7",3455,"46,4",3341,"45,6",47001,agen
1 enfant,2002,"26,3",2101,"28,2",1926,"26,3",47001,agen
2 enfants,1309,"17,2",1202,"16,1",1290,"17,6",47001,agen
3 enfants,465,"6,1",443,"5,9",528,"7,2",47001,agen
4 enfants ou plus,209,"2,7",252,"3,4",237,"3,2",47001,agen
Ensemble,6345,"100,0",6089,"100,0",5794,"100,0",47323,villeneuve-sur-lot
Aucun enfant,3552,"56,0",3404,"55,9",3257,"56,2",47323,villeneuve-sur-lot
1 enfant,1279,"20,2",1233,"20,2",1219,"21,0",47323,villeneuve-sur-lot
2 enfants,1002,"15,8",938,"15,4",880,"15,2",47323,villeneuve-sur-lot
3 enfants,330,"5,2",382,"6,3",324,"5,6",47323,villeneuve-sur-lot
4 enfants ou plus,182,"2,9",131,"2,2",114,"2,0",47323,villeneuve-sur-lot
Ensemble,33909,"100,0",33583,"100,0",34790,"100,0",49007,angers
Aucun enfant,16879,"49,8",16261,"48,4",16570,"47,6",49007,angers
1 enfant,7891,"23,3",7681,"22,9",7942,"22,8",49007,angers
2 enfants,5703,"16,8",5986,"17,8",6418,"18,4",49007,angers
3 enfants,2423,"7,1",2458,"7,3",2665,"7,7",49007,angers
4 enfants ou plus,1013,"3,0",1197,"3,6",1194,"3,4",49007,angers
Ensemble,6308,"100,0",6580,"100,0",8107,"100,0",49023,beaupreau-en-mauges
Aucun enfant,3036,"48,1",3286,"49,9",4053,"50,0",49023,beaupreau-en-mauges
1 enfant,1187,"18,8",1105,"16,8",1289,"15,9",49023,beaupreau-en-mauges
2 enfants,1335,"21,2",1334,"20,3",1776,"21,9",49023,beaupreau-en-mauges
3 enfants,635,"10,1",712,"10,8",814,"10,0",49023,beaupreau-en-mauges
4 enfants ou plus,115,"1,8",143,"2,2",176,"2,2",49023,beaupreau-en-mauges
Ensemble,5813,"100,0",6029,"100,0",7086,"100,0",49092,chemille-en-anjou
Aucun enfant,2720,"46,8",2915,"48,3",3335,"47,1",49092,chemille-en-anjou
1 enfant,1064,"18,3",1009,"16,7",1351,"19,1",49092,chemille-en-anjou
2 enfants,1227,"21,1",1294,"21,5",1567,"22,1",49092,chemille-en-anjou
3 enfants,671,"11,6",681,"11,3",660,"9,3",49092,chemille-en-anjou
4 enfants ou plus,130,"2,2",130,"2,2",173,"2,4",49092,chemille-en-anjou
Ensemble,14813,"100,0",14747,"100,0",14376,"100,0",49099,cholet
Aucun enfant,7610,"51,4",7748,"52,5",7706,"53,6",49099,cholet
1 enfant,2957,"20,0",2862,"19,4",2710,"18,9",49099,cholet
2 enfants,2718,"18,3",2706,"18,3",2483,"17,3",49099,cholet
3 enfants,1143,"7,7",1072,"7,3",1099,"7,6",49099,cholet
4 enfants ou plus,384,"2,6",359,"2,4",378,"2,6",49099,cholet
Ensemble,6897,"100,0",7339,"100,0",8854,"100,0",49301,sevremoine
Aucun enfant,3132,"45,4",3350,"45,6",4133,"46,7",49301,sevremoine
1 enfant,1335,"19,3",1335,"18,2",1587,"17,9",49301,sevremoine
2 enfants,1576,"22,8",1781,"24,3",2190,"24,7",49301,sevremoine
3 enfants,740,"10,7",779,"10,6",839,"9,5",49301,sevremoine
4 enfants ou plus,115,"1,7",95,"1,3",105,"1,2",49301,sevremoine
Ensemble,7178,"100,0",7230,"100,0",6845,"100,0",49328,saumur
Aucun enfant,3807,"53,0",3946,"54,6",3968,"58,0",49328,saumur
1 enfant,1510,"21,0",1506,"20,8",1270,"18,6",49328,saumur
2 enfants,1197,"16,7",1144,"15,8",929,"13,6",49328,saumur
3 enfants,440,"6,1",414,"5,7",432,"6,3",49328,saumur
4 enfants ou plus,224,"3,1",219,"3,0",246,"3,6",49328,saumur
Ensemble,22327,"100,0",21740,"100,0",21586,"100,0",50129,cherbourg-en-cotentin
Aucun enfant,10787,"48,3",10825,"49,8",11323,"52,5",50129,cherbourg-en-cotentin
1 enfant,5125,"23,0",4829,"22,2",4850,"22,5",50129,cherbourg-en-cotentin
2 enfants,4276,"19,2",4117,"18,9",3924,"18,2",50129,cherbourg-en-cotentin
3 enfants,1687,"7,6",1504,"6,9",1127,"5,2",50129,cherbourg-en-cotentin
4 enfants ou plus,452,"2,0",465,"2,1",362,"1,7",50129,cherbourg-en-cotentin
Ensemble,11401,"100,0",11238,"100,0",10678,"100,0",51108,chalons-en-champagne
Aucun enfant,5226,"45,8",5380,"47,9",5119,"47,9",51108,chalons-en-champagne
1 enfant,2941,"25,8",2732,"24,3",2564,"24,0",51108,chalons-en-champagne
2 enfants,2088,"18,3",1979,"17,6",1884,"17,6",51108,chalons-en-champagne
3 enfants,787,"6,9",775,"6,9",791,"7,4",51108,chalons-en-champagne
4 enfants ou plus,359,"3,1",373,"3,3",320,"3,0",51108,chalons-en-champagne
Ensemble,6374,"100,0",6082,"100,0",5565,"100,0",51230,epernay
Aucun enfant,2989,"46,9",3068,"50,4",2763,"49,7",51230,epernay
1 enfant,1623,"25,5",1505,"24,7",1310,"23,5",51230,epernay
2 enfants,1155,"18,1",965,"15,9",987,"17,7",51230,epernay
3 enfants,439,"6,9",393,"6,5",350,"6,3",51230,epernay
4 enfants ou plus,168,"2,6",151,"2,5",155,"2,8",51230,epernay
Ensemble,44271,"100,0",44317,"100,0",42362,"100,0",51454,reims
Aucun enfant,20401,"46,1",20387,"46,0",19492,"46,0",51454,reims
1 enfant,11649,"26,3",10974,"24,8",10568,"24,9",51454,reims
2 enfants,7904,"17,9",8255,"18,6",7435,"17,6",51454,reims
3 enfants,3009,"6,8",3346,"7,5",3592,"8,5",51454,reims
4 enfants ou plus,1308,"3,0",1355,"3,1",1276,"3,0",51454,reims
Ensemble,5970,"100,0",5771,"100,0",5383,"100,0",52121,chaumont
Aucun enfant,3231,"54,1",3128,"54,2",3045,"56,6",52121,chaumont
1 enfant,1304,"21,8",1319,"22,9",1110,"20,6",52121,chaumont
2 enfants,991,"16,6",897,"15,5",822,"15,3",52121,chaumont
3 enfants,325,"5,4",318,"5,5",290,"5,4",52121,chaumont
4 enfants ou plus,119,"2,0",108,"1,9",116,"2,2",52121,chaumont
Ensemble,6715,"100,0",6498,"100,0",5733,"100,0",52448,saint-dizier
Aucun enfant,3310,"49,3",3381,"52,0",2972,"51,8",52448,saint-dizier
1 enfant,1634,"24,3",1375,"21,2",1191,"20,8",52448,saint-dizier
2 enfants,1034,"15,4",926,"14,2",876,"15,3",52448,saint-dizier
3 enfants,535,"8,0",591,"9,1",482,"8,4",52448,saint-dizier
4 enfants ou plus,204,"3,0",225,"3,5",213,"3,7",52448,saint-dizier
Ensemble,12571,"100,0",12288,"100,0",11988,"100,0",53130,laval
Aucun enfant,6378,"50,7",6391,"52,0",6190,"51,6",53130,laval
1 enfant,2713,"21,6",2442,"19,9",2457,"20,5",53130,laval
2 enfants,2101,"16,7",2155,"17,5",2010,"16,8",53130,laval
3 enfants,983,"7,8",941,"7,7",908,"7,6",53130,laval
4 enfants ou plus,396,"3,1",360,"2,9",424,"3,5",53130,laval
Ensemble,22266,"100,0",21967,"100,0",20973,"100,0",54395,nancy
Aucun enfant,11518,"51,7",11295,"51,4",10523,"50,2",54395,nancy
1 enfant,5572,"25,0",5234,"23,8",5119,"24,4",54395,nancy
2 enfants,3348,"15,0",3641,"16,6",3550,"16,9",54395,nancy
3 enfants,1271,"5,7",1248,"5,7",1220,"5,8",54395,nancy
4 enfants ou plus,557,"2,5",550,"2,5",561,"2,7",54395,nancy
Ensemble,7201,"100,0",6599,"100,0",6191,"100,0",54547,vandoeuvre-les-nancy
Aucun enfant,3150,"43,7",3048,"46,2",2951,"47,7",54547,vandoeuvre-les-nancy
1 enfant,1766,"24,5",1454,"22,0",1356,"21,9",54547,vandoeuvre-les-nancy
2 enfants,1403,"19,5",1188,"18,0",1077,"17,4",54547,vandoeuvre-les-nancy
3 enfants,598,"8,3",652,"9,9",546,"8,8",54547,vandoeuvre-les-nancy
4 enfants ou plus,284,"3,9",257,"3,9",260,"4,2",54547,vandoeuvre-les-nancy
Ensemble,6121,"100,0",6129,"100,0",6158,"100,0",56098,lanester
Aucun enfant,2826,"46,2",2999,"48,9",3023,"49,1",56098,lanester
1 enfant,1490,"24,3",1398,"22,8",1249,"20,3",56098,lanester
2 enfants,1253,"20,5",1203,"19,6",1360,"22,1",56098,lanester
3 enfants,451,"7,4",385,"6,3",367,"6,0",56098,lanester
4 enfants ou plus,101,"1,6",144,"2,4",159,"2,6",56098,lanester
Ensemble,13878,"100,0",13571,"100,0",13457,"100,0",56121,lorient
Aucun enfant,6865,"49,5",6657,"49,1",6743,"50,1",56121,lorient
1 enfant,3474,"25,0",3270,"24,1",3226,"24,0",56121,lorient
2 enfants,2477,"17,9",2511,"18,5",2229,"16,6",56121,lorient
3 enfants,806,"5,8",874,"6,4",890,"6,6",56121,lorient
4 enfants ou plus,255,"1,8",259,"1,9",369,"2,7",56121,lorient
Ensemble,12795,"100,0",12925,"100,0",12989,"100,0",56260,vannes
Aucun enfant,6893,"53,9",6918,"53,5",7439,"57,3",56260,vannes
1 enfant,2782,"21,7",2808,"21,7",2490,"19,2",56260,vannes
2 enfants,2012,"15,7",2029,"15,7",2076,"16,0",56260,vannes
3 enfants,773,"6,0",860,"6,7",677,"5,2",56260,vannes
4 enfants ou plus,335,"2,6",309,"2,4",305,"2,4",56260,vannes
Ensemble,5945,"100,0",5790,"100,0",5679,"100,0",57227,forbach
Aucun enfant,2857,"48,1",2895,"50,0",2864,"50,4",57227,forbach
1 enfant,1524,"25,6",1312,"22,7",1182,"20,8",57227,forbach
2 enfants,1016,"17,1",961,"16,6",936,"16,5",57227,forbach
3 enfants,404,"6,8",435,"7,5",482,"8,5",57227,forbach
4 enfants ou plus,144,"2,4",187,"3,2",215,"3,8",57227,forbach
Ensemble,29471,"100,0",28002,"100,0",28823,"100,0",57463,metz
Aucun enfant,14132,"48,0",13401,"47,9",14390,"49,9",57463,metz
1 enfant,7425,"25,2",6833,"24,4",6720,"23,3",57463,metz
2 enfants,5086,"17,3",5031,"18,0",4842,"16,8",57463,metz
3 enfants,2026,"6,9",1941,"6,9",1953,"6,8",57463,metz
4 enfants ou plus,801,"2,7",795,"2,8",917,"3,2",57463,metz
Ensemble,6049,"100,0",5727,"100,0",5714,"100,0",57480,montigny-les-metz
Aucun enfant,3004,"49,7",2933,"51,2",2849,"49,9",57480,montigny-les-metz
1 enfant,1593,"26,3",1465,"25,6",1384,"24,2",57480,montigny-les-metz
2 enfants,1031,"17,0",942,"16,5",1033,"18,1",57480,montigny-les-metz
3 enfants,331,"5,5",344,"6,0",346,"6,1",57480,montigny-les-metz
4 enfants ou plus,90,"1,5",43,"0,7",102,"1,8",57480,montigny-les-metz
Ensemble,5757,"100,0",5535,"100,0",5228,"100,0",57631,sarreguemines
Aucun enfant,2942,"51,1",2980,"53,8",2736,"52,3",57631,sarreguemines
1 enfant,1360,"23,6",1190,"21,5",1133,"21,7",57631,sarreguemines
2 enfants,942,"16,4",892,"16,1",890,"17,0",57631,sarreguemines
3 enfants,370,"6,4",350,"6,3",351,"6,7",57631,sarreguemines
4 enfants ou plus,143,"2,5",123,"2,2",117,"2,2",57631,sarreguemines
Ensemble,10912,"100,0",10917,"100,0",11295,"100,0",57672,thionville
Aucun enfant,5248,"48,1",5512,"50,5",5821,"51,5",57672,thionville
1 enfant,2884,"26,4",2633,"24,1",2714,"24,0",57672,thionville
2 enfants,2011,"18,4",1977,"18,1",1975,"17,5",57672,thionville
3 enfants,622,"5,7",615,"5,6",638,"5,6",57672,thionville
4 enfants ou plus,147,"1,3",179,"1,6",147,"1,3",57672,thionville
Ensemble,9137,"100,0",8237,"100,0",7920,"100,0",58194,nevers
Aucun enfant,4663,"51,0",4378,"53,1",4137,"52,2",58194,nevers
1 enfant,2241,"24,5",1799,"21,8",1815,"22,9",58194,nevers
2 enfants,1361,"14,9",1312,"15,9",1196,"15,1",58194,nevers
3 enfants,573,"6,3",510,"6,2",522,"6,6",58194,nevers
4 enfants ou plus,300,"3,3",238,"2,9",249,"3,1",58194,nevers
Ensemble,15667,"100,0",15437,"100,0",15385,"100,0",59009,villeneuve-d-ascq
Aucun enfant,5632,"35,9",5991,"38,8",6749,"43,9",59009,villeneuve-d-ascq
1 enfant,4088,"26,1",3872,"25,1",3406,"22,1",59009,villeneuve-d-ascq
2 enfants,3638,"23,2",3471,"22,5",3245,"21,1",59009,villeneuve-d-ascq
3 enfants,1606,"10,2",1484,"9,6",1413,"9,2",59009,villeneuve-d-ascq
4 enfants ou plus,703,"4,5",618,"4,0",572,"3,7",59009,villeneuve-d-ascq
Ensemble,6617,"100,0",6400,"100,0",6722,"100,0",59017,armentieres
Aucun enfant,2787,"42,1",2504,"39,1",2889,"43,0",59017,armentieres
1 enfant,1521,"23,0",1576,"24,6",1502,"22,3",59017,armentieres
2 enfants,1278,"19,3",1312,"20,5",1299,"19,3",59017,armentieres
3 enfants,682,"10,3",672,"10,5",676,"10,1",59017,armentieres
4 enfants ou plus,349,"5,3",337,"5,3",355,"5,3",59017,armentieres
Ensemble,8608,"100,0",8498,"100,0",7815,"100,0",59122,cambrai
Aucun enfant,4219,"49,0",4052,"47,7",3896,"49,9",59122,cambrai
1 enfant,2010,"23,3",2038,"24,0",1839,"23,5",59122,cambrai
2 enfants,1469,"17,1",1507,"17,7",1359,"17,4",59122,cambrai
3 enfants,648,"7,5",622,"7,3",494,"6,3",59122,cambrai
4 enfants ou plus,262,"3,0",279,"3,3",227,"2,9",59122,cambrai
Ensemble,6478,"100,0",6070,"100,0",6105,"100,0",59155,coudekerque-branche
Aucun enfant,2903,"44,8",2846,"46,9",2988,"48,9",59155,coudekerque-branche
1 enfant,1512,"23,3",1359,"22,4",1299,"21,3",59155,coudekerque-branche
2 enfants,1343,"20,7",1277,"21,0",1231,"20,2",59155,coudekerque-branche
3 enfants,528,"8,1",423,"7,0",421,"6,9",59155,coudekerque-branche
4 enfants ou plus,192,"3,0",165,"2,7",166,"2,7",59155,coudekerque-branche
Ensemble,5572,"100,0",5571,"100,0",5492,"100,0",59163,croix
Aucun enfant,2433,"43,7",2445,"43,9",2502,"45,6",59163,croix
1 enfant,1287,"23,1",1255,"22,5",1320,"24,0",59163,croix
2 enfants,1128,"20,3",1143,"20,5",1039,"18,9",59163,croix
3 enfants,495,"8,9",504,"9,0",435,"7,9",59163,croix
4 enfants ou plus,228,"4,1",225,"4,0",196,"3,6",59163,croix
Ensemble,5205,"100,0",5097,"100,0",5270,"100,0",59172,denain
Aucun enfant,2047,"39,3",2060,"40,4",2009,"38,1",59172,denain
1 enfant,1136,"21,8",1169,"22,9",1150,"21,8",59172,denain
2 enfants,989,"19,0",868,"17,0",935,"17,7",59172,denain
3 enfants,687,"13,2",610,"12,0",634,"12,0",59172,denain
4 enfants ou plus,346,"6,6",389,"7,6",543,"10,3",59172,denain
Ensemble,10598,"100,0",9880,"100,0",9699,"100,0",59178,douai
Aucun enfant,4930,"46,5",4782,"48,4",4564,"47,1",59178,douai
1 enfant,2624,"24,8",2362,"23,9",2199,"22,7",59178,douai
2 enfants,1746,"16,5",1620,"16,4",1632,"16,8",59178,douai
3 enfants,902,"8,5",759,"7,7",856,"8,8",59178,douai
4 enfants ou plus,395,"3,7",357,"3,6",448,"4,6",59178,douai
Ensemble,25374,"100,0",24041,"100,0",23520,"100,0",59183,dunkerque
Aucun enfant,12154,"47,9",11780,"49,0",11831,"50,3",59183,dunkerque
1 enfant,6008,"23,7",5577,"23,2",5299,"22,5",59183,dunkerque
2 enfants,4531,"17,9",4270,"17,8",4022,"17,1",59183,dunkerque
3 enfants,1954,"7,7",1668,"6,9",1659,"7,1",59183,dunkerque
4 enfants ou plus,727,"2,9",747,"3,1",710,"3,0",59183,dunkerque
Ensemble,5725,"100,0",6035,"100,0",5491,"100,0",59271,grande-synthe
Aucun enfant,2135,"37,3",2477,"41,0",2165,"39,4",59271,grande-synthe
1 enfant,1414,"24,7",1260,"20,9",1179,"21,5",59271,grande-synthe
2 enfants,1114,"19,5",1230,"20,4",1131,"20,6",59271,grande-synthe
3 enfants,693,"12,1",727,"12,1",675,"12,3",59271,grande-synthe
4 enfants ou plus,368,"6,4",340,"5,6",341,"6,2",59271,grande-synthe
Ensemble,5665,"100,0",5762,"100,0",5881,"100,0",59279,halluin
Aucun enfant,2222,"39,2",2420,"42,0",2438,"41,5",59279,halluin
1 enfant,1335,"23,6",1248,"21,7",1294,"22,0",59279,halluin
2 enfants,1335,"23,6",1348,"23,4",1406,"23,9",59279,halluin
3 enfants,580,"10,2",557,"9,7",532,"9,0",59279,halluin
4 enfants ou plus,193,"3,4",190,"3,3",211,"3,6",59279,halluin
Ensemble,6084,"100,0",6079,"100,0",6152,"100,0",59295,hazebrouck
Aucun enfant,2904,"47,7",3020,"49,7",3184,"51,8",59295,hazebrouck
1 enfant,1361,"22,4",1225,"20,1",1240,"20,2",59295,hazebrouck
2 enfants,1161,"19,1",1102,"18,1",1154,"18,8",59295,hazebrouck
3 enfants,494,"8,1",533,"8,8",415,"6,7",59295,hazebrouck
4 enfants ou plus,165,"2,7",199,"3,3",159,"2,6",59295,hazebrouck
Ensemble,7674,"100,0",7510,"100,0",7431,"100,0",59328,lambersart
Aucun enfant,3369,"43,9",3409,"45,4",3359,"45,2",59328,lambersart
1 enfant,1664,"21,7",1717,"22,9",1583,"21,3",59328,lambersart
2 enfants,1586,"20,7",1515,"20,2",1697,"22,8",59328,lambersart
3 enfants,804,"10,5",677,"9,0",654,"8,8",59328,lambersart
4 enfants ou plus,251,"3,3",192,"2,6",137,"1,8",59328,lambersart
Ensemble,49059,"100,0",49509,"100,0",50061,"100,0",59350,lille
Aucun enfant,23112,"47,1",23253,"47,0",24285,"48,5",59350,lille
1 enfant,11456,"23,4",11754,"23,7",11205,"22,4",59350,lille
2 enfants,8582,"17,5",8675,"17,5",8693,"17,4",59350,lille
3 enfants,3929,"8,0",3971,"8,0",3817,"7,6",59350,lille
4 enfants ou plus,1980,"4,0",1855,"3,7",2062,"4,1",59350,lille
Ensemble,5235,"100,0",5507,"100,0",5555,"100,0",59360,loos
Aucun enfant,2142,"40,9",2374,"43,1",2319,"41,7",59360,loos
1 enfant,1286,"24,6",1359,"24,7",1343,"24,2",59360,loos
2 enfants,1080,"20,6",1060,"19,2",1127,"20,3",59360,loos
3 enfants,527,"10,1",510,"9,3",514,"9,3",59360,loos
4 enfants ou plus,201,"3,8",204,"3,7",252,"4,5",59360,loos
Ensemble,5724,"100,0",5440,"100,0",5888,"100,0",59368,la-madeleine
Aucun enfant,2779,"48,6",2676,"49,2",2988,"50,7",59368,la-madeleine
1 enfant,1305,"22,8",1280,"23,5",1328,"22,6",59368,la-madeleine
2 enfants,1074,"18,8",1005,"18,5",977,"16,6",59368,la-madeleine
3 enfants,406,"7,1",314,"5,8",443,"7,5",59368,la-madeleine
4 enfants ou plus,159,"2,8",164,"3,0",152,"2,6",59368,la-madeleine
Ensemble,10634,"100,0",10810,"100,0",10711,"100,0",59378,marcq-en-baroeul
Aucun enfant,4880,"45,9",4876,"45,1",4844,"45,2",59378,marcq-en-baroeul
1 enfant,2298,"21,6",2481,"22,9",2475,"23,1",59378,marcq-en-baroeul
2 enfants,2207,"20,7",2199,"20,3",2231,"20,8",59378,marcq-en-baroeul
3 enfants,935,"8,8",960,"8,9",868,"8,1",59378,marcq-en-baroeul
4 enfants ou plus,315,"3,0",294,"2,7",292,"2,7",59378,marcq-en-baroeul
Ensemble,7978,"100,0",7573,"100,0",7270,"100,0",59392,maubeuge
Aucun enfant,3335,"41,8",3397,"44,9",3194,"43,9",59392,maubeuge
1 enfant,1897,"23,8",1675,"22,1",1634,"22,5",59392,maubeuge
2 enfants,1399,"17,5",1212,"16,0",1140,"15,7",59392,maubeuge
3 enfants,801,"10,0",802,"10,6",753,"10,4",59392,maubeuge
4 enfants ou plus,547,"6,9",487,"6,4",550,"7,6",59392,maubeuge
Ensemble,5531,"100,0",5329,"100,0",5585,"100,0",59410,mons-en-baroeul
Aucun enfant,2112,"38,2",2090,"39,2",2296,"41,1",59410,mons-en-baroeul
1 enfant,1292,"23,4",1297,"24,3",1297,"23,2",59410,mons-en-baroeul
2 enfants,1150,"20,8",1122,"21,1",1143,"20,5",59410,mons-en-baroeul
