0,1,2,code_insee,Ville
Nombre moyen d'habitant(s) par logement,"2,3","1,8",78172,conflans-sainte-honorine
Nombre moyen d'habitant(s) par logement,"2,2","1,8",78208,elancourt
Nombre moyen d'habitant(s) par logement,"2,3","1,8",78297,guyancourt
Nombre moyen d'habitant(s) par logement,"2,2","1,8",78311,houilles
Nombre moyen d'habitant(s) par logement,"2,0","1,8",78358,maisons-laffitte
Nombre moyen d'habitant(s) par logement,"2,4","1,8",78361,mantes-la-jolie
Nombre moyen d'habitant(s) par logement,"2,3","1,8",78362,mantes-la-ville
Nombre moyen d'habitant(s) par logement,"2,1","1,8",78423,montigny-le-bretonneux
Nombre moyen d'habitant(s) par logement,"2,8","1,8",78440,les-mureaux
Nombre moyen d'habitant(s) par logement,"2,4","1,8",78490,plaisir
Nombre moyen d'habitant(s) par logement,"2,2","1,8",78498,poissy
Nombre moyen d'habitant(s) par logement,"1,9","1,8",78517,rambouillet
Nombre moyen d'habitant(s) par logement,"2,2","1,8",78545,saint-cyr-l-ecole
Nombre moyen d'habitant(s) par logement,"2,0","1,8",78551,saint-germain-en-laye
Nombre moyen d'habitant(s) par logement,"2,3","1,8",78586,sartrouville
Nombre moyen d'habitant(s) par logement,"2,5","1,8",78621,trappes
Nombre moyen d'habitant(s) par logement,"1,9","1,8",78640,velizy-villacoublay
Nombre moyen d'habitant(s) par logement,"2,0","1,8",78646,versailles
Nombre moyen d'habitant(s) par logement,"1,7","1,8",79191,niort
Nombre moyen d'habitant(s) par logement,"1,8","1,8",80001,abbeville
Nombre moyen d'habitant(s) par logement,"1,7","1,8",80021,amiens
Nombre moyen d'habitant(s) par logement,"1,6","1,8",81004,albi
Nombre moyen d'habitant(s) par logement,"1,8","1,8",81065,castres
Nombre moyen d'habitant(s) par logement,"1,9","1,8",82121,montauban
Nombre moyen d'habitant(s) par logement,"1,8","1,8",83050,draguignan
Nombre moyen d'habitant(s) par logement,"1,3","1,8",83061,frejus
Nombre moyen d'habitant(s) par logement,"1,9","1,8",83062,la-garde
Nombre moyen d'habitant(s) par logement,"1,4","1,8",83069,hyeres
Nombre moyen d'habitant(s) par logement,"1,0","1,8",83118,saint-raphael
Nombre moyen d'habitant(s) par logement,"1,7","1,8",83126,la-seyne-sur-mer
Nombre moyen d'habitant(s) par logement,"1,3","1,8",83129,six-fours-les-plages
Nombre moyen d'habitant(s) par logement,"1,9","1,8",83137,toulon
Nombre moyen d'habitant(s) par logement,"1,9","1,8",83144,la-valette-du-var
Nombre moyen d'habitant(s) par logement,"1,6","1,8",84007,avignon
Nombre moyen d'habitant(s) par logement,"1,9","1,8",84031,carpentras
Nombre moyen d'habitant(s) par logement,"1,8","1,8",84035,cavaillon
Nombre moyen d'habitant(s) par logement,"1,9","1,8",84087,orange
Nombre moyen d'habitant(s) par logement,"1,9","1,8",84089,pertuis
Nombre moyen d'habitant(s) par logement,"1,9","1,8",85047,challans
Nombre moyen d'habitant(s) par logement,"2,2","1,8",85146,montaigu-vendee
Nombre moyen d'habitant(s) par logement,"1,8","1,8",85191,la-roche-sur-yon
Nombre moyen d'habitant(s) par logement,"1,1","1,8",85194,les-sables-d-olonne
Nombre moyen d'habitant(s) par logement,"1,7","1,8",86066,chatellerault
Nombre moyen d'habitant(s) par logement,"1,6","1,8",86194,poitiers
Nombre moyen d'habitant(s) par logement,"1,6","1,8",87085,limoges
Nombre moyen d'habitant(s) par logement,"1,7","1,8",88160,epinal
Nombre moyen d'habitant(s) par logement,"1,6","1,8",89024,auxerre
Nombre moyen d'habitant(s) par logement,"1,8","1,8",89387,sens
Nombre moyen d'habitant(s) par logement,"1,6","1,8",90010,belfort
Nombre moyen d'habitant(s) par logement,"2,3","1,8",91027,athis-mons
Nombre moyen d'habitant(s) par logement,"2,2","1,8",91103,bretigny-sur-orge
Nombre moyen d'habitant(s) par logement,"2,2","1,8",91114,brunoy
Nombre moyen d'habitant(s) par logement,"2,2","1,8",91174,corbeil-essonnes
Nombre moyen d'habitant(s) par logement,"2,3","1,8",91201,draveil
Nombre moyen d'habitant(s) par logement,"2,2","1,8",91223,etampes
Nombre moyen d'habitant(s) par logement,"2,3","1,8",91228,evry-courcouronnes
Nombre moyen d'habitant(s) par logement,"2,0","1,8",91272,gif-sur-yvette
Nombre moyen d'habitant(s) par logement,"2,7","1,8",91286,grigny
Nombre moyen d'habitant(s) par logement,"2,1","1,8",91345,longjumeau
Nombre moyen d'habitant(s) par logement,"2,1","1,8",91377,massy
Nombre moyen d'habitant(s) par logement,"2,3","1,8",91421,montgeron
Nombre moyen d'habitant(s) par logement,"2,2","1,8",91434,morsang-sur-orge
Nombre moyen d'habitant(s) par logement,"2,0","1,8",91477,palaiseau
Nombre moyen d'habitant(s) par logement,"2,4","1,8",91521,ris-orangis
Nombre moyen d'habitant(s) par logement,"2,3","1,8",91549,sainte-genevieve-des-bois
Nombre moyen d'habitant(s) par logement,"2,2","1,8",91570,saint-michel-sur-orge
Nombre moyen d'habitant(s) par logement,"2,2","1,8",91589,savigny-sur-orge
Nombre moyen d'habitant(s) par logement,"2,4","1,8",91657,vigneux-sur-seine
Nombre moyen d'habitant(s) par logement,"2,1","1,8",91687,viry-chatillon
Nombre moyen d'habitant(s) par logement,"2,2","1,8",91691,yerres
Nombre moyen d'habitant(s) par logement,"2,4","1,8",91692,les-ulis
Nombre moyen d'habitant(s) par logement,"2,1","1,8",92002,antony
Nombre moyen d'habitant(s) par logement,"2,0","1,8",92004,asnieres-sur-seine
Nombre moyen d'habitant(s) par logement,"2,3","1,8",92007,bagneux
Nombre moyen d'habitant(s) par logement,"2,0","1,8",92009,bois-colombes
Nombre moyen d'habitant(s) par logement,"1,8","1,8",92012,boulogne-billancourt
Nombre moyen d'habitant(s) par logement,"2,1","1,8",92014,bourg-la-reine
Nombre moyen d'habitant(s) par logement,"2,2","1,8",92019,chatenay-malabry
Nombre moyen d'habitant(s) par logement,"2,0","1,8",92020,chatillon
Nombre moyen d'habitant(s) par logement,"2,1","1,8",92023,clamart
Nombre moyen d'habitant(s) par logement,"2,0","1,8",92024,clichy
Nombre moyen d'habitant(s) par logement,"2,2","1,8",92025,colombes
Nombre moyen d'habitant(s) par logement,"1,7","1,8",92026,courbevoie
Nombre moyen d'habitant(s) par logement,"2,1","1,8",92032,fontenay-aux-roses
Nombre moyen d'habitant(s) par logement,"1,9","1,8",92035,la-garenne-colombes
Nombre moyen d'habitant(s) par logement,"2,4","1,8",92036,gennevilliers
Nombre moyen d'habitant(s) par logement,"1,8","1,8",92040,issy-les-moulineaux
Nombre moyen d'habitant(s) par logement,"1,9","1,8",92044,levallois-perret
Nombre moyen d'habitant(s) par logement,"1,9","1,8",92046,malakoff
Nombre moyen d'habitant(s) par logement,"2,1","1,8",92048,meudon
Nombre moyen d'habitant(s) par logement,"1,7","1,8",92049,montrouge
Nombre moyen d'habitant(s) par logement,"2,3","1,8",92050,nanterre
Nombre moyen d'habitant(s) par logement,"1,7","1,8",92051,neuilly-sur-seine
Nombre moyen d'habitant(s) par logement,"2,1","1,8",92060,le-plessis-robinson
Nombre moyen d'habitant(s) par logement,"1,7","1,8",92062,puteaux
Nombre moyen d'habitant(s) par logement,"2,1","1,8",92063,rueil-malmaison
Nombre moyen d'habitant(s) par logement,"2,0","1,8",92064,saint-cloud
Nombre moyen d'habitant(s) par logement,"2,1","1,8",92071,sceaux
Nombre moyen d'habitant(s) par logement,"2,1","1,8",92072,sevres
Nombre moyen d'habitant(s) par logement,"2,1","1,8",92073,suresnes
Nombre moyen d'habitant(s) par logement,"1,8","1,8",92075,vanves
Nombre moyen d'habitant(s) par logement,"2,6","1,8",92078,villeneuve-la-garenne
Nombre moyen d'habitant(s) par logement,"2,4","1,8",93001,aubervilliers
