6687,7613,8600,11433,14958,19305,20817,22399,33199,gujan-mestras
22123,21651,22119,21012,21761,23624,24866,24557,33243,libourne
10774,18719,20910,21591,21343,19799,22131,23291,33249,lormont
45951,50652,51306,57273,61992,66142,70127,75729,33281,merignac
36986,51360,50267,51055,56143,58025,61332,66760,33318,pessac
8955,16265,18665,22064,25566,27719,30547,32538,33449,saint-medard-en-jalles
29161,34127,34692,34485,37210,40600,42171,45225,33522,talence
15064,15831,18038,20331,22970,24591,26110,26556,33529,la-teste-de-buch
21263,22975,21073,25609,27500,28420,31620,40500,33550,villenave-d-ornon
10184,11605,13107,17583,19988,24567,26946,29103,34003,agde
80481,84029,76647,70996,69153,70955,75999,80341,34032,beziers
8169,9339,9884,11043,14214,14948,19504,24888,34057,castelnau-le-lez
11141,12238,14951,16245,19145,22526,22771,23808,34108,frontignan
10735,13452,15648,18404,22352,25277,25178,26185,34145,lunel
161910,191354,197231,207996,225392,257351,277639,302454,34172,montpellier
40476,39258,39545,41510,39542,42774,43620,44712,34301,sete
26045,26610,24362,22239,21779,19779,20235,20653,35115,fougeres
180943,198305,194656,197536,206229,207178,215366,225081,35238,rennes
42297,45030,46347,48057,50675,46342,45719,47323,35288,saint-malo
49138,53429,51942,50969,49632,46140,43732,42968,36044,chateauroux
17826,27450,34704,36798,36517,35976,37535,38183,37122,joue-les-tours
128120,140686,132209,129509,132820,134817,136252,137658,37261,tours
19941,21971,22550,22392,22947,26173,27502,29577,38053,bourgoin-jallieu
15429,33288,37360,34435,32806,35748,35648,36849,38151,echirolles
22236,25036,22827,22853,23323,22243,22516,22891,38169,fontaine
161616,166037,156637,150758,153317,155637,160649,157477,38185,grenoble
33605,38052,35188,34341,35777,36177,38479,38454,38421,saint-martin-d-heres
29057,27830,28294,29449,29975,29328,29162,31051,38544,vienne
17587,19420,18911,18686,19794,19893,20529,20891,38563,voiron
27419,29295,26889,26577,24949,24629,23373,23775,39198,dole
19348,19137,18648,19309,19515,20665,20683,21347,40088,dax
24444,26166,27326,28328,29489,31225,30629,30674,40192,mont-de-marsan
42264,49778,47243,49318,49171,46492,45710,46813,41018,blois
53385,55198,48708,41759,38896,36806,34831,34762,42187,roanne
37728,40250,40267,38878,37378,35793,34870,35068,42207,saint-chamond
223223,220181,204955,199396,180210,171260,171057,172718,42218,saint-etienne
10047,11684,14043,15099,15627,18194,18815,20410,44020,bouguenais
3744,6239,9664,12877,15377,17805,19411,20510,44026,carquefou
2878,5858,12246,14830,16391,17300,19159,20331,44035,la-chapelle-sur-erdre
12276,13273,14113,16319,17808,18591,20573,23057,44047,coueron
260244,256693,240539,244995,270251,284970,303382,323204,44109,nantes
13510,20239,23245,23115,23554,24504,25634,27872,44114,orvault
33509,35730,33562,33262,35478,38425,39649,42998,44143,reze
17568,39867,41958,42774,43726,43153,45786,49537,44162,saint-herblain
63289,69251,68348,64812,65874,67031,69784,72057,44184,saint-nazaire
14159,17326,17825,22202,25223,25017,26371,28283,44190,saint-sebastien-sur-loire
12089,13853,15631,18235,20268,21443,23124,26002,44215,vertou
13180,16842,19758,20673,20690,21171,21089,21438,45147,fleury-les-aubrais
7860,11568,13629,17572,19195,19583,21639,22855,45232,olivet
95828,106246,102710,105111,113126,114167,114644,116617,45234,orleans
7601,12120,13318,16387,17758,19057,20123,21700,45284,saint-jean-de-braye
19128,20226,19707,19735,20003,20194,19340,20141,46042,cahors
34949,34039,31593,30553,30170,33981,33988,32485,47001,agen
21682,22307,23045,22782,22782,23513,22686,21629,47323,villeneuve-sur-lot
128557,137591,136038,141404,151279,147571,151520,157175,49007,angers
16969,17989,19502,20066,20262,22020,22965,23639,49023,beaupreau-en-mauges
15794,15950,17098,17949,18037,20862,21492,21386,49092,chemille-en-anjou
42620,52976,55524,55132,54204,54098,53800,53936,49099,cholet
17348,18224,19373,20037,20603,23967,25572,25806,49301,sevremoine
31629,32515,32149,30131,29857,27283,27486,26215,49328,saumur
79121,82539,85485,92045,88588,82427,80616,77808,50129,cherbourg-en-cotentin
50764,52275,51137,48423,47339,45299,45268,43877,51108,chalons-en-champagne
26583,29677,27668,26682,25844,24035,23169,22001,51230,epernay
154534,178381,177234,180620,187206,179992,184076,179380,51454,reims
26067,27226,27554,27041,25996,23011,22333,21699,52121,chaumont
36616,37266,35189,33552,30900,25526,25182,23068,52448,saint-dizier
45674,51544,50360,50473,50947,50940,49848,49657,53130,laval
123428,107902,96317,99351,103605,105421,105162,104260,54395,nancy
19686,33909,33682,34105,32048,30974,29923,29537,54547,vandoeuvre-les-nancy
19245,21074,21643,22102,21897,22219,22095,23026,56098,lanester
66444,69769,62554,59271,59189,57204,57567,57846,56121,lorient
36576,40359,42178,45644,51759,52515,53200,54420,56260,vannes
23120,25244,27187,27076,22807,21510,21639,21130,57227,forbach
107537,111869,114232,119594,123776,120738,117492,120874,57463,metz
24520,24519,22114,21983,23437,22540,21430,21854,57480,montigny-les-metz
25079,25684,24719,23117,23202,21540,21236,20624,57631,sarreguemines
40254,43020,40573,39712,40907,41015,40665,42163,57672,thionville
42422,45480,43013,41968,40932,36762,34228,32830,58194,nevers
26178,36769,59527,65320,65042,63572,61920,62067,59009,villeneuve-d-ascq
26916,26346,24834,25219,25273,25375,25066,25581,59017,armentieres
37584,39049,35272,33092,33738,32584,33004,31425,59122,cambrai
23039,24930,23958,23644,24152,22474,21360,20765,59155,coudekerque-branche
21424,20125,19386,20231,20638,20676,21239,20778,59163,croix
27973,26204,21825,19544,20360,20351,19920,20640,59172,denain
49187,45239,42576,42175,42796,42197,39989,39648,59178,douai
96888,99776,100404,98237,97957,92005,88876,86788,59183,dunkerque
13117,24250,26231,24362,23247,20991,23634,20331,59271,grande-synthe
14829,15491,16444,17629,18997,20199,20662,20829,59279,halluin
19037,19866,20008,20567,21396,21598,21709,21498,59295,hazebrouck
26808,29614,28494,28275,28131,28504,27517,27121,59328,lambersart
238554,219204,196705,198691,212597,227560,232741,236710,59350,lille
21007,21530,20640,20657,20869,21592,21442,23013,59360,loos
23203,20999,22115,21601,22399,22442,21533,22488,59368,la-madeleine
35136,36126,35278,36601,37177,38947,39298,39356,59378,marcq-en-baroeul
32028,35399,36061,34989,33546,31046,30100,29066,59392,maubeuge
14097,28070,26638,23578,23017,21887,20993,21467,59410,mons-en-baroeul
114547,109553,101602,97746,96984,94713,96077,98892,59512,roubaix
98755,102239,96908,93765,93540,91923,96809,99011,59599,tourcoing
46626,42473,40275,38441,41278,43335,44043,42991,59606,valenciennes
14274,16391,16275,17986,18541,20046,20963,20836,59646,wasquehal
43754,45440,44626,43675,42753,41541,41264,40836,59650,wattrelos
46859,54089,52365,54190,55392,54711,54881,56677,60057,beauvais
29700,37699,40384,41896,41254,40517,40200,40394,60159,compiegne
32544,32509,34709,31956,30675,33601,35575,36106,60175,creil
11506,15680,16980,19537,19151,18833,19414,21382,60463,nogent-sur-oise
31656,33680,31608,29988,28935,26704,26069,25555,61001,alencon
49180,46483,41736,38983,40590,41611,40721,42600,62041,arras
27154,26982,25508,24556,25971,25655,24995,24992,62119,bethune
49288,48440,47653,43678,44859,43070,42366,40910,62160,boulogne-sur-mer
32341,29435,26649,24927,23998,23408,22119,21827,62178,bruay-la-buissiere
74624,78820,76527,75309,77333,73636,75961,67380,62193,calais
26892,26405,26037,26257,25178,26278,26379,26035,62427,henin-beaumont
41874,40199,38244,35017,36206,35032,30413,32618,62498,lens
35853,33070,33096,33623,33427,31873,31237,30149,62510,lievin
148759,156763,147224,136181,137140,139860,141398,147327,63113,clermont-ferrand
5587,12583,16949,19156,18866,19244,19768,20193,63124,cournon-d-auvergne
21190,25245,29821,33041,35263,38032,38724,41153,64024,anglet
42743,42938,41381,40051,40078,44820,49207,52749,64102,bayonne
26750,27595,26598,28742,30055,25306,24457,25764,64122,biarritz
74005,83498,83790,82157,78732,81166,77215,77066,64445,pau
55375,54897,51422,47566,46275,43034,40593,43955,65440,tarbes
102191,106426,111669,105983,105115,117419,121934,119656,66136,perpignan
22944,25147,26629,27675,32242,34280,34846,35715,67180,haguenau
11648,16330,19857,22307,23815,26805,26605,27118,67218,illkirch-graffenstaden
8287,10479,14688,16480,16860,16441,18328,20266,67267,lingolsheim
29198,30144,29574,29155,30841,30952,31767,34129,67447,schiltigheim
