"","X","Hiver","Printemps","Eté","Automne","code_insee","Ville"
"68","Hauteur de pluie","261","69","138","88","13055","marseille"
"69","Heures d'ensoleillement","","88","99","52","13056","martigues"
"70","Hauteur de pluie","261","69","138","88","13056","martigues"
"71","Heures d'ensoleillement","","","","","13063","miramas"
"72","Hauteur de pluie","263","87","119","114","13063","miramas"
"73","Heures d'ensoleillement","","88","99","52","13071","les-pennes-mirabeau"
"74","Hauteur de pluie","261","69","138","88","13071","les-pennes-mirabeau"
"75","Heures d'ensoleillement","","","","","13103","salon-de-provence"
"76","Hauteur de pluie","263","87","119","114","13103","salon-de-provence"
"77","Heures d'ensoleillement","","88","99","52","13117","vitrolles"
"78","Hauteur de pluie","261","69","138","88","13117","vitrolles"
"79","Heures d'ensoleillement","28","58","54","21","14118","caen"
"80","Hauteur de pluie","230","128","163","229","14118","caen"
"81","Heures d'ensoleillement","28","58","54","21","14327","herouville-saint-clair"
"82","Hauteur de pluie","230","128","163","229","14327","herouville-saint-clair"
"83","Heures d'ensoleillement","34","53","75","43","15014","aurillac"
"84","Hauteur de pluie","337","425","281","239","15014","aurillac"
"85","Heures d'ensoleillement","","57","68","33","16015","angouleme"
"86","Hauteur de pluie","299","273","168","165","16015","angouleme"
"87","Heures d'ensoleillement","31","68","","32","17299","rochefort"
"88","Hauteur de pluie","250","185","145","202","17299","rochefort"
"89","Heures d'ensoleillement","31","68","","32","17300","la-rochelle"
"90","Hauteur de pluie","250","185","145","202","17300","la-rochelle"
"91","Heures d'ensoleillement","","57","68","33","17415","saintes"
"92","Hauteur de pluie","299","273","168","165","17415","saintes"
"93","Heures d'ensoleillement","32","44","60","34","18033","bourges"
"94","Hauteur de pluie","248","265","287","306","18033","bourges"
"95","Heures d'ensoleillement","32","44","60","34","18279","vierzon"
"96","Hauteur de pluie","248","265","287","306","18279","vierzon"
"97","Heures d'ensoleillement","25","54","72","37","19031","brive-la-gaillarde"
"98","Hauteur de pluie","287","315","211","273","19031","brive-la-gaillarde"
"99","Heures d'ensoleillement","","49","72","18","21054","beaune"
"100","Hauteur de pluie","211","224","235","211","21054","beaune"
"101","Heures d'ensoleillement","","49","72","18","21231","dijon"
"102","Hauteur de pluie","211","224","235","211","21231","dijon"
"103","Heures d'ensoleillement","24","56","47","22","22113","lannion"
"104","Hauteur de pluie","265","113","123","184","22113","lannion"
"105","Heures d'ensoleillement","24","56","47","22","22278","saint-brieuc"
"106","Hauteur de pluie","265","113","123","184","22278","saint-brieuc"
"107","Heures d'ensoleillement","29","56","71","35","24037","bergerac"
"108","Hauteur de pluie","259","279","157","230","24037","bergerac"
"109","Heures d'ensoleillement","29","56","71","35","24322","perigueux"
"110","Hauteur de pluie","259","279","157","230","24322","perigueux"
"111","Heures d'ensoleillement","22","46","68","23","25056","besancon"
"112","Hauteur de pluie","281","389","267","363","25056","besancon"
"113","Heures d'ensoleillement","","","","","25388","montbeliard"
"114","Hauteur de pluie","235","348","326","305","25388","montbeliard"
"115","Heures d'ensoleillement","41","68","85","40","26198","montelimar"
"116","Hauteur de pluie","334","275","274","149","26198","montelimar"
"117","Heures d'ensoleillement","","","","","26281","romans-sur-isere"
"118","Hauteur de pluie","230","293","324","250","26281","romans-sur-isere"
"119","Heures d'ensoleillement","41","68","85","40","26362","valence"
"120","Hauteur de pluie","334","275","274","149","26362","valence"
"121","Heures d'ensoleillement","","","","","27229","evreux"
"122","Hauteur de pluie","201","190","213","175","27229","evreux"
"123","Heures d'ensoleillement","","","","","27681","vernon"
"124","Hauteur de pluie","201","190","213","175","27681","vernon"
"125","Heures d'ensoleillement","25","50","57","16","28085","chartres"
"126","Hauteur de pluie","218","219","187","210","28085","chartres"
"127","Heures d'ensoleillement","25","50","57","16","28134","dreux"
"128","Hauteur de pluie","218","219","187","210","28134","dreux"
"129","Heures d'ensoleillement","19","54","43","19","29019","brest"
"130","Hauteur de pluie","538","220","352","327","29019","brest"
"131","Heures d'ensoleillement","25","65","58","26","29039","concarneau"
"132","Hauteur de pluie","334","227","198","246","29039","concarneau"
"133","Heures d'ensoleillement","25","65","58","26","29232","quimper"
"134","Hauteur de pluie","334","227","198","246","29232","quimper"
"135","Heures d'ensoleillement","46","91","95","53","2A004","ajaccio"
"136","Hauteur de pluie","220","51","61","184","2A004","ajaccio"
"137","Heures d'ensoleillement","48","77","88","47","2B033","bastia"
"138","Hauteur de pluie","186","112","166","458","2B033","bastia"
"139","Heures d'ensoleillement","","","","","30007","ales"
"140","Hauteur de pluie","694","510","298","919","30007","ales"
"141","Heures d'ensoleillement","50","74","89","49","30189","nimes"
"142","Hauteur de pluie","318","98","130","149","30189","nimes"
"143","Heures d'ensoleillement","35","57","69","35","31069","blagnac"
"144","Hauteur de pluie","147","181","133","146","31069","blagnac"
"145","Heures d'ensoleillement","35","57","69","35","31149","colomiers"
"146","Hauteur de pluie","147","181","133","146","31149","colomiers"
"147","Heures d'ensoleillement","35","57","69","35","31157","cugnaux"
"148","Hauteur de pluie","147","181","133","146","31157","cugnaux"
"149","Heures d'ensoleillement","35","57","69","35","31395","muret"
"150","Hauteur de pluie","147","181","133","146","31395","muret"
"151","Heures d'ensoleillement","35","57","69","35","31555","toulouse"
"152","Hauteur de pluie","147","181","133","146","31555","toulouse"
"153","Heures d'ensoleillement","35","57","69","35","31557","tournefeuille"
"154","Hauteur de pluie","147","181","133","146","31557","tournefeuille"
"155","Heures d'ensoleillement","33","","64","32","32013","auch"
"156","Hauteur de pluie","178","210","171","182","32013","auch"
"157","Heures d'ensoleillement","27","57","67","34","33039","begles"
"158","Hauteur de pluie","351","272","181","214","33039","begles"
"159","Heures d'ensoleillement","27","57","67","34","33063","bordeaux"
"160","Hauteur de pluie","351","272","181","214","33063","bordeaux"
"161","Heures d'ensoleillement","27","57","67","34","33069","le-bouscat"
"162","Hauteur de pluie","351","272","181","214","33069","le-bouscat"
"163","Heures d'ensoleillement","27","57","67","34","33075","bruges"
"164","Hauteur de pluie","351","272","181","214","33075","bruges"
"165","Heures d'ensoleillement","27","57","67","34","33119","cenon"
"166","Hauteur de pluie","351","272","181","214","33119","cenon"
"167","Heures d'ensoleillement","27","57","67","34","33162","eysines"
"168","Hauteur de pluie","351","272","181","214","33162","eysines"
"169","Heures d'ensoleillement","27","57","67","34","33192","gradignan"
"170","Hauteur de pluie","351","272","181","214","33192","gradignan"
"171","Heures d'ensoleillement","","","","","33199","gujan-mestras"
"172","Hauteur de pluie","331","223","257","259","33199","gujan-mestras"
"173","Heures d'ensoleillement","27","57","67","34","33243","libourne"
"174","Hauteur de pluie","351","272","181","214","33243","libourne"
"175","Heures d'ensoleillement","27","57","67","34","33249","lormont"
"176","Hauteur de pluie","351","272","181","214","33249","lormont"
"177","Heures d'ensoleillement","27","57","67","34","33281","merignac"
"178","Hauteur de pluie","351","272","181","214","33281","merignac"
"179","Heures d'ensoleillement","27","57","67","34","33318","pessac"
"180","Hauteur de pluie","351","272","181","214","33318","pessac"
"181","Heures d'ensoleillement","27","57","67","34","33449","saint-medard-en-jalles"
"182","Hauteur de pluie","351","272","181","214","33449","saint-medard-en-jalles"
"183","Heures d'ensoleillement","27","57","67","34","33522","talence"
"184","Hauteur de pluie","351","272","181","214","33522","talence"
"185","Heures d'ensoleillement","","","","","33529","la-teste-de-buch"
"186","Hauteur de pluie","331","223","257","259","33529","la-teste-de-buch"
"187","Heures d'ensoleillement","27","57","67","34","33550","villenave-d-ornon"
"188","Hauteur de pluie","351","272","181","214","33550","villenave-d-ornon"
"189","Heures d'ensoleillement","45","74","91","48","34003","agde"
"190","Hauteur de pluie","222","127","75","155","34003","agde"
"191","Heures d'ensoleillement","45","74","91","48","34032","beziers"
"192","Hauteur de pluie","222","127","75","155","34032","beziers"
"193","Heures d'ensoleillement","45","74","91","48","34057","castelnau-le-lez"
"194","Hauteur de pluie","222","127","75","155","34057","castelnau-le-lez"
"195","Heures d'ensoleillement","45","74","91","48","34108","frontignan"
"196","Hauteur de pluie","222","127","75","155","34108","frontignan"
"197","Heures d'ensoleillement","45","74","91","48","34145","lunel"
"198","Hauteur de pluie","222","127","75","155","34145","lunel"
"199","Heures d'ensoleillement","45","74","91","48","34172","montpellier"
"200","Hauteur de pluie","222","127","75","155","34172","montpellier"
"201","Heures d'ensoleillement","45","74","91","48","34301","sete"
"202","Hauteur de pluie","222","127","75","155","34301","sete"
"203","Heures d'ensoleillement","26","56","52","19","35115","fougeres"
"204","Hauteur de pluie","193","192","112","194","35115","fougeres"
"205","Heures d'ensoleillement","26","56","52","19","35238","rennes"
"206","Hauteur de pluie","193","192","112","194","35238","rennes"
"207","Heures d'ensoleillement","26","61","50","19","35288","saint-malo"
"208","Hauteur de pluie","177","120","188","205","35288","saint-malo"
"209","Heures d'ensoleillement","26","56","67","","36044","chateauroux"
"210","Hauteur de pluie","225","310","188","241","36044","chateauroux"
"211","Heures d'ensoleillement","26","55","61","17","37122","joue-les-tours"
"212","Hauteur de pluie","257","209","160","216","37122","joue-les-tours"
"213","Heures d'ensoleillement","26","55","61","17","37261","tours"
"214","Hauteur de pluie","257","209","160","216","37261","tours"
"215","Heures d'ensoleillement","","","","","38053","bourgoin-jallieu"
"216","Hauteur de pluie","230","293","324","250","38053","bourgoin-jallieu"
"217","Heures d'ensoleillement","","","","","38151","echirolles"
"218","Hauteur de pluie","230","293","324","250","38151","echirolles"
"219","Heures d'ensoleillement","","","","","38169","fontaine"
"220","Hauteur de pluie","230","293","324","250","38169","fontaine"
"221","Heures d'ensoleillement","","","","","38185","grenoble"
"222","Hauteur de pluie","230","293","324","250","38185","grenoble"
"223","Heures d'ensoleillement","","","","","38421","saint-martin-d-heres"
"224","Hauteur de pluie","230","293","324","250","38421","saint-martin-d-heres"
"225","Heures d'ensoleillement","29","53","75","24","38544","vienne"
"226","Hauteur de pluie","224","325","187","254","38544","vienne"
"227","Heures d'ensoleillement","","","","","38563","voiron"
"228","Hauteur de pluie","230","293","324","250","38563","voiron"
"229","Heures d'ensoleillement","22","46","68","23","39198","dole"
"230","Hauteur de pluie","281","389","267","363","39198","dole"
"231","Heures d'ensoleillement","","57","60","32","40088","dax"
"232","Hauteur de pluie","474","343","328","389","40088","dax"
"233","Heures d'ensoleillement","31","59","73","35","40192","mont-de-marsan"
"234","Hauteur de pluie","182","285","168","186","40192","mont-de-marsan"
"235","Heures d'ensoleillement","24","52","62","13","41018","blois"
"236","Hauteur de pluie","199","230","224","253","41018","blois"
"237","Heures d'ensoleillement","26","47","67","27","42187","roanne"
"238","Hauteur de pluie","189","256","261","185","42187","roanne"
"239","Heures d'ensoleillement","31","46","71","33","42207","saint-chamond"
"240","Hauteur de pluie","160","277","235","183","42207","saint-chamond"
"241","Heures d'ensoleillement","31","46","71","33","42218","saint-etienne"
"242","Hauteur de pluie","160","277","235","183","42218","saint-etienne"
"243","Heures d'ensoleillement","28","58","58","21","44020","bouguenais"
"244","Hauteur de pluie","291","239","199","294","44020","bouguenais"
"245","Heures d'ensoleillement","28","58","58","21","44026","carquefou"
"246","Hauteur de pluie","291","239","199","294","44026","carquefou"
"247","Heures d'ensoleillement","28","58","58","21","44035","la-chapelle-sur-erdre"
"248","Hauteur de pluie","291","239","199","294","44035","la-chapelle-sur-erdre"
"249","Heures d'ensoleillement","28","58","58","21","44047","coueron"
"250","Hauteur de pluie","291","239","199","294","44047","coueron"
"251","Heures d'ensoleillement","28","58","58","21","44109","nantes"
"252","Hauteur de pluie","291","239","199","294","44109","nantes"
"253","Heures d'ensoleillement","28","58","58","21","44114","orvault"
"254","Hauteur de pluie","291","239","199","294","44114","orvault"
"255","Heures d'ensoleillement","28","58","58","21","44143","reze"
"256","Hauteur de pluie","291","239","199","294","44143","reze"
"257","Heures d'ensoleillement","28","58","58","21","44162","saint-herblain"
"258","Hauteur de pluie","291","239","199","294","44162","saint-herblain"
"259","Heures d'ensoleillement","28","58","58","21","44184","saint-nazaire"
"260","Hauteur de pluie","291","239","199","294","44184","saint-nazaire"
"261","Heures d'ensoleillement","28","58","58","21","44190","saint-sebastien-sur-loire"
"262","Hauteur de pluie","291","239","199","294","44190","saint-sebastien-sur-loire"
"263","Heures d'ensoleillement","28","58","58","21","44215","vertou"
"264","Hauteur de pluie","291","239","199","294","44215","vertou"
"265","Heures d'ensoleillement","25","53","61","15","45147","fleury-les-aubrais"
"266","Hauteur de pluie","195","250","192","190","45147","fleury-les-aubrais"
"267","Heures d'ensoleillement","25","53","61","15","45232","olivet"
"268","Hauteur de pluie","195","250","192","190","45232","olivet"
"269","Heures d'ensoleillement","25","53","61","15","45234","orleans"
"270","Hauteur de pluie","195","250","192","190","45234","orleans"
"271","Heures d'ensoleillement","25","53","61","15","45284","saint-jean-de-braye"
"272","Hauteur de pluie","195","250","192","190","45284","saint-jean-de-braye"
"273","Heures d'ensoleillement","28","53","70","34","46042","cahors"
"274","Hauteur de pluie","269","315","199","269","46042","cahors"
"275","Heures d'ensoleillement","30","58","70","29","47001","agen"
"276","Hauteur de pluie","193","297","168","179","47001","agen"
"277","Heures d'ensoleillement","30","58","70","29","47323","villeneuve-sur-lot"
"278","Hauteur de pluie","193","297","168","179","47323","villeneuve-sur-lot"
"279","Heures d'ensoleillement","27","57","57","17","49007","angers"
"280","Hauteur de pluie","231","175","149","229","49007","angers"
"281","Heures d'ensoleillement","28","58","58","21","49023","beaupreau-en-mauges"
"282","Hauteur de pluie","291","239","199","294","49023","beaupreau-en-mauges"
"283","Heures d'ensoleillement","27","57","57","17","49092","chemille-en-anjou"
"284","Hauteur de pluie","231","175","149","229","49092","chemille-en-anjou"
"285","Heures d'ensoleillement","28","58","58","21","49099","cholet"
"286","Hauteur de pluie","291","239","199","294","49099","cholet"
"287","Heures d'ensoleillement","28","58","58","21","49301","sevremoine"
"288","Hauteur de pluie","291","239","199","294","49301","sevremoine"
"289","Heures d'ensoleillement","27","57","57","17","49328","saumur"
"290","Hauteur de pluie","231","175","149","229","49328","saumur"
"291","Heures d'ensoleillement","25","61","52","19","50129","cherbourg-en-cotentin"
"292","Hauteur de pluie","332","159","257","322","50129","cherbourg-en-cotentin"
"293","Heures d'ensoleillement","22","48","61","19","51108","chalons-en-champagne"
"294","Hauteur de pluie","187","169","223","152","51108","chalons-en-champagne"
"295","Heures d'ensoleillement","22","48","61","19","51230","epernay"
"296","Hauteur de pluie","187","169","223","152","51230","epernay"
"297","Heures d'ensoleillement","22","48","61","19","51454","reims"
"298","Hauteur de pluie","187","169","223","152","51454","reims"
"299","Heures d'ensoleillement","27","60","61","25","52121","chaumont"
"300","Hauteur de pluie","294","263","219","261","52121","chaumont"
"301","Heures d'ensoleillement","21","52","62","20","52448","saint-dizier"
"302","Hauteur de pluie","242","259","254","187","52448","saint-dizier"
"303","Heures d'ensoleillement","26","56","55","16","53130","laval"
"304","Hauteur de pluie","241","263","164","204","53130","laval"
"305","Heures d'ensoleillement","22","52","64","17","54395","nancy"
"306","Hauteur de pluie","252","333","193","178","54395","nancy"
"307","Heures d'ensoleillement","22","52","64","17","54547","vandoeuvre-les-nancy"
"308","Hauteur de pluie","252","333","193","178","54547","vandoeuvre-les-nancy"
"309","Heures d'ensoleillement","25","65","58","26","56098","lanester"
"310","Hauteur de pluie","334","227","198","246","56098","lanester"
"311","Heures d'ensoleillement","25","65","58","26","56121","lorient"
"312","Hauteur de pluie","334","227","198","246","56121","lorient"
"313","Heures d'ensoleillement","25","65","58","26","56260","vannes"
"314","Hauteur de pluie","334","227","198","246","56260","vannes"
"315","Heures d'ensoleillement","","","","","57227","forbach"
"316","Hauteur de pluie","262","242","219","181","57227","forbach"
"317","Heures d'ensoleillement","","","","","57463","metz"
"318","Hauteur de pluie","262","242","219","181","57463","metz"
"319","Heures d'ensoleillement","","","","","57480","montigny-les-metz"
"320","Hauteur de pluie","262","242","219","181","57480","montigny-les-metz"
"321","Heures d'ensoleillement","","","","","57631","sarreguemines"
"322","Hauteur de pluie","262","242","219","181","57631","sarreguemines"
"323","Heures d'ensoleillement","","","","","57672","thionville"
"324","Hauteur de pluie","262","242","219","181","57672","thionville"
"325","Heures d'ensoleillement","27","49","65","24","58194","nevers"
"326","Hauteur de pluie","276","338","234","221","58194","nevers"
"327","Heures d'ensoleillement","","","","","59009","villeneuve-d-ascq"
"328","Hauteur de pluie","259","227","206","165","59009","villeneuve-d-ascq"
"329","Heures d'ensoleillement","","","","","59017","armentieres"
"330","Hauteur de pluie","259","227","206","165","59017","armentieres"
"331","Heures d'ensoleillement","22","50","58","17","59122","cambrai"
"332","Hauteur de pluie","210","201","150","129","59122","cambrai"
"333","Heures d'ensoleillement","","","","","59155","coudekerque-branche"
"334","Hauteur de pluie","245","167","297","161","59155","coudekerque-branche"
"335","Heures d'ensoleillement","","","","","59163","croix"
"336","Hauteur de pluie","259","227","206","165","59163","croix"
"337","Heures d'ensoleillement","","","","","59172","denain"
"338","Hauteur de pluie","259","227","206","165","59172","denain"
"339","Heures d'ensoleillement","","","","","59178","douai"
"340","Hauteur de pluie","259","227","206","165","59178","douai"
"341","Heures d'ensoleillement","","","","","59183","dunkerque"
"342","Hauteur de pluie","245","167","297","161","59183","dunkerque"
"343","Heures d'ensoleillement","","","","","59271","grande-synthe"
"344","Hauteur de pluie","245","167","297","161","59271","grande-synthe"
"345","Heures d'ensoleillement","","","","","59279","halluin"
"346","Hauteur de pluie","259","227","206","165","59279","halluin"
"347","Heures d'ensoleillement","","","","","59295","hazebrouck"
"348","Hauteur de pluie","245","167","297","161","59295","hazebrouck"
"349","Heures d'ensoleillement","","","","","59328","lambersart"
"350","Hauteur de pluie","259","227","206","165","59328","lambersart"
"351","Heures d'ensoleillement","","","","","59350","lille"
"352","Hauteur de pluie","259","227","206","165","59350","lille"
"353","Heures d'ensoleillement","","","","","59360","loos"
"354","Hauteur de pluie","259","227","206","165","59360","loos"
"355","Heures d'ensoleillement","","","","","59368","la-madeleine"
"356","Hauteur de pluie","259","227","206","165","59368","la-madeleine"
"357","Heures d'ensoleillement","","","","","59378","marcq-en-baroeul"
"358","Hauteur de pluie","259","227","206","165","59378","marcq-en-baroeul"
"359","Heures d'ensoleillement","","","","","59392","maubeuge"
"360","Hauteur de pluie","259","227","206","165","59392","maubeuge"
"361","Heures d'ensoleillement","","","","","59410","mons-en-baroeul"
"362","Hauteur de pluie","259","227","206","165","59410","mons-en-baroeul"
"363","Heures d'ensoleillement","","","","","59512","roubaix"
"364","Hauteur de pluie","259","227","206","165","59512","roubaix"
"365","Heures d'ensoleillement","","","","","59599","tourcoing"
"366","Hauteur de pluie","259","227","206","165","59599","tourcoing"
"367","Heures d'ensoleillement","","","","","59606","valenciennes"
"368","Hauteur de pluie","259","227","206","165","59606","valenciennes"
"369","Heures d'ensoleillement","","","","","59646","wasquehal"
"370","Hauteur de pluie","259","227","206","165","59646","wasquehal"
"371","Heures d'ensoleillement","","","","","59650","wattrelos"
"372","Hauteur de pluie","259","227","206","165","59650","wattrelos"
"373","Heures d'ensoleillement","21","49","55","16","60057","beauvais"
"374","Hauteur de pluie","215","212","245","184","60057","beauvais"
"375","Heures d'ensoleillement","21","49","55","16","60159","compiegne"
"376","Hauteur de pluie","215","212","245","184","60159","compiegne"
"377","Heures d'ensoleillement","","","","","60175","creil"
"378","Hauteur de pluie","221","180","205","230","60175","creil"
"379","Heures d'ensoleillement","21","49","55","16","60463","nogent-sur-oise"
"380","Hauteur de pluie","215","212","245","184","60463","nogent-sur-oise"
"381","Heures d'ensoleillement","26","52","56","15","61001","alencon"
"382","Hauteur de pluie","260","226","141","218","61001","alencon"
"383","Heures d'ensoleillement","","","","","62041","arras"
"384","Hauteur de pluie","259","227","206","165","62041","arras"
"385","Heures d'ensoleillement","","","","","62119","bethune"
"386","Hauteur de pluie","259","227","206","165","62119","bethune"
"387","Heures d'ensoleillement","","","","","62160","boulogne-sur-mer"
"388","Hauteur de pluie","277","168","320","249","62160","boulogne-sur-mer"
"389","Heures d'ensoleillement","","","","","62178","bruay-la-buissiere"
"390","Hauteur de pluie","259","227","206","165","62178","bruay-la-buissiere"
"391","Heures d'ensoleillement","","","","","62193","calais"
"392","Hauteur de pluie","277","168","320","249","62193","calais"
"393","Heures d'ensoleillement","","","","","62427","henin-beaumont"
"394","Hauteur de pluie","259","227","206","165","62427","henin-beaumont"
"395","Heures d'ensoleillement","","","","","62498","lens"
"396","Hauteur de pluie","259","227","206","165","62498","lens"
"397","Heures d'ensoleillement","","","","","62510","lievin"
"398","Hauteur de pluie","259","227","206","165","62510","lievin"
"399","Heures d'ensoleillement","34","47","70","32","63113","clermont-ferrand"
"400","Hauteur de pluie","130","236","222","127","63113","clermont-ferrand"
"401","Heures d'ensoleillement","34","47","70","32","63124","cournon-d-auvergne"
"402","Hauteur de pluie","130","236","222","127","63124","cournon-d-auvergne"
"403","Heures d'ensoleillement","32","58","57","33","64024","anglet"
"404","Hauteur de pluie","471","467","274","607","64024","anglet"
"405","Heures d'ensoleillement","32","58","57","33","64102","bayonne"
"406","Hauteur de pluie","471","467","274","607","64102","bayonne"
"407","Heures d'ensoleillement","32","58","57","33","64122","biarritz"
"408","Hauteur de pluie","471","467","274","607","64122","biarritz"
"409","Heures d'ensoleillement","35","55","54","34","64445","pau"
"410","Hauteur de pluie","375","329","244","352","64445","pau"
"411","Heures d'ensoleillement","38","53","54","36","65440","tarbes"
"412","Hauteur de pluie","299","275","197","311","65440","tarbes"
"413","Heures d'ensoleillement","52","69","84","40","66136","perpignan"
"414","Hauteur de pluie","68","138","68","243","66136","perpignan"
"415","Heures d'ensoleillement","26","55","66","15","67180","haguenau"
"416","Hauteur de pluie","135","294","240","128","67180","haguenau"
"417","Heures d'ensoleillement","26","55","66","15","67218","illkirch-graffenstaden"
"418","Hauteur de pluie","135","294","240","128","67218","illkirch-graffenstaden"
"419","Heures d'ensoleillement","26","55","66","15","67267","lingolsheim"
"420","Hauteur de pluie","135","294","240","128","67267","lingolsheim"
"421","Heures d'ensoleillement","26","55","66","15","67447","schiltigheim"
"422","Hauteur de pluie","135","294","240","128","67447","schiltigheim"
"423","Heures d'ensoleillement","26","55","66","15","67482","strasbourg"
"424","Hauteur de pluie","135","294","240","128","67482","strasbourg"
"425","Heures d'ensoleillement","30","52","72","22","68066","colmar"
"426","Hauteur de pluie","113","228","230","129","68066","colmar"
"427","Heures d'ensoleillement","","","","","68224","mulhouse"
"428","Hauteur de pluie","141","235","185","152","68224","mulhouse"
"429","Heures d'ensoleillement","","","","","68297","saint-louis"
"430","Hauteur de pluie","141","235","185","152","68297","saint-louis"
"431","Heures d'ensoleillement","29","53","75","24","69029","bron"
"432","Hauteur de pluie","224","325","187","254","69029","bron"
"433","Heures d'ensoleillement","29","53","75","24","69034","caluire-et-cuire"
"434","Hauteur de pluie","224","325","187","254","69034","caluire-et-cuire"
"435","Heures d'ensoleillement","29","53","75","24","69091","givors"
"436","Hauteur de pluie","224","325","187","254","69091","givors"
"437","Heures d'ensoleillement","29","53","75","24","69123","lyon"
"438","Hauteur de pluie","224","325","187","254","69123","lyon"
"439","Heures d'ensoleillement","29","53","75","24","69149","oullins-pierre-benite"
"440","Hauteur de pluie","224","325","187","254","69149","oullins-pierre-benite"
"441","Heures d'ensoleillement","29","53","75","24","69202","sainte-foy-les-lyon"
"442","Hauteur de pluie","224","325","187","254","69202","sainte-foy-les-lyon"
"443","Heures d'ensoleillement","29","53","75","24","69204","saint-genis-laval"
"444","Hauteur de pluie","224","325","187","254","69204","saint-genis-laval"
"445","Heures d'ensoleillement","29","53","75","24","69244","tassin-la-demi-lune"
"446","Hauteur de pluie","224","325","187","254","69244","tassin-la-demi-lune"
"447","Heures d'ensoleillement","29","53","75","24","69256","vaulx-en-velin"
"448","Hauteur de pluie","224","325","187","254","69256","vaulx-en-velin"
"449","Heures d'ensoleillement","29","53","75","24","69259","venissieux"
"450","Hauteur de pluie","224","325","187","254","69259","venissieux"
"451","Heures d'ensoleillement","29","53","75","24","69264","villefranche-sur-saone"
"452","Hauteur de pluie","224","325","187","254","69264","villefranche-sur-saone"
"453","Heures d'ensoleillement","29","53","75","24","69266","villeurbanne"
"454","Hauteur de pluie","224","325","187","254","69266","villeurbanne"
"455","Heures d'ensoleillement","29","53","75","24","69275","decines-charpieu"
"456","Hauteur de pluie","224","325","187","254","69275","decines-charpieu"
"457","Heures d'ensoleillement","29","53","75","24","69282","meyzieu"
"458","Hauteur de pluie","224","325","187","254","69282","meyzieu"
"459","Heures d'ensoleillement","29","53","75","24","69286","rillieux-la-pape"
"460","Hauteur de pluie","224","325","187","254","69286","rillieux-la-pape"
"461","Heures d'ensoleillement","29","53","75","24","69290","saint-priest"
"462","Hauteur de pluie","224","325","187","254","69290","saint-priest"
"463","Heures d'ensoleillement","","","","","71076","chalon-sur-saone"
"464","Hauteur de pluie","223","370","301","324","71076","chalon-sur-saone"
"465","Heures d'ensoleillement","25","50","74","19","71153","le-creusot"
"466","Hauteur de pluie","270","272","201","228","71153","le-creusot"
"467","Heures d'ensoleillement","25","50","74","19","71270","macon"
"468","Hauteur de pluie","270","272","201","228","71270","macon"
"469","Heures d'ensoleillement","24","54","57","14","72181","le-mans"
"470","Hauteur de pluie","247","291","224","199","72181","le-mans"
"471","Heures d'ensoleillement","27","44","64","25","73008","aix-les-bains"
"472","Hauteur de pluie","292","340","299","327","73008","aix-les-bains"
"473","Heures d'ensoleillement","27","44","64","25","73065","chambery"
"474","Hauteur de pluie","292","340","299","327","73065","chambery"
"475","Heures d'ensoleillement","27","44","64","25","74010","annecy"
"476","Hauteur de pluie","292","340","299","327","74010","annecy"
"477","Heures d'ensoleillement","27","44","64","25","74012","annemasse"
"478","Hauteur de pluie","292","340","299","327","74012","annemasse"
"479","Heures d'ensoleillement","","","","","74281","thonon-les-bains"
"480","Hauteur de pluie","223","370","301","324","74281","thonon-les-bains"
"481","Heures d'ensoleillement","25","50","56","18","75056","paris"
"482","Hauteur de pluie","222","194","246","240","75056","paris"
"483","Heures d'ensoleillement","","","","","76217","dieppe"
"484","Hauteur de pluie","238","159","217","196","76217","dieppe"
"485","Heures d'ensoleillement","23","49","54","17","76322","le-grand-quevilly"
"486","Hauteur de pluie","218","177","242","200","76322","le-grand-quevilly"
"487","Heures d'ensoleillement","","","","","76351","le-havre"
"488","Hauteur de pluie","200","138","177","251","76351","le-havre"
"489","Heures d'ensoleillement","23","49","54","17","76451","mont-saint-aignan"
"490","Hauteur de pluie","218","177","242","200","76451","mont-saint-aignan"
"491","Heures d'ensoleillement","23","49","54","17","76498","le-petit-quevilly"
"492","Hauteur de pluie","218","177","242","200","76498","le-petit-quevilly"
"493","Heures d'ensoleillement","23","49","54","17","76540","rouen"
"494","Hauteur de pluie","218","177","242","200","76540","rouen"
"495","Heures d'ensoleillement","23","49","54","17","76575","saint-etienne-du-rouvray"
"496","Hauteur de pluie","218","177","242","200","76575","saint-etienne-du-rouvray"
"497","Heures d'ensoleillement","23","49","54","17","76681","sotteville-les-rouen"
"498","Hauteur de pluie","218","177","242","200","76681","sotteville-les-rouen"
"499","Heures d'ensoleillement","","","","","77058","bussy-saint-georges"
"500","Hauteur de pluie","221","180","205","230","77058","bussy-saint-georges"
"501","Heures d'ensoleillement","","","","","77083","champs-sur-marne"
"502","Hauteur de pluie","221","180","205","230","77083","champs-sur-marne"
"503","Heures d'ensoleillement","","","","","77108","chelles"
"504","Hauteur de pluie","221","180","205","230","77108","chelles"
"505","Heures d'ensoleillement","","50","59","18","77122","combs-la-ville"
"506","Hauteur de pluie","176","232","295","233","77122","combs-la-ville"
"507","Heures d'ensoleillement","","50","59","18","77152","dammarie-les-lys"
"508","Hauteur de pluie","176","232","295","233","77152","dammarie-les-lys"
"509","Heures d'ensoleillement","","","","","77243","lagny-sur-marne"
