"","Hommes","Femmes","code_insee","Ville","Homme","Femme"
"338",14844,16206,"91657","vigneux-sur-seine",47.81,52.19
"339",14813,16232,"91687","viry-chatillon",47.71,52.29
"340",13700,14999,"91691","yerres",47.74,52.26
"341",12499,12754,"91692","les-ulis",49.5,50.5
"342",30436,32796,"92002","antony",48.13,51.87
"343",42730,46932,"92004","asnieres-sur-seine",47.66,52.34
"344",20788,22911,"92007","bagneux",47.57,52.43
"345",13949,15816,"92009","bois-colombes",46.86,53.14
"346",56164,63644,"92012","boulogne-billancourt",46.88,53.12
"347",9990,10820,"92014","bourg-la-reine",48.01,51.99
"348",16624,18274,"92019","chatenay-malabry",47.64,52.36
"349",17388,19389,"92020","chatillon",47.28,52.72
"350",25861,28630,"92023","clamart",47.46,52.54
"351",31216,33633,"92024","clichy",48.14,51.86
"352",42670,46200,"92025","colombes",48.01,51.99
"353",38509,43007,"92026","courbevoie",47.24,52.76
"354",11434,13338,"92032","fontenay-aux-roses",46.16,53.84
"355",14251,15681,"92035","la-garenne-colombes",47.61,52.39
"356",24007,25403,"92036","gennevilliers",48.59,51.41
"357",32891,35689,"92040","issy-les-moulineaux",47.96,52.04
"358",31480,36529,"92044","levallois-perret",46.29,53.71
"359",14525,15767,"92046","malakoff",47.95,52.05
"360",22144,24198,"92048","meudon",47.78,52.22
"361",22505,25152,"92049","montrouge",47.22,52.78
"362",48112,49239,"92050","nanterre",49.42,50.58
"363",26962,32305,"92051","neuilly-sur-seine",45.49,54.51
"364",14244,14984,"92060","le-plessis-robinson",48.73,51.27
"365",20795,22877,"92062","puteaux",47.62,52.38
"366",37128,41058,"92063","rueil-malmaison",47.49,52.51
"367",14284,15443,"92064","saint-cloud",48.05,51.95
"368",9608,10880,"92071","sceaux",46.9,53.1
"369",10692,11926,"92072","sevres",47.27,52.73
"370",23514,25590,"92073","suresnes",47.89,52.11
"371",13236,14778,"92075","vanves",47.25,52.75
"372",12088,13283,"92078","villeneuve-la-garenne",47.64,52.36
"373",47988,42083,"93001","aubervilliers",53.28,46.72
"374",42801,43334,"93005","aulnay-sous-bois",49.69,50.31
"375",19081,20285,"93006","bagnolet",48.47,51.53
"376",28792,29465,"93007","le-blanc-mesnil",49.42,50.58
"377",27576,27480,"93008","bobigny",50.09,49.91
"378",25940,26965,"93010","bondy",49.03,50.97
"379",14782,14953,"93014","clichy-sous-bois",49.71,50.29
"380",24517,22643,"93027","la-courneuve",51.99,48.01
"381",35310,36053,"93029","drancy",49.48,50.52
"382",25903,27586,"93031","epinay-sur-seine",48.43,51.57
"383",19297,20892,"93032","gagny",48.02,51.98
"384",10867,12602,"93045","les-lilas",46.3,53.7
"385",22057,23971,"93046","livry-gargan",47.92,52.08
"386",13617,14363,"93047","montfermeil",48.67,51.33
"387",55105,56350,"93048","montreuil",49.44,50.56
"388",10214,11201,"93049","neuilly-plaisance",47.7,52.3
"389",18059,19472,"93050","neuilly-sur-marne",48.12,51.88
"390",34082,36292,"93051","noisy-le-grand",48.43,51.57
"391",22366,23728,"93053","noisy-le-sec",48.52,51.48
"392",30122,30678,"93055","pantin",49.54,50.46
"393",11783,12382,"93057","les-pavillons-sous-bois",48.76,51.24
"394",16560,15819,"93059","pierrefitte-sur-seine",51.14,48.86
"395",16013,17253,"93063","romainville",48.14,51.86
"396",21789,23866,"93064","rosny-sous-bois",47.73,52.27
"397",58100,55842,"93066","saint-denis",50.99,49.01
"398",26174,27033,"93070","saint-ouen-sur-seine",49.19,50.81
"399",25679,26166,"93071","sevran",49.53,50.47
"400",20150,20209,"93072","stains",49.93,50.07
"401",18245,19026,"93073","tremblay-en-france",48.95,51.05
"402",14628,15704,"93077","villemomble",48.23,51.77
"403",19238,19487,"93078","villepinte",49.68,50.32
"404",21634,23412,"94002","alfortville",48.03,51.97
"405",10406,11151,"94003","arcueil",48.27,51.73
"406",15031,15561,"94016","cachan",49.13,50.87
"407",37418,40306,"94017","champigny-sur-marne",48.14,51.86
"408",13769,15676,"94018","charenton-le-pont",46.76,53.24
"409",9973,10353,"94021","chevilly-larue",49.07,50.93
"410",22340,23789,"94022","choisy-le-roi",48.43,51.57
"411",43975,49014,"94028","creteil",47.29,52.71
"412",25089,26723,"94033","fontenay-sous-bois",48.42,51.58
"413",14747,14033,"94034","fresnes",51.24,48.76
"414",14951,16441,"94038","l-hay-les-roses",47.63,52.37
"415",32120,31881,"94041","ivry-sur-seine",50.19,49.81
"416",9972,10441,"94042","joinville-le-pont",48.85,51.15
"417",11851,12529,"94043","le-kremlin-bicetre",48.61,51.39
"418",13296,14703,"94044","limeil-brevannes",47.49,52.51
"419",27283,30785,"94046","maisons-alfort",46.98,53.02
"420",15572,17900,"94052","nogent-sur-marne",46.52,53.48
"421",11700,12782,"94054","orly",47.79,52.21
"422",16214,17999,"94058","le-perreux-sur-marne",47.39,52.61
"423",9690,10528,"94059","le-plessis-trevise",47.93,52.07
"424",9830,11365,"94067","saint-mande",46.38,53.62
"425",35387,40054,"94068","saint-maur-des-fosses",46.91,53.09
"426",13273,14349,"94071","sucy-en-brie",48.05,51.95
"427",14885,16212,"94073","thiais",47.87,52.13
"428",27686,30067,"94076","villejuif",47.94,52.06
"429",10294,10835,"94077","villeneuve-le-roi",48.72,51.28
"430",17896,17596,"94078","villeneuve-saint-georges",50.42,49.58
"431",14937,15732,"94079","villiers-sur-marne",48.7,51.3
"432",22762,26036,"94080","vincennes",46.65,53.35
"433",47402,48803,"94081","vitry-sur-seine",49.27,50.73
"434",53079,54142,"95018","argenteuil",49.5,50.5
"435",15535,16482,"95063","bezons",48.52,51.48
"436",33741,34607,"95127","cergy",49.37,50.63
"437",13082,13659,"95176","cormeilles-en-parisis",48.92,51.08
"438",10687,11823,"95197","deuil-la-barre",47.48,52.52
"439",12079,13294,"95203","eaubonne",47.61,52.39
"440",13691,15296,"95219","ermont",47.23,52.77
"441",18163,19357,"95252","franconville",48.41,51.59
"442",21449,21392,"95268","garges-les-gonesse",50.07,49.93
"443",12426,13537,"95277","gonesse",47.86,52.14
"444",14989,15704,"95280","goussainville",48.84,51.16
"445",15031,16574,"95306","herblay-sur-seine",47.56,52.44
"446",10982,11621,"95424","montigny-les-cormeilles",48.59,51.41
"447",10509,11361,"95428","montmorency",48.05,51.95
"448",15284,16043,"95500","pontoise",48.79,51.21
"449",9914,10952,"95555","saint-gratien",47.51,52.49
"450",12217,12806,"95572","saint-ouen-l-aumone",48.82,51.18
"451",12975,13793,"95582","sannois",48.47,51.53
"452",28481,29943,"95585","sarcelles",48.75,51.25
"453",12957,14068,"95607","taverny",47.94,52.06
"454",14029,14807,"95680","villiers-le-bel",48.65,51.35
"455",22506,29612,"97101","les-abymes",43.18,56.82
"456",14075,16834,"97103","baie-mahault",45.54,54.46
"457",12451,14733,"97113","le-gosier",45.8,54.2
"458",10561,12084,"97117","le-moule",46.64,53.36
"459",11469,12803,"97118","petit-bourg",47.25,52.75
"460",11460,12821,"97128","sainte-anne",47.2,52.8
"461",33043,41878,"97209","fort-de-france",44.1,55.9
"462",17791,21850,"97213","le-lamentin",44.88,55.12
"463",9813,11492,"97222","le-robert",46.06,53.94
"464",29120,34348,"97302","cayenne",45.88,54.12
"465",12066,12546,"97304","kourou",49.02,50.98
"466",16452,18358,"97307","matoury",47.26,52.74
"467",13364,13910,"97309","remire-montjoly",49,51
"468",24413,25837,"97311","saint-laurent-du-maroni",48.58,51.42
"469",15732,17604,"97407","le-port",47.19,52.81
"470",16935,18310,"97408","la-possession",48.05,51.95
"471",26951,30199,"97409","saint-andre",47.16,52.84
"472",17903,19120,"97410","saint-benoit",48.36,51.64
"473",71260,83505,"97411","saint-denis",46.04,53.96
"474",18883,19924,"97412","saint-joseph",48.66,51.34
"475",17188,17705,"97413","saint-leu",49.26,50.74
"476",25685,28250,"97414","saint-louis",47.62,52.38
"477",51357,53883,"97415","saint-paul",48.8,51.2
"478",40133,43944,"97416","saint-pierre",47.73,52.27
"479",16672,17672,"97418","sainte-marie",48.54,51.46
"480",11625,12668,"97420","sainte-suzanne",47.85,52.15
"481",39408,42535,"97422","le-tampon",48.09,51.91
