"","Statut","%","code_insee","Ville"
"1002","Célibataire","23,7","59155","coudekerque-branche"
"1003","Marié(e)","38,0","59163","croix"
"1004","Pacsé(e)","5,5","59163","croix"
"1005","En concubinage ou union libre","10,0","59163","croix"
"1006","Veuf, veuve","7,4","59163","croix"
"1007","Divorcé(e)","7,7","59163","croix"
"1008","Célibataire","31,3","59163","croix"
"1009","Marié(e)","35,6","59172","denain"
"1010","Pacsé(e)","2,6","59172","denain"
"1011","En concubinage ou union libre","13,3","59172","denain"
"1012","Veuf, veuve","8,1","59172","denain"
"1013","Divorcé(e)","6,1","59172","denain"
"1014","Célibataire","34,3","59172","denain"
"1015","Marié(e)","32,8","59178","douai"
"1016","Pacsé(e)","3,3","59178","douai"
"1017","En concubinage ou union libre","12,0","59178","douai"
"1018","Veuf, veuve","7,9","59178","douai"
"1019","Divorcé(e)","8,9","59178","douai"
"1020","Célibataire","35,2","59178","douai"
"1021","Marié(e)","38,3","59183","dunkerque"
"1022","Pacsé(e)","4,9","59183","dunkerque"
"1023","En concubinage ou union libre","10,4","59183","dunkerque"
"1024","Veuf, veuve","8,9","59183","dunkerque"
"1025","Divorcé(e)","8,9","59183","dunkerque"
"1026","Célibataire","28,6","59183","dunkerque"
"1027","Marié(e)","44,4","59271","grande-synthe"
"1028","Pacsé(e)","3,6","59271","grande-synthe"
"1029","En concubinage ou union libre","9,5","59271","grande-synthe"
"1030","Veuf, veuve","7,4","59271","grande-synthe"
"1031","Divorcé(e)","7,0","59271","grande-synthe"
"1032","Célibataire","28,1","59271","grande-synthe"
"1033","Marié(e)","45,9","59279","halluin"
"1034","Pacsé(e)","3,9","59279","halluin"
"1035","En concubinage ou union libre","11,7","59279","halluin"
"1036","Veuf, veuve","5,8","59279","halluin"
"1037","Divorcé(e)","6,1","59279","halluin"
"1038","Célibataire","26,7","59279","halluin"
"1039","Marié(e)","42,1","59295","hazebrouck"
"1040","Pacsé(e)","6,0","59295","hazebrouck"
"1041","En concubinage ou union libre","10,8","59295","hazebrouck"
"1042","Veuf, veuve","8,9","59295","hazebrouck"
"1043","Divorcé(e)","7,5","59295","hazebrouck"
"1044","Célibataire","24,7","59295","hazebrouck"
"1045","Marié(e)","41,0","59328","lambersart"
"1046","Pacsé(e)","7,0","59328","lambersart"
"1047","En concubinage ou union libre","10,0","59328","lambersart"
"1048","Veuf, veuve","6,3","59328","lambersart"
"1049","Divorcé(e)","6,8","59328","lambersart"
"1050","Célibataire","29,0","59328","lambersart"
"1051","Marié(e)","24,6","59350","lille"
"1052","Pacsé(e)","5,5","59350","lille"
"1053","En concubinage ou union libre","12,9","59350","lille"
"1054","Veuf, veuve","4,0","59350","lille"
"1055","Divorcé(e)","5,2","59350","lille"
"1056","Célibataire","47,8","59350","lille"
"1057","Marié(e)","31,3","59360","loos"
"1058","Pacsé(e)","5,0","59360","loos"
"1059","En concubinage ou union libre","12,4","59360","loos"
"1060","Veuf, veuve","5,9","59360","loos"
"1061","Divorcé(e)","7,5","59360","loos"
"1062","Célibataire","37,8","59360","loos"
"1063","Marié(e)","31,9","59368","la-madeleine"
"1064","Pacsé(e)","7,4","59368","la-madeleine"
"1065","En concubinage ou union libre","13,3","59368","la-madeleine"
"1066","Veuf, veuve","6,3","59368","la-madeleine"
"1067","Divorcé(e)","7,8","59368","la-madeleine"
"1068","Célibataire","33,2","59368","la-madeleine"
"1069","Marié(e)","43,3","59378","marcq-en-baroeul"
"1070","Pacsé(e)","5,8","59378","marcq-en-baroeul"
"1071","En concubinage ou union libre","9,0","59378","marcq-en-baroeul"
"1072","Veuf, veuve","7,2","59378","marcq-en-baroeul"
"1073","Divorcé(e)","7,1","59378","marcq-en-baroeul"
"1074","Célibataire","27,6","59378","marcq-en-baroeul"
"1075","Marié(e)","39,2","59392","maubeuge"
"1076","Pacsé(e)","2,2","59392","maubeuge"
"1077","En concubinage ou union libre","9,1","59392","maubeuge"
"1078","Veuf, veuve","9,2","59392","maubeuge"
"1079","Divorcé(e)","8,0","59392","maubeuge"
"1080","Célibataire","32,4","59392","maubeuge"
"1081","Marié(e)","39,9","59410","mons-en-baroeul"
"1082","Pacsé(e)","4,9","59410","mons-en-baroeul"
"1083","En concubinage ou union libre","10,3","59410","mons-en-baroeul"
"1084","Veuf, veuve","7,0","59410","mons-en-baroeul"
"1085","Divorcé(e)","5,7","59410","mons-en-baroeul"
"1086","Célibataire","32,1","59410","mons-en-baroeul"
"1087","Marié(e)","37,5","59512","roubaix"
"1088","Pacsé(e)","1,8","59512","roubaix"
"1089","En concubinage ou union libre","8,2","59512","roubaix"
"1090","Veuf, veuve","6,0","59512","roubaix"
"1091","Divorcé(e)","7,0","59512","roubaix"
"1092","Célibataire","39,4","59512","roubaix"
"1093","Marié(e)","37,6","59599","tourcoing"
"1094","Pacsé(e)","4,1","59599","tourcoing"
"1095","En concubinage ou union libre","11,1","59599","tourcoing"
"1096","Veuf, veuve","6,2","59599","tourcoing"
"1097","Divorcé(e)","7,6","59599","tourcoing"
"1098","Célibataire","33,4","59599","tourcoing"
"1099","Marié(e)","29,9","59606","valenciennes"
"1100","Pacsé(e)","4,5","59606","valenciennes"
"1101","En concubinage ou union libre","12,5","59606","valenciennes"
"1102","Veuf, veuve","7,2","59606","valenciennes"
"1103","Divorcé(e)","8,2","59606","valenciennes"
"1104","Célibataire","37,8","59606","valenciennes"
"1105","Marié(e)","41,5","59646","wasquehal"
"1106","Pacsé(e)","6,5","59646","wasquehal"
"1107","En concubinage ou union libre","10,4","59646","wasquehal"
"1108","Veuf, veuve","8,6","59646","wasquehal"
"1109","Divorcé(e)","7,5","59646","wasquehal"
"1110","Célibataire","25,6","59646","wasquehal"
"1111","Marié(e)","41,2","59650","wattrelos"
"1112","Pacsé(e)","3,6","59650","wattrelos"
"1113","En concubinage ou union libre","11,2","59650","wattrelos"
"1114","Veuf, veuve","7,7","59650","wattrelos"
"1115","Divorcé(e)","7,2","59650","wattrelos"
"1116","Célibataire","29,1","59650","wattrelos"
"1117","Marié(e)","31,7","60057","beauvais"
"1118","Pacsé(e)","3,8","60057","beauvais"
"1119","En concubinage ou union libre","11,8","60057","beauvais"
"1120","Veuf, veuve","6,8","60057","beauvais"
"1121","Divorcé(e)","8,1","60057","beauvais"
"1122","Célibataire","37,8","60057","beauvais"
"1123","Marié(e)","35,4","60159","compiegne"
"1124","Pacsé(e)","3,3","60159","compiegne"
"1125","En concubinage ou union libre","9,2","60159","compiegne"
"1126","Veuf, veuve","7,9","60159","compiegne"
"1127","Divorcé(e)","8,3","60159","compiegne"
"1128","Célibataire","35,9","60159","compiegne"
"1129","Marié(e)","42,1","60175","creil"
"1130","Pacsé(e)","1,6","60175","creil"
"1131","En concubinage ou union libre","8,0","60175","creil"
"1132","Veuf, veuve","5,7","60175","creil"
"1133","Divorcé(e)","6,3","60175","creil"
"1134","Célibataire","36,3","60175","creil"
"1135","Marié(e)","45,3","60463","nogent-sur-oise"
"1136","Pacsé(e)","2,3","60463","nogent-sur-oise"
"1137","En concubinage ou union libre","8,0","60463","nogent-sur-oise"
"1138","Veuf, veuve","5,7","60463","nogent-sur-oise"
"1139","Divorcé(e)","6,3","60463","nogent-sur-oise"
"1140","Célibataire","32,4","60463","nogent-sur-oise"
"1141","Marié(e)","31,0","61001","alencon"
"1142","Pacsé(e)","3,4","61001","alencon"
"1143","En concubinage ou union libre","10,9","61001","alencon"
"1144","Veuf, veuve","8,9","61001","alencon"
"1145","Divorcé(e)","8,9","61001","alencon"
"1146","Célibataire","36,9","61001","alencon"
"1147","Marié(e)","29,1","62041","arras"
"1148","Pacsé(e)","4,5","62041","arras"
"1149","En concubinage ou union libre","13,5","62041","arras"
"1150","Veuf, veuve","6,6","62041","arras"
"1151","Divorcé(e)","9,3","62041","arras"
"1152","Célibataire","36,9","62041","arras"
"1153","Marié(e)","31,6","62119","bethune"
"1154","Pacsé(e)","4,6","62119","bethune"
"1155","En concubinage ou union libre","11,8","62119","bethune"
"1156","Veuf, veuve","7,1","62119","bethune"
"1157","Divorcé(e)","9,3","62119","bethune"
"1158","Célibataire","35,7","62119","bethune"
"1159","Marié(e)","27,8","62160","boulogne-sur-mer"
"1160","Pacsé(e)","3,7","62160","boulogne-sur-mer"
"1161","En concubinage ou union libre","13,9","62160","boulogne-sur-mer"
"1162","Veuf, veuve","9,0","62160","boulogne-sur-mer"
"1163","Divorcé(e)","8,5","62160","boulogne-sur-mer"
"1164","Célibataire","37,0","62160","boulogne-sur-mer"
"1165","Marié(e)","34,9","62178","bruay-la-buissiere"
"1166","Pacsé(e)","4,2","62178","bruay-la-buissiere"
"1167","En concubinage ou union libre","14,7","62178","bruay-la-buissiere"
"1168","Veuf, veuve","9,8","62178","bruay-la-buissiere"
"1169","Divorcé(e)","7,4","62178","bruay-la-buissiere"
"1170","Célibataire","29,1","62178","bruay-la-buissiere"
"1171","Marié(e)","34,4","62193","calais"
"1172","Pacsé(e)","5,3","62193","calais"
"1173","En concubinage ou union libre","12,5","62193","calais"
"1174","Veuf, veuve","8,4","62193","calais"
"1175","Divorcé(e)","7,6","62193","calais"
"1176","Célibataire","31,8","62193","calais"
"1177","Marié(e)","38,4","62427","henin-beaumont"
"1178","Pacsé(e)","4,9","62427","henin-beaumont"
"1179","En concubinage ou union libre","13,5","62427","henin-beaumont"
"1180","Veuf, veuve","8,3","62427","henin-beaumont"
"1181","Divorcé(e)","7,5","62427","henin-beaumont"
"1182","Célibataire","27,4","62427","henin-beaumont"
"1183","Marié(e)","33,4","62498","lens"
"1184","Pacsé(e)","3,5","62498","lens"
"1185","En concubinage ou union libre","11,6","62498","lens"
"1186","Veuf, veuve","10,0","62498","lens"
"1187","Divorcé(e)","8,6","62498","lens"
"1188","Célibataire","32,9","62498","lens"
"1189","Marié(e)","38,3","62510","lievin"
"1190","Pacsé(e)","4,5","62510","lievin"
"1191","En concubinage ou union libre","12,9","62510","lievin"
"1192","Veuf, veuve","9,2","62510","lievin"
"1193","Divorcé(e)","6,4","62510","lievin"
"1194","Célibataire","28,6","62510","lievin"
"1195","Marié(e)","28,4","63113","clermont-ferrand"
"1196","Pacsé(e)","4,9","63113","clermont-ferrand"
"1197","En concubinage ou union libre","11,3","63113","clermont-ferrand"
"1198","Veuf, veuve","5,5","63113","clermont-ferrand"
"1199","Divorcé(e)","7,6","63113","clermont-ferrand"
"1200","Célibataire","42,4","63113","clermont-ferrand"
"1201","Marié(e)","44,8","63124","cournon-d-auvergne"
"1202","Pacsé(e)","5,4","63124","cournon-d-auvergne"
"1203","En concubinage ou union libre","9,9","63124","cournon-d-auvergne"
"1204","Veuf, veuve","8,0","63124","cournon-d-auvergne"
"1205","Divorcé(e)","8,8","63124","cournon-d-auvergne"
"1206","Célibataire","23,0","63124","cournon-d-auvergne"
"1207","Marié(e)","38,1","64024","anglet"
"1208","Pacsé(e)","5,8","64024","anglet"
"1209","En concubinage ou union libre","9,7","64024","anglet"
"1210","Veuf, veuve","8,8","64024","anglet"
"1211","Divorcé(e)","9,1","64024","anglet"
"1212","Célibataire","28,6","64024","anglet"
"1213","Marié(e)","28,1","64102","bayonne"
"1214","Pacsé(e)","6,0","64102","bayonne"
"1215","En concubinage ou union libre","13,1","64102","bayonne"
"1216","Veuf, veuve","7,7","64102","bayonne"
"1217","Divorcé(e)","9,1","64102","bayonne"
"1218","Célibataire","36,1","64102","bayonne"
"1219","Marié(e)","37,1","64122","biarritz"
"1220","Pacsé(e)","4,3","64122","biarritz"
"1221","En concubinage ou union libre","8,7","64122","biarritz"
"1222","Veuf, veuve","11,4","64122","biarritz"
"1223","Divorcé(e)","10,3","64122","biarritz"
"1224","Célibataire","28,2","64122","biarritz"
"1225","Marié(e)","28,1","64445","pau"
"1226","Pacsé(e)","4,3","64445","pau"
"1227","En concubinage ou union libre","10,5","64445","pau"
"1228","Veuf, veuve","7,8","64445","pau"
"1229","Divorcé(e)","10,1","64445","pau"
"1230","Célibataire","39,2","64445","pau"
"1231","Marié(e)","25,4","65440","tarbes"
"1232","Pacsé(e)","3,3","65440","tarbes"
"1233","En concubinage ou union libre","10,6","65440","tarbes"
"1234","Veuf, veuve","8,3","65440","tarbes"
"1235","Divorcé(e)","10,3","65440","tarbes"
"1236","Célibataire","42,1","65440","tarbes"
"1237","Marié(e)","34,0","66136","perpignan"
"1238","Pacsé(e)","2,9","66136","perpignan"
"1239","En concubinage ou union libre","9,3","66136","perpignan"
"1240","Veuf, veuve","7,7","66136","perpignan"
"1241","Divorcé(e)","10,3","66136","perpignan"
"1242","Célibataire","35,8","66136","perpignan"
"1243","Marié(e)","41,0","67180","haguenau"
"1244","Pacsé(e)","5,3","67180","haguenau"
"1245","En concubinage ou union libre","9,2","67180","haguenau"
"1246","Veuf, veuve","6,7","67180","haguenau"
"1247","Divorcé(e)","8,5","67180","haguenau"
"1248","Célibataire","29,2","67180","haguenau"
"1249","Marié(e)","40,3","67218","illkirch-graffenstaden"
"1250","Pacsé(e)","4,8","67218","illkirch-graffenstaden"
"1251","En concubinage ou union libre","9,4","67218","illkirch-graffenstaden"
"1252","Veuf, veuve","6,6","67218","illkirch-graffenstaden"
"1253","Divorcé(e)","7,6","67218","illkirch-graffenstaden"
"1254","Célibataire","31,3","67218","illkirch-graffenstaden"
"1255","Marié(e)","46,3","67267","lingolsheim"
"1256","Pacsé(e)","4,9","67267","lingolsheim"
"1257","En concubinage ou union libre","8,9","67267","lingolsheim"
"1258","Veuf, veuve","6,5","67267","lingolsheim"
"1259","Divorcé(e)","6,9","67267","lingolsheim"
"1260","Célibataire","26,5","67267","lingolsheim"
"1261","Marié(e)","37,3","67447","schiltigheim"
"1262","Pacsé(e)","5,4","67447","schiltigheim"
"1263","En concubinage ou union libre","10,2","67447","schiltigheim"
"1264","Veuf, veuve","5,6","67447","schiltigheim"
"1265","Divorcé(e)","7,9","67447","schiltigheim"
"1266","Célibataire","33,7","67447","schiltigheim"
"1267","Marié(e)","33,1","67482","strasbourg"
"1268","Pacsé(e)","4,2","67482","strasbourg"
"1269","En concubinage ou union libre","10,6","67482","strasbourg"
"1270","Veuf, veuve","5,2","67482","strasbourg"
"1271","Divorcé(e)","6,7","67482","strasbourg"
"1272","Célibataire","40,3","67482","strasbourg"
"1273","Marié(e)","36,6","68066","colmar"
"1274","Pacsé(e)","4,1","68066","colmar"
"1275","En concubinage ou union libre","11,1","68066","colmar"
"1276","Veuf, veuve","7,2","68066","colmar"
"1277","Divorcé(e)","9,3","68066","colmar"
"1278","Célibataire","31,6","68066","colmar"
"1279","Marié(e)","39,2","68224","mulhouse"
"1280","Pacsé(e)","2,6","68224","mulhouse"
"1281","En concubinage ou union libre","7,7","68224","mulhouse"
"1282","Veuf, veuve","6,4","68224","mulhouse"
"1283","Divorcé(e)","8,4","68224","mulhouse"
"1284","Célibataire","35,8","68224","mulhouse"
"1285","Marié(e)","45,3","68297","saint-louis"
"1286","Pacsé(e)","2,9","68297","saint-louis"
"1287","En concubinage ou union libre","8,4","68297","saint-louis"
"1288","Veuf, veuve","5,8","68297","saint-louis"
"1289","Divorcé(e)","8,5","68297","saint-louis"
"1290","Célibataire","29,1","68297","saint-louis"
"1291","Marié(e)","40,3","69029","bron"
"1292","Pacsé(e)","4,3","69029","bron"
"1293","En concubinage ou union libre","8,3","69029","bron"
"1294","Veuf, veuve","6,1","69029","bron"
"1295","Divorcé(e)","7,5","69029","bron"
"1296","Célibataire","33,5","69029","bron"
"1297","Marié(e)","40,2","69034","caluire-et-cuire"
"1298","Pacsé(e)","6,3","69034","caluire-et-cuire"
"1299","En concubinage ou union libre","9,7","69034","caluire-et-cuire"
"1300","Veuf, veuve","6,9","69034","caluire-et-cuire"
"1301","Divorcé(e)","8,1","69034","caluire-et-cuire"
"1302","Célibataire","28,8","69034","caluire-et-cuire"
"1303","Marié(e)","44,8","69091","givors"
"1304","Pacsé(e)","2,6","69091","givors"
"1305","En concubinage ou union libre","9,1","69091","givors"
"1306","Veuf, veuve","7,2","69091","givors"
"1307","Divorcé(e)","6,7","69091","givors"
"1308","Célibataire","29,6","69091","givors"
"1309","Marié(e)","30,2","69123","lyon"
"1310","Pacsé(e)","6,3","69123","lyon"
"1311","En concubinage ou union libre","12,4","69123","lyon"
"1312","Veuf, veuve","4,8","69123","lyon"
"1313","Divorcé(e)","6,4","69123","lyon"
"1314","Célibataire","39,9","69123","lyon"
"1315","Marié(e)","37,4","69149","oullins-pierre-benite"
"1316","Pacsé(e)","5,9","69149","oullins-pierre-benite"
"1317","En concubinage ou union libre","10,6","69149","oullins-pierre-benite"
"1318","Veuf, veuve","6,0","69149","oullins-pierre-benite"
"1319","Divorcé(e)","7,9","69149","oullins-pierre-benite"
"1320","Célibataire","32,1","69149","oullins-pierre-benite"
"1321","Marié(e)","45,4","69202","sainte-foy-les-lyon"
"1322","Pacsé(e)","5,2","69202","sainte-foy-les-lyon"
"1323","En concubinage ou union libre","7,8","69202","sainte-foy-les-lyon"
"1324","Veuf, veuve","7,5","69202","sainte-foy-les-lyon"
"1325","Divorcé(e)","8,9","69202","sainte-foy-les-lyon"
"1326","Célibataire","25,2","69202","sainte-foy-les-lyon"
"1327","Marié(e)","45,1","69204","saint-genis-laval"
"1328","Pacsé(e)","4,2","69204","saint-genis-laval"
"1329","En concubinage ou union libre","8,4","69204","saint-genis-laval"
"1330","Veuf, veuve","7,1","69204","saint-genis-laval"
"1331","Divorcé(e)","7,6","69204","saint-genis-laval"
"1332","Célibataire","27,6","69204","saint-genis-laval"
"1333","Marié(e)","40,7","69244","tassin-la-demi-lune"
"1334","Pacsé(e)","5,4","69244","tassin-la-demi-lune"
"1335","En concubinage ou union libre","10,5","69244","tassin-la-demi-lune"
"1336","Veuf, veuve","5,9","69244","tassin-la-demi-lune"
"1337","Divorcé(e)","8,6","69244","tassin-la-demi-lune"
"1338","Célibataire","28,9","69244","tassin-la-demi-lune"
"1339","Marié(e)","45,4","69256","vaulx-en-velin"
"1340","Pacsé(e)","2,4","69256","vaulx-en-velin"
"1341","En concubinage ou union libre","6,7","69256","vaulx-en-velin"
"1342","Veuf, veuve","5,2","69256","vaulx-en-velin"
"1343","Divorcé(e)","6,9","69256","vaulx-en-velin"
"1344","Célibataire","33,4","69256","vaulx-en-velin"
"1345","Marié(e)","43,0","69259","venissieux"
"1346","Pacsé(e)","1,8","69259","venissieux"
"1347","En concubinage ou union libre","7,5","69259","venissieux"
"1348","Veuf, veuve","6,2","69259","venissieux"
"1349","Divorcé(e)","7,8","69259","venissieux"
"1350","Célibataire","33,6","69259","venissieux"
"1351","Marié(e)","35,4","69264","villefranche-sur-saone"
"1352","Pacsé(e)","3,8","69264","villefranche-sur-saone"
"1353","En concubinage ou union libre","10,0","69264","villefranche-sur-saone"
"1354","Veuf, veuve","7,9","69264","villefranche-sur-saone"
"1355","Divorcé(e)","11,7","69264","villefranche-sur-saone"
"1356","Célibataire","31,2","69264","villefranche-sur-saone"
"1357","Marié(e)","30,7","69266","villeurbanne"
"1358","Pacsé(e)","5,5","69266","villeurbanne"
"1359","En concubinage ou union libre","11,2","69266","villeurbanne"
"1360","Veuf, veuve","4,6","69266","villeurbanne"
"1361","Divorcé(e)","7,1","69266","villeurbanne"
"1362","Célibataire","40,9","69266","villeurbanne"
"1363","Marié(e)","43,3","69275","decines-charpieu"
"1364","Pacsé(e)","4,0","69275","decines-charpieu"
"1365","En concubinage ou union libre","9,6","69275","decines-charpieu"
"1366","Veuf, veuve","6,3","69275","decines-charpieu"
"1367","Divorcé(e)","7,7","69275","decines-charpieu"
"1368","Célibataire","29,1","69275","decines-charpieu"
"1369","Marié(e)","47,0","69282","meyzieu"
"1370","Pacsé(e)","5,5","69282","meyzieu"
"1371","En concubinage ou union libre","8,8","69282","meyzieu"
"1372","Veuf, veuve","6,2","69282","meyzieu"
"1373","Divorcé(e)","7,2","69282","meyzieu"
"1374","Célibataire","25,3","69282","meyzieu"
"1375","Marié(e)","44,2","69286","rillieux-la-pape"
"1376","Pacsé(e)","3,4","69286","rillieux-la-pape"
"1377","En concubinage ou union libre","8,0","69286","rillieux-la-pape"
"1378","Veuf, veuve","6,7","69286","rillieux-la-pape"
"1379","Divorcé(e)","7,7","69286","rillieux-la-pape"
"1380","Célibataire","30,0","69286","rillieux-la-pape"
"1381","Marié(e)","45,9","69290","saint-priest"
"1382","Pacsé(e)","4,5","69290","saint-priest"
"1383","En concubinage ou union libre","8,7","69290","saint-priest"
"1384","Veuf, veuve","5,6","69290","saint-priest"
"1385","Divorcé(e)","7,1","69290","saint-priest"
"1386","Célibataire","28,0","69290","saint-priest"
"1387","Marié(e)","33,2","71076","chalon-sur-saone"
"1388","Pacsé(e)","3,3","71076","chalon-sur-saone"
"1389","En concubinage ou union libre","9,9","71076","chalon-sur-saone"
"1390","Veuf, veuve","8,6","71076","chalon-sur-saone"
"1391","Divorcé(e)","11,2","71076","chalon-sur-saone"
"1392","Célibataire","33,9","71076","chalon-sur-saone"
"1393","Marié(e)","39,3","71153","le-creusot"
"1394","Pacsé(e)","3,2","71153","le-creusot"
"1395","En concubinage ou union libre","8,4","71153","le-creusot"
"1396","Veuf, veuve","11,9","71153","le-creusot"
"1397","Divorcé(e)","8,2","71153","le-creusot"
"1398","Célibataire","29,0","71153","le-creusot"
"1399","Marié(e)","38,6","71270","macon"
"1400","Pacsé(e)","3,7","71270","macon"
"1401","En concubinage ou union libre","9,2","71270","macon"
"1402","Veuf, veuve","7,9","71270","macon"
"1403","Divorcé(e)","9,1","71270","macon"
"1404","Célibataire","31,6","71270","macon"
"1405","Marié(e)","35,2","72181","le-mans"
"1406","Pacsé(e)","5,4","72181","le-mans"
"1407","En concubinage ou union libre","10,1","72181","le-mans"
"1408","Veuf, veuve","7,8","72181","le-mans"
"1409","Divorcé(e)","8,7","72181","le-mans"
"1410","Célibataire","32,9","72181","le-mans"
"1411","Marié(e)","38,2","73008","aix-les-bains"
"1412","Pacsé(e)","5,7","73008","aix-les-bains"
"1413","En concubinage ou union libre","9,5","73008","aix-les-bains"
"1414","Veuf, veuve","9,0","73008","aix-les-bains"
"1415","Divorcé(e)","10,5","73008","aix-les-bains"
"1416","Célibataire","27,1","73008","aix-les-bains"
"1417","Marié(e)","34,8","73065","chambery"
"1418","Pacsé(e)","5,1","73065","chambery"
"1419","En concubinage ou union libre","10,4","73065","chambery"
"1420","Veuf, veuve","6,9","73065","chambery"
"1421","Divorcé(e)","8,9","73065","chambery"
"1422","Célibataire","33,9","73065","chambery"
"1423","Marié(e)","37,7","74010","annecy"
"1424","Pacsé(e)","5,4","74010","annecy"
"1425","En concubinage ou union libre","12,0","74010","annecy"
"1426","Veuf, veuve","6,7","74010","annecy"
"1427","Divorcé(e)","8,3","74010","annecy"
"1428","Célibataire","29,8","74010","annecy"
"1429","Marié(e)","40,3","74012","annemasse"
"1430","Pacsé(e)","2,1","74012","annemasse"
"1431","En concubinage ou union libre","11,3","74012","annemasse"
"1432","Veuf, veuve","4,7","74012","annemasse"
"1433","Divorcé(e)","8,7","74012","annemasse"
"1434","Célibataire","33,0","74012","annemasse"
"1435","Marié(e)","38,8","74281","thonon-les-bains"
"1436","Pacsé(e)","4,2","74281","thonon-les-bains"
"1437","En concubinage ou union libre","11,5","74281","thonon-les-bains"
"1438","Veuf, veuve","7,7","74281","thonon-les-bains"
"1439","Divorcé(e)","9,5","74281","thonon-les-bains"
"1440","Célibataire","28,3","74281","thonon-les-bains"
"1441","Marié(e)","32,0","75056","paris"
"1442","Pacsé(e)","5,1","75056","paris"
"1443","En concubinage ou union libre","11,8","75056","paris"
"1444","Veuf, veuve","4,5","75056","paris"
"1445","Divorcé(e)","6,2","75056","paris"
"1446","Célibataire","40,5","75056","paris"
"1447","Marié(e)","34,2","76217","dieppe"
"1448","Pacsé(e)","3,5","76217","dieppe"
"1449","En concubinage ou union libre","10,7","76217","dieppe"
"1450","Veuf, veuve","12,0","76217","dieppe"
"1451","Divorcé(e)","10,2","76217","dieppe"
"1452","Célibataire","29,3","76217","dieppe"
"1453","Marié(e)","37,1","76322","le-grand-quevilly"
"1454","Pacsé(e)","3,7","76322","le-grand-quevilly"
"1455","En concubinage ou union libre","10,8","76322","le-grand-quevilly"
"1456","Veuf, veuve","10,0","76322","le-grand-quevilly"
"1457","Divorcé(e)","9,7","76322","le-grand-quevilly"
"1458","Célibataire","28,7","76322","le-grand-quevilly"
"1459","Marié(e)","35,5","76351","le-havre"
"1460","Pacsé(e)","4,4","76351","le-havre"
"1461","En concubinage ou union libre","10,2","76351","le-havre"
"1462","Veuf, veuve","8,7","76351","le-havre"
"1463","Divorcé(e)","8,0","76351","le-havre"
"1464","Célibataire","33,2","76351","le-havre"
"1465","Marié(e)","35,8","76451","mont-saint-aignan"
"1466","Pacsé(e)","5,0","76451","mont-saint-aignan"
"1467","En concubinage ou union libre","8,7","76451","mont-saint-aignan"
"1468","Veuf, veuve","7,3","76451","mont-saint-aignan"
"1469","Divorcé(e)","6,4","76451","mont-saint-aignan"
"1470","Célibataire","36,7","76451","mont-saint-aignan"
"1471","Marié(e)","36,1","76498","le-petit-quevilly"
"1472","Pacsé(e)","4,6","76498","le-petit-quevilly"
"1473","En concubinage ou union libre","11,9","76498","le-petit-quevilly"
"1474","Veuf, veuve","6,5","76498","le-petit-quevilly"
"1475","Divorcé(e)","8,4","76498","le-petit-quevilly"
"1476","Célibataire","32,4","76498","le-petit-quevilly"
"1477","Marié(e)","23,4","76540","rouen"
"1478","Pacsé(e)","4,9","76540","rouen"
"1479","En concubinage ou union libre","13,6","76540","rouen"
"1480","Veuf, veuve","5,3","76540","rouen"
"1481","Divorcé(e)","7,4","76540","rouen"
"1482","Célibataire","45,4","76540","rouen"
"1483","Marié(e)","42,7","76575","saint-etienne-du-rouvray"
"1484","Pacsé(e)","4,2","76575","saint-etienne-du-rouvray"
"1485","En concubinage ou union libre","8,3","76575","saint-etienne-du-rouvray"
"1486","Veuf, veuve","7,4","76575","saint-etienne-du-rouvray"
"1487","Divorcé(e)","5,6","76575","saint-etienne-du-rouvray"
"1488","Célibataire","31,8","76575","saint-etienne-du-rouvray"
"1489","Marié(e)","36,1","76681","sotteville-les-rouen"
"1490","Pacsé(e)","5,3","76681","sotteville-les-rouen"
"1491","En concubinage ou union libre","11,1","76681","sotteville-les-rouen"
"1492","Veuf, veuve","9,7","76681","sotteville-les-rouen"
"1493","Divorcé(e)","8,6","76681","sotteville-les-rouen"
"1494","Célibataire","29,2","76681","sotteville-les-rouen"
"1495","Marié(e)","42,0","77058","bussy-saint-georges"
"1496","Pacsé(e)","4,7","77058","bussy-saint-georges"
"1497","En concubinage ou union libre","11,4","77058","bussy-saint-georges"
"1498","Veuf, veuve","2,5","77058","bussy-saint-georges"
"1499","Divorcé(e)","5,9","77058","bussy-saint-georges"
"1500","Célibataire","33,5","77058","bussy-saint-georges"
"1501","Marié(e)","38,5","77083","champs-sur-marne"
"1502","Pacsé(e)","4,6","77083","champs-sur-marne"
"1503","En concubinage ou union libre","10,8","77083","champs-sur-marne"
"1504","Veuf, veuve","3,6","77083","champs-sur-marne"
"1505","Divorcé(e)","5,9","77083","champs-sur-marne"
"1506","Célibataire","36,7","77083","champs-sur-marne"
"1507","Marié(e)","43,8","77108","chelles"
"1508","Pacsé(e)","4,4","77108","chelles"
"1509","En concubinage ou union libre","10,8","77108","chelles"
"1510","Veuf, veuve","5,9","77108","chelles"
"1511","Divorcé(e)","6,1","77108","chelles"
"1512","Célibataire","29,1","77108","chelles"
"1513","Marié(e)","43,8","77122","combs-la-ville"
"1514","Pacsé(e)","5,3","77122","combs-la-ville"
"1515","En concubinage ou union libre","10,5","77122","combs-la-ville"
"1516","Veuf, veuve","5,1","77122","combs-la-ville"
"1517","Divorcé(e)","6,8","77122","combs-la-ville"
