"","Type de ménages","2010","%1","2015","%2","2021","%3","code_insee","Ville"
"593","Couples sans enfant","4 283","22,3","3 842","20,9","3 744","19,4","42187","roanne"
"594","Couples avec enfant(s)","2 958","15,4","2 596","14,1","2 410","12,5","42187","roanne"
"595","Familles monoparentales","1 630","8,5","1 863","10,1","1 886","9,8","42187","roanne"
"596","Ménages d'une personne","5 480","35,9","5 791","37,7","5 922","38,3","42207","saint-chamond"
"597","Autres ménages sans famille","280","1,8","255","1,7","166","1,1","42207","saint-chamond"
"598","Couples sans enfant","3 948","25,8","3 934","25,6","3 786","24,5","42207","saint-chamond"
"599","Couples avec enfant(s)","4 185","27,4","3 917","25,5","3 942","25,5","42207","saint-chamond"
"600","Familles monoparentales","1 384","9,1","1 465","9,5","1 643","10,6","42207","saint-chamond"
"601","Ménages d'une personne","37 827","45,6","40 337","47,9","43 149","50,2","42218","saint-etienne"
"602","Autres ménages sans famille","2 409","2,9","2 594","3,1","2 253","2,6","42218","saint-etienne"
"603","Couples sans enfant","19 051","23,0","17 899","21,3","16 554","19,3","42218","saint-etienne"
"604","Couples avec enfant(s)","16 414","19,8","15 957","19,0","15 601","18,2","42218","saint-etienne"
"605","Familles monoparentales","7 247","8,7","7 369","8,8","8 356","9,7","42218","saint-etienne"
"606","Ménages d'une personne","1 703","24,0","2 118","27,5","2 886","33,2","44020","bouguenais"
"607","Autres ménages sans famille","112","1,6","124","1,6","100","1,1","44020","bouguenais"
"608","Couples sans enfant","2 155","30,3","2 341","30,4","2 357","27,1","44020","bouguenais"
"609","Couples avec enfant(s)","2 455","34,6","2 394","31,1","2 478","28,5","44020","bouguenais"
"610","Familles monoparentales","675","9,5","714","9,3","881","10,1","44020","bouguenais"
"611","Ménages d'une personne","1 901","27,3","2 443","31,3","3 194","35,6","44026","carquefou"
"612","Autres ménages sans famille","129","1,9","136","1,7","128","1,4","44026","carquefou"
"613","Couples sans enfant","2 062","29,6","2 168","27,7","2 524","28,1","44026","carquefou"
"614","Couples avec enfant(s)","2 450","35,2","2 493","31,9","2 426","27,0","44026","carquefou"
"615","Familles monoparentales","416","6,0","575","7,4","705","7,9","44026","carquefou"
"616","Ménages d'une personne","1 372","20,7","2 081","26,4","2 512","29,2","44035","la-chapelle-sur-erdre"
"617","Autres ménages sans famille","80","1,2","114","1,5","75","0,9","44035","la-chapelle-sur-erdre"
"618","Couples sans enfant","2 180","33,0","2 440","31,0","2 601","30,2","44035","la-chapelle-sur-erdre"
"619","Couples avec enfant(s)","2 552","38,6","2 581","32,8","2 721","31,6","44035","la-chapelle-sur-erdre"
"620","Familles monoparentales","430","6,5","657","8,3","704","8,2","44035","la-chapelle-sur-erdre"
"621","Ménages d'une personne","1 692","23,5","2 339","27,8","3 017","30,9","44047","coueron"
"622","Autres ménages sans famille","114","1,6","106","1,3","82","0,8","44047","coueron"
"623","Couples sans enfant","2 251","31,2","2 416","28,7","2 606","26,7","44047","coueron"
"624","Couples avec enfant(s)","2 622","36,3","2 891","34,4","3 138","32,1","44047","coueron"
"625","Familles monoparentales","537","7,4","662","7,9","924","9,5","44047","coueron"
"626","Ménages d'une personne","74 506","50,9","81 954","52,0","91 863","53,9","44109","nantes"
"627","Autres ménages sans famille","5 749","3,9","6 272","4,0","5 329","3,1","44109","nantes"
"628","Couples sans enfant","29 466","20,1","30 720","19,5","31 886","18,7","44109","nantes"
"629","Couples avec enfant(s)","25 289","17,3","26 510","16,8","27 748","16,3","44109","nantes"
"630","Familles monoparentales","11 505","7,9","12 195","7,7","13 472","7,9","44109","nantes"
"631","Ménages d'une personne","2 899","27,6","3 745","33,2","4 158","34,2","44114","orvault"
"632","Autres ménages sans famille","275","2,6","206","1,8","244","2,0","44114","orvault"
"633","Couples sans enfant","3 598","34,2","3 438","30,5","3 458","28,4","44114","orvault"
"634","Couples avec enfant(s)","2 924","27,8","3 039","26,9","3 269","26,9","44114","orvault"
"635","Familles monoparentales","810","7,7","858","7,6","1 042","8,6","44114","orvault"
"636","Ménages d'une personne","6 537","37,4","6 975","38,7","8 735","42,7","44143","reze"
"637","Autres ménages sans famille","509","2,9","521","2,9","392","1,9","44143","reze"
"638","Couples sans enfant","4 367","25,0","4 200","23,3","4 469","21,9","44143","reze"
"639","Couples avec enfant(s)","4 308","24,7","4 325","24,0","4 534","22,2","44143","reze"
"640","Familles monoparentales","1 756","10,0","2 015","11,2","2 320","11,3","44143","reze"
"641","Ménages d'une personne","6 419","33,9","7 754","37,6","9 651","41,2","44162","saint-herblain"
"642","Autres ménages sans famille","410","2,2","391","1,9","474","2,0","44162","saint-herblain"
"643","Couples sans enfant","5 234","27,6","5 134","24,9","5 532","23,6","44162","saint-herblain"
"644","Couples avec enfant(s)","5 051","26,7","5 245","25,4","5 170","22,1","44162","saint-herblain"
"645","Familles monoparentales","1 825","9,6","2 110","10,2","2 571","11,0","44162","saint-herblain"
"646","Ménages d'une personne","13 347","41,5","15 683","45,3","17 362","47,2","44184","saint-nazaire"
"647","Autres ménages sans famille","871","2,7","714","2,1","551","1,5","44184","saint-nazaire"
"648","Couples sans enfant","8 348","26,0","8 244","23,8","8 863","24,1","44184","saint-nazaire"
"649","Couples avec enfant(s)","6 553","20,4","6 330","18,3","6 249","17,0","44184","saint-nazaire"
"650","Familles monoparentales","3 028","9,4","3 680","10,6","3 784","10,3","44184","saint-nazaire"
"651","Ménages d'une personne","3 605","32,6","4 546","37,4","5 731","41,7","44190","saint-sebastien-sur-loire"
"652","Autres ménages sans famille","210","1,9","214","1,8","257","1,9","44190","saint-sebastien-sur-loire"
"653","Couples sans enfant","3 525","31,9","3 448","28,3","3 647","26,5","44190","saint-sebastien-sur-loire"
"654","Couples avec enfant(s)","2 873","26,0","2 917","24,0","2 941","21,4","44190","saint-sebastien-sur-loire"
"655","Familles monoparentales","854","7,7","1 044","8,6","1 173","8,5","44190","saint-sebastien-sur-loire"
"656","Ménages d'une personne","2 083","24,1","2 530","26,2","3 473","30,6","44215","vertou"
"657","Autres ménages sans famille","158","1,8","126","1,3","91","0,8","44215","vertou"
"658","Couples sans enfant","2 958","34,2","3 344","34,6","3 576","31,5","44215","vertou"
"659","Couples avec enfant(s)","2 848","33,0","2 899","30,0","3 254","28,6","44215","vertou"
"660","Familles monoparentales","593","6,9","754","7,8","969","8,5","44215","vertou"
"661","Ménages d'une personne","2 703","30,9","3 234","35,4","3 510","37,1","45147","fleury-les-aubrais"
"662","Autres ménages sans famille","180","2,1","136","1,5","111","1,2","45147","fleury-les-aubrais"
"663","Couples sans enfant","2 381","27,2","2 284","25,0","2 276","24,1","45147","fleury-les-aubrais"
"664","Couples avec enfant(s)","2 547","29,1","2 375","26,0","2 369","25,1","45147","fleury-les-aubrais"
"665","Familles monoparentales","941","10,7","1 107","12,1","1 186","12,5","45147","fleury-les-aubrais"
"666","Ménages d'une personne","3 849","41,4","4 338","42,2","5 084","45,9","45232","olivet"
"667","Autres ménages sans famille","229","2,5","183","1,8","151","1,4","45232","olivet"
"668","Couples sans enfant","2 685","28,9","2 841","27,6","2 906","26,3","45232","olivet"
"669","Couples avec enfant(s)","1 947","20,9","2 257","22,0","2 232","20,2","45232","olivet"
"670","Familles monoparentales","590","6,3","660","6,4","694","6,3","45232","olivet"
"671","Ménages d'une personne","25 729","46,8","27 532","48,9","29 909","51,0","45234","orleans"
"672","Autres ménages sans famille","1 611","2,9","1 635","2,9","1 355","2,3","45234","orleans"
"673","Couples sans enfant","11 656","21,2","11 311","20,1","10 953","18,7","45234","orleans"
"674","Couples avec enfant(s)","10 994","20,0","10 552","18,7","10 511","17,9","45234","orleans"
"675","Familles monoparentales","5 026","9,1","5 265","9,4","5 960","10,2","45234","orleans"
"676","Ménages d'une personne","2 851","34,6","3 003","34,6","3 580","37,9","45284","saint-jean-de-braye"
"677","Autres ménages sans famille","160","1,9","187","2,2","106","1,1","45284","saint-jean-de-braye"
"678","Couples sans enfant","2 129","25,8","2 182","25,1","2 138","22,6","45284","saint-jean-de-braye"
"679","Couples avec enfant(s)","2 241","27,2","2 332","26,9","2 390","25,3","45284","saint-jean-de-braye"
"680","Familles monoparentales","869","10,5","975","11,2","1 237","13,1","45284","saint-jean-de-braye"
"681","Ménages d'une personne","4 708","46,1","4 815","47,6","5 721","51,7","46042","cahors"
"682","Autres ménages sans famille","159","1,6","209","2,1","158","1,4","46042","cahors"
"683","Couples sans enfant","2 600","25,5","2 522","25,0","2 654","24,0","46042","cahors"
"684","Couples avec enfant(s)","1 809","17,7","1 506","14,9","1 413","12,8","46042","cahors"
"685","Familles monoparentales","927","9,1","1 056","10,4","1 123","10,1","46042","cahors"
"686","Ménages d'une personne","9 558","54,1","10 022","56,1","9 992","57,0","47001","agen"
"687","Autres ménages sans famille","509","2,9","427","2,4","255","1,5","47001","agen"
"688","Couples sans enfant","3 258","18,5","3 045","17,0","2 974","17,0","47001","agen"
"689","Couples avec enfant(s)","2 400","13,6","2 455","13,7","2 294","13,1","47001","agen"
"690","Familles monoparentales","1 931","10,9","1 920","10,7","2 023","11,5","47001","agen"
"691","Ménages d'une personne","4 748","42,1","4 858","43,7","5 170","46,9","47323","villeneuve-sur-lot"
"692","Autres ménages sans famille","245","2,2","221","2,0","108","1,0","47323","villeneuve-sur-lot"
"693","Couples sans enfant","3 191","28,3","2 954","26,6","2 825","25,6","47323","villeneuve-sur-lot"
"694","Couples avec enfant(s)","2 153","19,1","1 998","18,0","1 814","16,5","47323","villeneuve-sur-lot"
"695","Familles monoparentales","948","8,4","1 093","9,8","1 108","10,1","47323","villeneuve-sur-lot"
"696","Ménages d'une personne","38 462","51,1","42 112","53,5","46 221","55,2","49007","angers"
"697","Autres ménages sans famille","3 014","4,0","3 124","4,0","2 903","3,5","49007","angers"
"698","Couples sans enfant","15 700","20,8","15 011","19,1","15 152","18,1","49007","angers"
"699","Couples avec enfant(s)","11 895","15,8","11 781","15,0","12 002","14,3","49007","angers"
"700","Familles monoparentales","6 232","8,3","6 698","8,5","7 436","8,9","49007","angers"
"701","Ménages d'une personne","2 197","25,4","2 425","26,7","3 378","29,2","49023","beaupreau-en-mauges"
"702","Autres ménages sans famille","136","1,6","84","0,9","112","1,0","49023","beaupreau-en-mauges"
"703","Couples sans enfant","2 776","32,1","3 017","33,2","3 713","32,1","49023","beaupreau-en-mauges"
"704","Couples avec enfant(s)","3 075","35,6","3 086","34,0","3 669","31,7","49023","beaupreau-en-mauges"
"705","Familles monoparentales","453","5,2","468","5,2","711","6,1","49023","beaupreau-en-mauges"
"706","Ménages d'une personne","1 985","25,1","2 128","25,7","2 981","29,3","49092","chemille-en-anjou"
"707","Autres ménages sans famille","125","1,6","135","1,6","123","1,2","49092","chemille-en-anjou"
"708","Couples sans enfant","2 456","31,0","2 679","32,3","3 072","30,2","49092","chemille-en-anjou"
"709","Couples avec enfant(s)","2 979","37,6","2 964","35,8","3 344","32,9","49092","chemille-en-anjou"
"710","Familles monoparentales","374","4,7","382","4,6","652","6,4","49092","chemille-en-anjou"
"711","Ménages d'une personne","9 411","38,2","10 078","40,1","11 265","43,5","49099","cholet"
"712","Autres ménages sans famille","425","1,7","353","1,4","348","1,3","49099","cholet"
"713","Couples sans enfant","7 036","28,6","7 069","28,1","6 941","26,8","49099","cholet"
"714","Couples avec enfant(s)","5 975","24,3","5 549","22,1","5 276","20,4","49099","cholet"
"715","Familles monoparentales","1 759","7,2","2 086","8,3","2 086","8,1","49099","cholet"
"716","Ménages d'une personne","2 244","24,4","2 431","24,6","3 295","26,9","49301","sevremoine"
"717","Autres ménages sans famille","87","0,9","121","1,2","117","1,0","49301","sevremoine"
"718","Couples sans enfant","2 870","31,1","3 036","30,7","3 770","30,8","49301","sevremoine"
"719","Couples avec enfant(s)","3 596","39,0","3 759","38,1","4 313","35,2","49301","sevremoine"
"720","Familles monoparentales","419","4,5","526","5,3","748","6,1","49301","sevremoine"
"721","Ménages d'une personne","5 590","43,0","5 951","44,3","6 205","47,1","49328","saumur"
"722","Autres ménages sans famille","253","1,9","275","2,0","187","1,4","49328","saumur"
"723","Couples sans enfant","3 481","26,8","3 567","26,6","3 551","26,9","49328","saumur"
"724","Couples avec enfant(s)","2 494","19,2","2 361","17,6","2 045","15,5","49328","saumur"
"725","Familles monoparentales","1 176","9,1","1 280","9,5","1 195","9,1","49328","saumur"
"726","Ménages d'une personne","15 017","39,5","16 119","42,0","18 525","45,8","50129","cherbourg-en-cotentin"
"727","Autres ménages sans famille","726","1,9","544","1,4","383","0,9","50129","cherbourg-en-cotentin"
"728","Couples sans enfant","9 808","25,8","9 729","25,4","10 222","25,3","50129","cherbourg-en-cotentin"
"729","Couples avec enfant(s)","8 953","23,5","8 332","21,7","7 577","18,7","50129","cherbourg-en-cotentin"
"730","Familles monoparentales","3 531","9,3","3 618","9,4","3 720","9,2","50129","cherbourg-en-cotentin"
"731","Ménages d'une personne","9 211","43,9","9 905","46,1","11 004","50,3","51108","chalons-en-champagne"
"732","Autres ménages sans famille","412","2,0","368","1,7","246","1,1","51108","chalons-en-champagne"
"733","Couples sans enfant","4 723","22,5","4 817","22,4","4 517","20,7","51108","chalons-en-champagne"
"734","Couples avec enfant(s)","4 452","21,2","4 084","19,0","3 569","16,3","51108","chalons-en-champagne"
"735","Familles monoparentales","2 161","10,3","2 306","10,7","2 521","11,5","51108","chalons-en-champagne"
"736","Ménages d'une personne","4 631","41,4","5 235","45,6","5 651","49,8","51230","epernay"
"737","Autres ménages sans famille","206","1,8","190","1,7","160","1,4","51230","epernay"
"738","Couples sans enfant","2 618","23,4","2 624","22,9","2 425","21,4","51230","epernay"
"739","Couples avec enfant(s)","2 546","22,8","2 165","18,9","2 005","17,7","51230","epernay"
"740","Familles monoparentales","1 174","10,5","1 257","11,0","1 108","9,8","51230","epernay"
"741","Ménages d'une personne","41 157","46,7","45 215","49,1","48 185","52,1","51454","reims"
"742","Autres ménages sans famille","2 966","3,4","2 880","3,1","2 164","2,3","51454","reims"
"743","Couples sans enfant","18 343","20,8","18 116","19,7","16 992","18,4","51454","reims"
"744","Couples avec enfant(s)","17 246","19,6","16 522","17,9","15 012","16,2","51454","reims"
"745","Familles monoparentales","8 476","9,6","9 433","10,2","10 120","10,9","51454","reims"
"746","Ménages d'une personne","5 203","45,8","5 296","47,0","6 013","52,4","52121","chaumont"
"747","Autres ménages sans famille","201","1,8","217","1,9","127","1,1","52121","chaumont"
"748","Couples sans enfant","2 968","26,1","2 840","25,2","2 718","23,7","52121","chaumont"
"749","Couples avec enfant(s)","1 999","17,6","1 770","15,7","1 523","13,3","52121","chaumont"
"750","Familles monoparentales","996","8,8","1 152","10,2","1 100","9,6","52121","chaumont"
"751","Ménages d'une personne","4 912","41,7","4 887","42,2","5 372","48,0","52448","saint-dizier"
"752","Autres ménages sans famille","205","1,7","225","1,9","132","1,2","52448","saint-dizier"
"753","Couples sans enfant","2 879","24,4","2 874","24,8","2 475","22,1","52448","saint-dizier"
"754","Couples avec enfant(s)","2 570","21,8","2 319","20,0","1 871","16,7","52448","saint-dizier"
"755","Familles monoparentales","1 226","10,4","1 266","10,9","1 338","12,0","52448","saint-dizier"
"756","Ménages d'une personne","12 295","48,5","12 497","49,4","13 479","52,1","53130","laval"
"757","Autres ménages sans famille","535","2,1","529","2,1","455","1,8","53130","laval"
"758","Couples sans enfant","5 945","23,4","5 923","23,4","5 667","21,9","53130","laval"
"759","Couples avec enfant(s)","4 570","18,0","4 132","16,3","3 889","15,0","53130","laval"
"760","Familles monoparentales","2 023","8,0","2 208","8,7","2 378","9,2","53130","laval"
"761","Ménages d'une personne","32 743","56,7","33 561","57,2","36 264","60,4","54395","nancy"
"762","Autres ménages sans famille","2 850","4,9","3 176","5,4","2 933","4,9","54395","nancy"
"763","Couples sans enfant","10 506","18,2","10 262","17,5","9 562","15,9","54395","nancy"
"764","Couples avec enfant(s)","7 186","12,4","7 022","12,0","6 692","11,1","54395","nancy"
"765","Familles monoparentales","4 513","7,8","4 607","7,9","4 632","7,7","54395","nancy"
"766","Ménages d'une personne","7 140","48,4","7 909","52,5","8 672","56,2","54547","vandoeuvre-les-nancy"
"767","Autres ménages sans famille","454","3,1","585","3,9","619","4,0","54547","vandoeuvre-les-nancy"
"768","Couples sans enfant","2 748","18,6","2 598","17,2","2 415","15,6","54547","vandoeuvre-les-nancy"
"769","Couples avec enfant(s)","2 705","18,3","2 605","17,3","2 318","15,0","54547","vandoeuvre-les-nancy"
"770","Familles monoparentales","1 695","11,5","1 374","9,1","1 410","9,1","54547","vandoeuvre-les-nancy"
"771","Ménages d'une personne","3 571","36,1","3 957","38,9","4 622","42,7","56098","lanester"
"772","Autres ménages sans famille","209","2,1","126","1,2","90","0,8","56098","lanester"
"773","Couples sans enfant","2 519","25,5","2 665","26,2","2 684","24,8","56098","lanester"
"774","Couples avec enfant(s)","2 533","25,6","2 409","23,7","2 287","21,1","56098","lanester"
"775","Familles monoparentales","1 047","10,6","1 020","10,0","1 148","10,6","56098","lanester"
"776","Ménages d'une personne","16 341","52,7","17 224","54,4","18 512","56,8","56121","lorient"
"777","Autres ménages sans famille","809","2,6","891","2,8","701","2,2","56121","lorient"
"778","Couples sans enfant","6 164","19,9","5 909","18,7","5 966","18,3","56121","lorient"
"779","Couples avec enfant(s)","4 906","15,8","4 635","14,7","4 385","13,5","56121","lorient"
"780","Familles monoparentales","2 772","8,9","2 975","9,4","3 030","9,3","56121","lorient"
"781","Ménages d'une personne","13 970","51,0","14 313","51,3","16 405","54,9","56260","vannes"
"782","Autres ménages sans famille","665","2,4","693","2,5","529","1,8","56260","vannes"
"783","Couples sans enfant","6 312","23,0","6 363","22,8","6 810","22,8","56260","vannes"
"784","Couples avec enfant(s)","4 142","15,1","3 975","14,2","3 794","12,7","56260","vannes"
"785","Familles monoparentales","2 316","8,5","2 551","9,1","2 334","7,8","56260","vannes"
"786","Ménages d'une personne","3 373","35,7","3 430","36,6","3 416","37,3","57227","forbach"
"787","Autres ménages sans famille","200","2,1","210","2,2","118","1,3","57227","forbach"
"788","Couples sans enfant","2 331","24,7","2 290","24,4","2 286","25,0","57227","forbach"
"789","Couples avec enfant(s)","2 278","24,1","2 292","24,4","2 206","24,1","57227","forbach"
"790","Familles monoparentales","1 266","13,4","1 160","12,4","1 134","12,4","57227","forbach"
"791","Ménages d'une personne","26 005","45,6","26 767","47,4","31 544","51,3","57463","metz"
"792","Autres ménages sans famille","1 742","3,1","1 850","3,3","1 310","2,1","57463","metz"
"793","Couples sans enfant","12 456","21,9","11 467","20,3","12 255","19,9","57463","metz"
"794","Couples avec enfant(s)","11 259","19,8","10 790","19,1","10 443","17,0","57463","metz"
"795","Familles monoparentales","5 536","9,7","5 548","9,8","5 973","9,7","57463","metz"
"796","Ménages d'une personne","4 575","42,1","4 997","46,0","5 253","47,3","57480","montigny-les-metz"
"797","Autres ménages sans famille","262","2,4","162","1,5","153","1,4","57480","montigny-les-metz"
"798","Couples sans enfant","2 611","24,0","2 552","23,5","2 435","21,9","57480","montigny-les-metz"
"799","Couples avec enfant(s)","2 299","21,2","1 999","18,4","1 906","17,2","57480","montigny-les-metz"
"800","Familles monoparentales","1 120","10,3","1 159","10,7","1 350","12,2","57480","montigny-les-metz"
"801","Ménages d'une personne","4 119","41,1","4 460","43,9","4 933","48,3","57631","sarreguemines"
"802","Autres ménages sans famille","192","1,9","215","2,1","97","0,9","57631","sarreguemines"
"803","Couples sans enfant","2 482","24,8","2 503","24,7","2 182","21,4","57631","sarreguemines"
"804","Couples avec enfant(s)","2 187","21,8","1 892","18,6","1 753","17,2","57631","sarreguemines"
"805","Familles monoparentales","1 033","10,3","1 081","10,6","1 241","12,2","57631","sarreguemines"
"806","Ménages d'une personne","7 831","40,9","7 785","40,8","9 672","45,7","57672","thionville"
"807","Autres ménages sans famille","431","2,3","391","2,1","254","1,2","57672","thionville"
"808","Couples sans enfant","4 548","23,8","4 656","24,4","4 906","23,2","57672","thionville"
"809","Couples avec enfant(s)","4 373","22,9","4 285","22,5","4 154","19,6","57672","thionville"
"810","Familles monoparentales","1 951","10,2","1 942","10,2","2 159","10,2","57672","thionville"
"811","Ménages d'une personne","9 218","49,3","9 278","51,6","10 177","55,6","58194","nevers"
"812","Autres ménages sans famille","421","2,3","478","2,7","249","1,4","58194","nevers"
"813","Couples sans enfant","4 199","22,4","3 930","21,9","3 697","20,2","58194","nevers"
"814","Couples avec enfant(s)","3 111","16,6","2 626","14,6","2 489","13,6","58194","nevers"
"815","Familles monoparentales","1 767","9,4","1 653","9,2","1 681","9,2","58194","nevers"
"816","Ménages d'une personne","8 387","33,9","9 280","36,7","12 255","43,6","59009","villeneuve-d-ascq"
"817","Autres ménages sans famille","738","3,0","631","2,5","545","1,9","59009","villeneuve-d-ascq"
"818","Couples sans enfant","4 837","19,6","5 053","20,0","5 548","19,8","59009","villeneuve-d-ascq"
"819","Couples avec enfant(s)","7 361","29,8","6 964","27,6","6 420","22,9","59009","villeneuve-d-ascq"
"820","Familles monoparentales","3 382","13,7","3 344","13,2","3 317","11,8","59009","villeneuve-d-ascq"
"821","Ménages d'une personne","3 477","33,8","3 978","37,7","4 851","41,5","59017","armentieres"
"822","Autres ménages sans famille","237","2,3","206","2,0","161","1,4","59017","armentieres"
"823","Couples sans enfant","2 431","23,6","2 066","19,6","2 426","20,8","59017","armentieres"
"824","Couples avec enfant(s)","2 991","29,1","2 924","27,7","2 689","23,0","59017","armentieres"
"825","Familles monoparentales","1 157","11,2","1 381","13,1","1 565","13,4","59017","armentieres"
"826","Ménages d'une personne","6 176","40,9","6 939","43,9","8 193","50,6","59122","cambrai"
"827","Autres ménages sans famille","346","2,3","397","2,5","229","1,4","59122","cambrai"
"828","Couples sans enfant","3 692","24,5","3 534","22,4","3 247","20,0","59122","cambrai"
"829","Couples avec enfant(s)","3 123","20,7","2 998","19,0","2 706","16,7","59122","cambrai"
"830","Familles monoparentales","1 758","11,6","1 932","12,2","1 821","11,2","59122","cambrai"
"831","Ménages d'une personne","2 584","28,2","3 065","33,1","3 154","33,9","59155","coudekerque-branche"
"832","Autres ménages sans famille","143","1,6","142","1,5","66","0,7","59155","coudekerque-branche"
"833","Couples sans enfant","2 508","27,3","2 455","26,5","2 504","26,9","59155","coudekerque-branche"
"834","Couples avec enfant(s)","2 989","32,6","2 729","29,4","2 516","27,0","59155","coudekerque-branche"
"835","Familles monoparentales","950","10,4","878","9,5","1 068","11,5","59155","coudekerque-branche"
"836","Ménages d'une personne","3 082","34,8","3 717","39,4","4 058","42,0","59163","croix"
"837","Autres ménages sans famille","216","2,4","180","1,9","169","1,7","59163","croix"
"838","Couples sans enfant","2 090","23,6","2 031","21,5","2 106","21,8","59163","croix"
"839","Couples avec enfant(s)","2 510","28,4","2 423","25,7","2 257","23,3","59163","croix"
"840","Familles monoparentales","947","10,7","1 091","11,6","1 077","11,1","59163","croix"
"841","Ménages d'une personne","2 250","29,8","2 401","31,4","2 696","33,7","59172","denain"
"842","Autres ménages sans famille","180","2,4","199","2,6","126","1,6","59172","denain"
"843","Couples sans enfant","1 667","22,0","1 625","21,2","1 595","19,9","59172","denain"
"844","Couples avec enfant(s)","2 454","32,5","2 267","29,6","2 248","28,1","59172","denain"
"845","Familles monoparentales","1 011","13,4","1 160","15,2","1 345","16,8","59172","denain"
"846","Ménages d'une personne","7 167","39,5","7 723","43,1","8 525","46,2","59178","douai"
"847","Autres ménages sans famille","444","2,5","393","2,2","303","1,6","59178","douai"
"848","Couples sans enfant","4 215","23,3","4 000","22,3","3 746","20,3","59178","douai"
"849","Couples avec enfant(s)","4 162","23,0","3 780","21,1","3 509","19,0","59178","douai"
"850","Familles monoparentales","2 137","11,8","2 020","11,3","2 373","12,9","59178","douai"
"851","Ménages d'une personne","15 112","36,8","16 382","39,8","18 397","43,5","59183","dunkerque"
"852","Autres ménages sans famille","753","1,8","828","2,0","501","1,2","59183","dunkerque"
"853","Couples sans enfant","10 739","26,1","10 409","25,3","10 208","24,1","59183","dunkerque"
"854","Couples avec enfant(s)","10 147","24,7","9 221","22,4","8 419","19,9","59183","dunkerque"
"855","Familles monoparentales","4 344","10,6","4 354","10,6","4 778","11,3","59183","dunkerque"
"856","Ménages d'une personne","1 749","23,1","1 887","23,5","2 407","30,4","59271","grande-synthe"
"857","Autres ménages sans famille","148","2,0","154","1,9","77","1,0","59271","grande-synthe"
"858","Couples sans enfant","1 747","23,1","2 006","25,0","1 651","20,8","59271","grande-synthe"
"859","Couples avec enfant(s)","2 870","37,9","2 843","35,4","2 515","31,7","59271","grande-synthe"
"860","Familles monoparentales","1 064","14,0","1 150","14,3","1 278","16,1","59271","grande-synthe"
"861","Ménages d'une personne","1 845","24,3","2 114","26,5","2 575","30,4","59279","halluin"
"862","Autres ménages sans famille","130","1,7","130","1,6","44","0,5","59279","halluin"
"863","Couples sans enfant","1 921","25,3","2 027","25,4","2 109","24,9","59279","halluin"
"864","Couples avec enfant(s)","2 919","38,4","2 880","36,1","2 778","32,8","59279","halluin"
"865","Familles monoparentales","790","10,4","819","10,3","954","11,3","59279","halluin"
"866","Ménages d'une personne","2 742","30,6","3 059","33,1","3 423","35,5","59295","hazebrouck"
"867","Autres ménages sans famille","170","1,9","140","1,5","109","1,1","59295","hazebrouck"
"868","Couples sans enfant","2 523","28,2","2 596","28,1","2 714","28,2","59295","hazebrouck"
"869","Couples avec enfant(s)","2 626","29,3","2 445","26,4","2 257","23,4","59295","hazebrouck"
"870","Familles monoparentales","901","10,1","1 007","10,9","1 138","11,8","59295","hazebrouck"
"871","Ménages d'une personne","4 238","34,8","4 730","37,9","4 983","39,6","59328","lambersart"
"872","Autres ménages sans famille","294","2,4","252","2,0","183","1,5","59328","lambersart"
"873","Couples sans enfant","2 982","24,5","2 998","24,0","2 931","23,3","59328","lambersart"
"874","Couples avec enfant(s)","3 544","29,1","3 181","25,5","3 124","24,9","59328","lambersart"
"875","Familles monoparentales","1 123","9,2","1 316","10,5","1 352","10,8","59328","lambersart"
"876","Ménages d'une personne","60 811","52,3","64 489","53,2","70 810","55,8","59350","lille"
"877","Autres ménages sans famille","6 666","5,7","7 563","6,2","6 555","5,2","59350","lille"
"878","Couples sans enfant","20 661","17,8","20 557","16,9","21 078","16,6","59350","lille"
"879","Couples avec enfant(s)","18 436","15,9","18 572","15,3","18 244","14,4","59350","lille"
"880","Familles monoparentales","9 644","8,3","10 139","8,4","10 315","8,1","59350","lille"
"881","Ménages d'une personne","3 570","39,6","4 110","41,7","4 948","46,0","59360","loos"
"882","Autres ménages sans famille","254","2,8","267","2,7","315","2,9","59360","loos"
"883","Couples sans enfant","1 856","20,6","2 013","20,4","1 817","16,9","59360","loos"
"884","Couples avec enfant(s)","2 333","25,9","2 260","22,9","2 403","22,3","59360","loos"
"885","Familles monoparentales","1 011","11,2","1 203","12,2","1 275","11,9","59360","loos"
"886","Ménages d'une personne","4 873","44,3","5 113","47,0","5 554","47,8","59368","la-madeleine"
"887","Autres ménages sans famille","420","3,8","345","3,2","192","1,7","59368","la-madeleine"
"888","Couples sans enfant","2 511","22,8","2 369","21,8","2 604","22,4","59368","la-madeleine"
"889","Couples avec enfant(s)","2 177","19,8","2 107","19,4","2 180","18,8","59368","la-madeleine"
"890","Familles monoparentales","1 027","9,3","948","8,7","1 086","9,3","59368","la-madeleine"
"891","Ménages d'une personne","5 995","35,2","5 974","34,9","6 987","39,1","59378","marcq-en-baroeul"
"892","Autres ménages sans famille","444","2,6","375","2,2","222","1,2","59378","marcq-en-baroeul"
"893","Couples sans enfant","4 293","25,2","4 201","24,6","4 215","23,6","59378","marcq-en-baroeul"
"894","Couples avec enfant(s)","4 637","27,3","4 709","27,5","4 637","25,9","59378","marcq-en-baroeul"
